Time, Change, Value, Mean of the last 10 minutes
2011-01-03 03:50:00,1.2341021257346577e-05,2.0761317271273296e-05,3.310233852861987e-05
2011-01-03 08:22:00,1.1843021306792995e-05,1.2053486877950521e-05,2.3896508184743516e-05
2011-01-03 23:05:00,1.2174729852224075e-05,6.329650939097236e-06,1.850438079132131e-05
2011-01-03 23:06:00,1.102689999732418e-05,6.350269956704138e-06,1.737716995402832e-05
2011-01-03 23:14:00,1.1628144740674662e-05,1.834486824185262e-05,6.716723501177957e-06
2011-01-03 23:15:00,1.1352928228282233e-05,1.7798641680453298e-05,6.445713452171065e-06
2011-01-04 06:49:00,1.2455120481271925e-05,1.3374425815258541e-05,2.5829546296530466e-05
2011-01-04 06:50:00,1.3186358797346994e-05,1.2556635752050052e-05,2.5742994549397046e-05
2011-01-04 07:58:00,2.5893483390564062e-05,4.6972538661340586e-05,2.1079055270776524e-05
2011-01-04 08:00:00,1.790348798873936e-05,4.163592066037406e-05,2.37324326716347e-05
2011-01-05 23:32:00,1.1281261991294735e-05,6.082483347382208e-06,1.7363745338676943e-05
2011-01-06 07:17:00,2.1122407504532965e-05,2.4581543418049014e-06,2.3580561846337864e-05
2011-01-06 09:55:00,1.1686126326757943e-05,3.096687407410837e-05,1.9280747747350426e-05
2011-01-07 09:32:00,1.9013735568047728e-05,3.436661408569726e-05,1.5352878517649532e-05
2011-01-07 11:45:00,1.3856444674063363e-05,3.17651949700519e-05,1.790875029598854e-05
2011-01-07 11:55:00,1.2396405502116695e-05,2.9465936039468127e-05,1.7069530537351432e-05
2011-01-07 13:47:00,1.1605924691301045e-05,2.6154798711381082e-05,1.4548874020080037e-05
2011-01-07 22:58:00,1.0071982517478864e-05,2.645267149702072e-05,1.6380688979541858e-05
2011-01-07 22:59:00,4.2850308614443935e-05,5.922709314344796e-05,1.6376784529004024e-05
2011-01-07 23:00:00,7.125963805448973e-05,8.876542945971286e-05,1.7505791405223137e-05
2011-01-07 23:01:00,6.981321197830462e-05,9.205072021302164e-05,2.2237508234717014e-05
2011-01-07 23:02:00,6.19184828495056e-05,9.21753310880602e-05,3.0256848238554594e-05
2011-01-07 23:03:00,5.4707569407505714e-05,9.340423280749876e-05,3.8696663399993044e-05
2011-01-07 23:04:00,4.5102775345689185e-05,9.219080855081743e-05,4.708803320512824e-05
2011-01-07 23:05:00,3.499377899681184e-05,9.068695842560122e-05,5.5693179428789376e-05
2011-01-07 23:06:00,2.78553142258454e-05,9.194006340581805e-05,6.408474917997265e-05
2011-01-07 23:07:00,2.2190900143648315e-05,9.453531363261942e-05,7.23444134889711e-05
2011-01-07 23:08:00,1.011401904989799e-05,9.087994222667562e-05,8.076592317677763e-05
2011-01-08 00:32:00,1.008023877796627e-05,9.360201796914881e-05,8.352177919118254e-05
2011-01-08 00:55:00,1.397229652348599e-05,7.701174876311858e-05,9.098404528660457e-05
2011-01-08 05:47:00,1.0802736198789542e-05,5.6006430676660945e-05,6.680916687545049e-05
2011-01-08 05:52:00,1.036314765960161e-05,5.519486310485819e-05,6.55580107644598e-05
2011-01-08 06:10:00,4.8928553072552806e-05,1.722723633396838e-05,6.615578940652118e-05
2011-01-08 06:15:00,2.6790324715125034e-05,3.527375218314327e-05,6.20640768982683e-05
2011-01-08 07:53:00,1.0205127310959472e-05,5.9793449378953965e-05,6.999857668991344e-05
2011-01-08 07:54:00,1.2591151441693653e-05,5.712883731852728e-05,6.971998876022093e-05
2011-01-08 07:55:00,1.2296002514266937e-05,5.605537319726886e-05,6.83513757115358e-05
2011-01-08 07:56:00,1.5758146956941544e-05,5.1199857406104044e-05,6.695800436304559e-05
2011-01-08 08:08:00,1.2820683900784497e-05,7.008950542806519e-05,5.7268821527280693e-05
2011-01-08 08:21:00,1.3147856558576144e-05,5.3307972963079295e-05,6.645582952165544e-05
2011-01-08 08:28:00,1.267837571255688e-05,7.356321395265334e-05,6.088483824009646e-05
2011-01-08 08:32:00,1.1270360951850717e-05,7.380227203370998e-05,6.253191108185926e-05
2011-01-08 08:33:00,1.1826525974624116e-05,7.562838144064928e-05,6.380185546602516e-05
2011-01-08 10:43:00,1.108637368130314e-05,6.579655043579813e-05,7.688292411710127e-05
2011-01-08 11:03:00,1.895255146845895e-05,6.0588550275389196e-05,7.954110174384814e-05
2011-01-08 11:51:00,1.307505831344288e-05,0.00010499046443574511,9.191540612230223e-05
2011-01-08 11:53:00,1.0753296817224848e-05,0.00010407099490519901,9.331769808797416e-05
2011-01-08 12:27:00,1.961545480308836e-05,7.070739980418525e-05,9.032285460727361e-05
2011-01-08 12:31:00,1.327549725057547e-05,7.13596971371911e-05,8.463519438776658e-05
2011-01-08 12:36:00,1.375442996216417e-05,9.546133444003763e-05,8.170690447787346e-05
2011-01-08 12:40:00,1.7996762731261283e-05,0.00010112594405292734,8.312918132166605e-05
2011-01-08 12:57:00,1.0362316822785434e-05,8.399137455907083e-05,9.435369138185626e-05
2011-01-08 14:48:00,1.546453467733348e-05,7.767369017630448e-05,9.313822485363796e-05
2011-01-08 16:14:00,1.2314843724944976e-05,7.927270806376914e-05,9.158755178871412e-05
2011-01-08 16:18:00,1.3568330778101242e-05,7.674275486293201e-05,9.031108564103326e-05
2011-01-08 16:22:00,1.7072271483107183e-05,6.934131573411748e-05,8.641358721722466e-05
2011-01-08 16:23:00,1.5729352939152958e-05,7.07584669960633e-05,8.648781993521625e-05
2011-01-08 16:26:00,1.5061881045055458e-05,9.707180652668063e-05,8.200992548162517e-05
2011-01-08 16:27:00,1.3765823562797861e-05,9.467124832017324e-05,8.090542475737538e-05
2011-01-08 16:28:00,1.4773401969231652e-05,9.643984016200087e-05,8.166643819276922e-05
2011-01-08 16:30:00,1.2632654371032374e-05,9.748713535450912e-05,8.485448098347675e-05
2011-01-08 16:31:00,1.07787861193818e-05,9.683003380409529e-05,8.605124768471348e-05
2011-01-08 16:32:00,1.3302299350318868e-05,0.00010012945896754454,8.682715961722567e-05
2011-01-08 16:38:00,1.7120923494272046e-05,7.967232114650675e-05,9.679324464077879e-05
2011-01-08 16:39:00,2.1695766920198532e-05,7.413615724139328e-05,9.583192416159181e-05
2011-01-08 16:47:00,1.6244883656563912e-05,7.11788114048087e-05,8.742369506137261e-05
2011-01-08 17:59:00,1.1659215541295158e-05,7.585368947867837e-05,8.751290501997353e-05
2011-01-08 18:21:00,1.0026854820884205e-05,7.52148983913404e-05,8.52417532122246e-05
2011-01-08 18:43:00,5.2271069520161886e-05,2.8558810059372306e-05,8.082987957953419e-05
2011-01-08 18:44:00,4.492787219793043e-05,3.615417183528421e-05,8.108204403321464e-05
2011-01-08 18:46:00,1.406552159159867e-05,8.456949378131938e-05,7.050397218972071e-05
2011-01-08 18:47:00,1.3250949041693726e-05,8.452640452730436e-05,7.127545548561064e-05
2011-01-08 18:48:00,1.10899864390987e-05,8.338709709380806e-05,7.229711065470936e-05
2011-01-08 18:49:00,1.0487152563508792e-05,8.333819245740274e-05,7.285103989389394e-05
2011-01-08 18:50:00,1.3035192482560326e-05,8.587413345427348e-05,7.283894097171316e-05
2011-01-08 18:51:00,1.7166350562853518e-05,8.976053969557937e-05,7.259418913272585e-05
2011-01-08 18:52:00,1.880914169018121e-05,9.174815502218517e-05,7.293901333200396e-05
2011-01-08 18:53:00,1.35933355535774e-05,8.699773521099139e-05,7.340439965741399e-05
2011-01-08 19:18:00,1.636811527512628e-05,9.669416900270793e-05,8.032605372758165e-05
2011-01-08 19:57:00,1.4170805398532597e-05,6.97887764600639e-05,8.39595818585965e-05
2011-01-08 20:00:00,1.0616382325398697e-05,7.018473221677967e-05,8.080111454217837e-05
2011-01-08 20:38:00,1.1197604968215763e-05,8.813381976221422e-05,7.693621479399846e-05
2011-01-08 20:39:00,1.033820753902814e-05,8.802397425348662e-05,7.768576671445848e-05
2011-01-08 22:57:00,1.723669022066255e-05,6.1016236987873526e-05,7.825292720853607e-05
2011-01-08 22:58:00,5.532403520302276e-05,2.3075004443106075e-05,7.839903964612883e-05
2011-01-08 22:59:00,5.9160273753150644e-05,1.7197649018944014e-05,7.635792277209466e-05
2011-01-08 23:00:00,5.406663121450518e-05,1.6287561923353404e-05,7.035419313785858e-05
2011-01-08 23:01:00,4.744470666255444e-05,1.6153642580186793e-05,6.359834924274124e-05
2011-01-08 23:02:00,4.082277854296883e-05,1.6084424521906845e-05,5.6907203064875674e-05
2011-01-08 23:03:00,3.4079449817124815e-05,1.603995534101656e-05,5.011940515814138e-05
2011-01-08 23:04:00,2.6908550798115116e-05,1.618936010611287e-05,4.3097910904227987e-05
2011-01-08 23:05:00,1.9341616913025367e-05,1.678093535546066e-05,3.6122552268486026e-05
2011-01-08 23:06:00,1.2050500354935393e-05,1.693164319633969e-05,2.8982143551275082e-05
2011-01-09 21:18:00,1.7043501889346986e-05,2.6415990372211824e-06,1.9685100926568168e-05
2011-01-09 21:19:00,2.0019777245373733e-05,-3.7460152330681195e-07,1.9645175722066922e-05
2011-01-09 21:20:00,1.8313335834505464e-05,-6.27946135516724e-07,1.768538969898874e-05
2011-01-09 21:21:00,1.6058065408002993e-05,-6.25509175661619e-07,1.5432556232341373e-05
2011-01-09 21:22:00,1.377695562639544e-05,-6.257944158953811e-07,1.3151161210500058e-05
2011-01-09 21:23:00,1.1543497548188155e-05,-6.12540582785046e-07,1.0930956965403109e-05
2011-01-09 21:42:00,1.8706670571081153e-05,1.8764179899739737e-05,5.750932865858475e-08
2011-01-09 21:43:00,1.847425974770628e-05,1.8484908055355614e-05,1.0648307649333025e-08
2011-01-09 21:44:00,1.6895275347565573e-05,1.893476972405999e-05,2.039494376494418e-06
2011-01-09 21:45:00,1.4866900603830484e-05,1.8894602076962226e-05,4.027701473131742e-06
2011-01-09 21:46:00,1.2816241827588357e-05,1.8875582740307602e-05,6.059340912719246e-06
2011-01-09 21:47:00,1.0760813910963748e-05,1.893234299328011e-05,8.171529082316363e-06
2011-01-09 22:59:00,4.6265347105666006e-05,6.397229630034227e-05,1.7706949194676268e-05
2011-01-09 23:00:00,5.990143877113216e-05,7.790943024950055e-05,1.8007991478368392e-05
2011-01-09 23:01:00,4.088179935488817e-05,6.406890149560305e-05,2.3187102140714872e-05
2011-01-09 23:02:00,3.784317332727702e-05,6.766921900284417e-05,2.982604567556715e-05
2011-01-09 23:03:00,4.6533664545042174e-05,8.148012398201629e-05,3.4946459436974116e-05
2011-01-09 23:04:00,4.1053895803977236e-05,8.149900497089619e-05,4.044510916691895e-05
2011-01-09 23:05:00,3.0499395739258204e-05,7.801143271083279e-05,4.751203697157459e-05
2011-01-09 23:06:00,2.6595415636743846e-05,8.117031444095286e-05,5.4574898804209014e-05
2011-01-09 23:07:00,1.6061052594666436e-05,7.730914185004344e-05,6.124808925537701e-05
2011-01-09 23:20:00,1.3859729209500594e-05,8.465426223231664e-05,7.079453302281604e-05
2011-01-09 23:21:00,1.523278209021993e-05,8.706908457264347e-05,7.183630248242354e-05
2011-01-09 23:22:00,1.3816597203672844e-05,8.70014093685447e-05,7.318481216487185e-05
2011-01-09 23:40:00,1.7098645289628675e-05,5.962174002161098e-05,7.672038531123966e-05
