sTime,eTime,Change,Value,Mean_last_3,real_label
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,None,20842,None,1
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,None,20809,None,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,None,20811,None,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,39.5,20786,20825.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,50.0,20760,20810.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,59.5,20739,20798.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,89.0,20684,20773.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,95.5,20654,20749.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,58.5,20653,20711.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,57.0,20612,20669.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,76.5,20577,20653.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,31.5,20601,20632.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,25.5,20620,20594.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,40.0,20629,20589.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,10.5,20621,20610.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,75.5,20549,20624.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,162.0,20463,20625.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,100.0,20485,20585.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,80.0,20426,20506.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,43.0,20431,20474.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,38.5,20417,20455.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,41.5,20387,20428.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,11.0,20413,20424.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,11.0,20413,20402.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,67.0,20467,20400.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,85.0,20498,20413.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,41.0,20481,20440.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,52.5,20535,20482.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,69.5,20559,20489.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,46.0,20554,20508.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,73.0,20620,20547.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,103.5,20660,20556.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,147.0,20734,20587.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,147.0,20787,20640.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,112.0,20809,20697.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,19.5,20780,20760.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,56.0,20854,20798.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,100.5,20895,20794.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,113.0,20930,20817.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,92.5,20967,20874.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,60.5,20973,20912.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,33.5,20982,20948.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,21.0,20991,20970.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,67.5,21045,20977.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,80.5,21067,20986.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,50.0,21068,21018.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,35.0,21091,21056.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,68.5,20999,21067.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,93.5,20986,21079.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,93.0,20952,21045.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,35.5,20957,20992.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,2.0,20971,20969.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,54.5,21009,20954.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,36.0,21000,20964.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,49.0,21039,20990.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,27.5,21032,21004.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,87.5,21107,21019.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,109.5,21145,21035.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,95.5,21165,21069.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,59.0,21185,21126.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,33.0,21188,21155.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,7.0,21182,21175.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,43.5,21143,21186.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,78.0,21107,21185.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,35.5,21127,21162.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,12.0,21113,21125.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,55.0,21062,21117.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,109.0,21011,21120.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,101.5,20986,21087.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,84.5,20952,21036.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,110.5,20888,20998.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,124.0,20845,20969.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,113.0,20807,20920.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,55.5,20811,20866.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,35.0,20791,20826.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,102.0,20707,20809.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,113.0,20688,20801.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,19.0,20730,20749.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,70.5,20768,20697.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,17.0,20726,20709.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,40.0,20709,20749.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,67.0,20680,20747.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,95.5,20622,20717.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,0.5,20694,20694.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,54.0,20705,20651.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,59.0,20717,20658.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,11.5,20711,20699.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,34.0,20677,20711.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,80.0,20634,20714.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,48.0,20646,20694.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,4.5,20660,20655.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,36.0,20604,20640.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,134.0,20519,20653.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,120.0,20512,20632.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,197.5,20364,20561.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,176.5,20339,20515.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,164.0,20274,20438.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,61.5,20290,20351.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,22.5,20329,20306.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,82.0,20364,20282.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,14.5,20324,20309.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,66.5,20280,20346.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,78.0,20266,20344.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,53.0,20249,20302.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,65.0,20208,20273.0,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,79.5,20178,20257.5,0
2023-03-24T17:58:55Z,2023-03-24T17:59:00Z,12.5,20216,20228.5,0
