Time,Value
2023-02-16T00:00:00Z,21311594.331640784
2023-02-16T00:30:00Z,20191513.186880752
2023-02-16T01:00:00Z,20079919.33156611
2023-02-16T01:30:00Z,19469661.939750034
2023-02-16T02:00:00Z,17565778.764162686
2023-02-16T02:30:00Z,17127197.268992305
2023-02-16T03:00:00Z,15810071.991652332
2023-02-16T03:30:00Z,16980770.74333068
2023-02-16T04:00:00Z,14717959.768218018
2023-02-16T04:30:00Z,16983388.12806336
2023-02-16T05:00:00Z,17336948.2537826
2023-02-16T05:30:00Z,16694635.632516922
2023-02-16T06:00:00Z,14101577.563275063
2023-02-16T06:30:00Z,16814298.068608418
2023-02-16T07:00:00Z,22490109.628894195
2023-02-16T07:30:00Z,42716559.88649887
2023-02-16T08:00:00Z,52825438.111077905
2023-02-16T08:30:00Z,71092165.88776325
2023-02-16T09:00:00Z,72853381.84586862
2023-02-16T09:30:00Z,80694819.77533741
2023-02-16T10:00:00Z,81535467.90943255
2023-02-16T10:30:00Z,82190011.89374782
2023-02-16T11:00:00Z,72561073.33482677
2023-02-16T11:30:00Z,103612151.94415118
2023-02-16T12:00:00Z,105374526.87335378
2023-02-16T12:30:00Z,103099660.59196573
2023-02-16T13:00:00Z,98001494.43117782
2023-02-16T13:30:00Z,84456819.21886201
2023-02-16T14:00:00Z,78980706.57391085
2023-02-16T14:30:00Z,82134521.39614138
2023-02-16T15:00:00Z,71648871.13396053
2023-02-16T15:30:00Z,71050615.55461787
2023-02-16T16:00:00Z,48706836.18396555
2023-02-16T16:30:00Z,44558979.20589847
2023-02-16T17:00:00Z,40465405.25499029
2023-02-16T17:30:00Z,37301908.40516727
2023-02-16T18:00:00Z,36207888.9576904
2023-02-16T18:30:00Z,37134767.05519609
2023-02-16T19:00:00Z,39393902.3133637
2023-02-16T19:30:00Z,42246050.51398846
2023-02-16T20:00:00Z,35528477.82963203
2023-02-16T20:30:00Z,34798182.91130196
2023-02-16T21:00:00Z,32007398.1692055
2023-02-16T21:30:00Z,32317340.877396066
2023-02-16T22:00:00Z,31887996.579155672
2023-02-16T22:30:00Z,28955672.707063913
2023-02-16T23:00:00Z,21952882.821528196
2023-02-16T23:30:00Z,22665089.68022098
2023-02-17T00:00:00Z,25383178.4191806
2023-02-17T00:30:00Z,24129206.524965152
2023-02-17T01:00:00Z,18541580.654412862
2023-02-17T01:30:00Z,16284094.334569437
2023-02-17T02:00:00Z,16916031.147168685
2023-02-17T02:30:00Z,18527640.25525189
2023-02-17T03:00:00Z,18535719.670640647
2023-02-17T03:30:00Z,18494058.141178813
2023-02-17T04:00:00Z,17399535.922690164
2023-02-17T04:30:00Z,19005641.222011954
2023-02-17T05:00:00Z,16274366.933144165
2023-02-17T05:30:00Z,18049690.306514654
2023-02-17T06:00:00Z,18010862.587091796
2023-02-17T06:30:00Z,19672571.260261007
2023-02-17T07:00:00Z,26385864.76945856
2023-02-17T07:30:00Z,37785869.64135305
2023-02-17T08:00:00Z,49567232.00328554
2023-02-17T08:30:00Z,62692617.63847109
2023-02-17T09:00:00Z,63346983.436087616
2023-02-17T09:30:00Z,77609748.89010853
2023-02-17T10:00:00Z,76986130.16260204
2023-02-17T10:30:00Z,76179070.23330843
2023-02-17T11:00:00Z,67762674.53648944
2023-02-17T11:30:00Z,70662306.74989419
2023-02-17T12:00:00Z,71875318.74055547
2023-02-17T12:30:00Z,74127363.86586519
2023-02-17T13:00:00Z,72962470.88562676
2023-02-17T13:30:00Z,69348373.24478465
2023-02-17T14:00:00Z,67908692.26771851
2023-02-17T14:30:00Z,57250478.76456093
2023-02-17T15:00:00Z,54899671.48421943
2023-02-17T15:30:00Z,55099710.092581525
2023-02-17T16:00:00Z,47761269.69822781
2023-02-17T16:30:00Z,45960407.558144145
2023-02-17T17:00:00Z,39448229.48013146
2023-02-17T17:30:00Z,38147209.93975454
2023-02-17T18:00:00Z,33501344.358995426
2023-02-17T18:30:00Z,28860100.224943988
2023-02-17T19:00:00Z,30219583.89092766
2023-02-17T19:30:00Z,29545613.346898645
2023-02-17T20:00:00Z,26039056.305177994
2023-02-17T20:30:00Z,25644412.947014593
2023-02-17T21:00:00Z,27165226.014361806
2023-02-17T21:30:00Z,26633175.53735804
2023-02-17T22:00:00Z,24514674.80715121
2023-02-17T22:30:00Z,27057908.503135577
2023-02-17T23:00:00Z,23483734.320555583
2023-02-17T23:30:00Z,22050940.67102251
2023-02-18T00:00:00Z,22531620.599163476
2023-02-18T00:30:00Z,19014467.054808836
2023-02-18T01:00:00Z,16953341.225840177
2023-02-18T01:30:00Z,16458729.780338474
2023-02-18T02:00:00Z,15018127.448462075
2023-02-18T02:30:00Z,15713001.408851055
2023-02-18T03:00:00Z,14635695.678043315
2023-02-18T03:30:00Z,15302947.98106023
2023-02-18T04:00:00Z,15807570.792457996
2023-02-18T04:30:00Z,14384249.253783353
2023-02-18T05:00:00Z,12377256.564747756
2023-02-18T05:30:00Z,14459435.357327757
2023-02-18T06:00:00Z,17211014.255525682
2023-02-18T06:30:00Z,15852298.925309964
2023-02-18T07:00:00Z,20155733.79502116
2023-02-18T07:30:00Z,18311447.031465486
2023-02-18T08:00:00Z,15193371.427384034
2023-02-18T08:30:00Z,17789883.48237754
2023-02-18T09:00:00Z,18808517.322479464
2023-02-18T09:30:00Z,19049025.906430423
2023-02-18T10:00:00Z,20815528.174059138
2023-02-18T10:30:00Z,25439707.530306805
2023-02-18T11:00:00Z,25302292.248282548
2023-02-18T11:30:00Z,25445860.713763062
2023-02-18T12:00:00Z,26214422.965926625
2023-02-18T12:30:00Z,28089531.535792515
2023-02-18T13:00:00Z,26923173.340194125
2023-02-18T13:30:00Z,31693906.56905651
2023-02-18T14:00:00Z,28598507.468854256
2023-02-18T14:30:00Z,29982998.747051504
2023-02-18T15:00:00Z,31088822.03608697
2023-02-18T15:30:00Z,31205665.49975103
2023-02-18T16:00:00Z,30037145.019632727
2023-02-18T16:30:00Z,30673323.392108537
2023-02-18T17:00:00Z,28978966.495567508
2023-02-18T17:30:00Z,26737710.302319795
2023-02-18T18:00:00Z,24477787.821910307
2023-02-18T18:30:00Z,26643050.17645301
2023-02-18T19:00:00Z,24847760.922341697
2023-02-18T19:30:00Z,35135609.44269926
2023-02-18T20:00:00Z,27484502.148243077
2023-02-18T20:30:00Z,29998474.005254246
2023-02-18T21:00:00Z,28500369.653195888
2023-02-18T21:30:00Z,28490491.76122449
2023-02-18T22:00:00Z,21947289.367159497
2023-02-18T22:30:00Z,24700354.46324701
2023-02-18T23:00:00Z,26534097.08671844
2023-02-18T23:30:00Z,21391620.998631023
2023-02-19T00:00:00Z,15963469.386492679
2023-02-19T00:30:00Z,18008071.03885404
2023-02-19T01:00:00Z,14579134.0047043
2023-02-19T01:30:00Z,14816038.334212622
2023-02-19T02:00:00Z,12699836.9446603
2023-02-19T02:30:00Z,15533631.045624252
2023-02-19T03:00:00Z,12108529.819163764
2023-02-19T03:30:00Z,12313097.376213957
2023-02-19T04:00:00Z,12865924.771955168
2023-02-19T04:30:00Z,14204527.827222
2023-02-19T05:00:00Z,10613112.512169603
2023-02-19T05:30:00Z,11142362.407266298
2023-02-19T06:00:00Z,10054119.945808025
2023-02-19T06:30:00Z,12294537.451001396
2023-02-19T07:00:00Z,20054419.74087264
2023-02-19T07:30:00Z,12294867.565590916
2023-02-19T08:00:00Z,12306575.289267305
2023-02-19T08:30:00Z,12778567.776059568
2023-02-19T09:00:00Z,13174537.32854583
2023-02-19T09:30:00Z,15584473.524566906
2023-02-19T10:00:00Z,15799989.56529962
2023-02-19T10:30:00Z,17964704.05040092
2023-02-19T11:00:00Z,17525110.07126499
2023-02-19T11:30:00Z,20598096.48531462
2023-02-19T12:00:00Z,20908744.47232729
2023-02-19T12:30:00Z,21377663.07259913
2023-02-19T13:00:00Z,20813412.012694143
2023-02-19T13:30:00Z,22603114.450295024
2023-02-19T14:00:00Z,22302367.74823312
2023-02-19T14:30:00Z,27835734.403295662
2023-02-19T15:00:00Z,31093639.704674438
2023-02-19T15:30:00Z,34007506.70716348
2023-02-19T16:00:00Z,30492541.8696096
2023-02-19T16:30:00Z,29152849.69616189
2023-02-19T17:00:00Z,29822050.334279183
2023-02-19T17:30:00Z,29351101.038785163
2023-02-19T18:00:00Z,30764048.77640556
2023-02-19T18:30:00Z,29702146.989174794
2023-02-19T19:00:00Z,27299989.810114294
2023-02-19T19:30:00Z,31941693.13862742
2023-02-19T20:00:00Z,28434896.485762645
2023-02-19T20:30:00Z,30930795.459553696
2023-02-19T21:00:00Z,27803628.21587515
2023-02-19T21:30:00Z,29093383.422839507
2023-02-19T22:00:00Z,25599326.012793075
2023-02-19T22:30:00Z,26444449.08225486
2023-02-19T23:00:00Z,22203710.297764834
2023-02-19T23:30:00Z,19575109.68116274
2023-02-20T00:00:00Z,16077214.375661915
2023-02-20T00:30:00Z,14332428.196049986
2023-02-20T01:00:00Z,12668751.79667714
2023-02-20T01:30:00Z,11232629.933465417
2023-02-20T02:00:00Z,10921759.526419569
2023-02-20T02:30:00Z,12423503.074723799
2023-02-20T03:00:00Z,10952918.320888095
2023-02-20T03:30:00Z,10851478.76977503
2023-02-20T04:00:00Z,13131228.485340975
2023-02-20T04:30:00Z,14005625.954434602
2023-02-20T05:00:00Z,11963571.220288778
2023-02-20T05:30:00Z,16935874.853384767
2023-02-20T06:00:00Z,12786525.024466123
2023-02-20T06:30:00Z,17199266.096774194
2023-02-20T07:00:00Z,22647542.804372735
2023-02-20T07:30:00Z,32822848.964417234
2023-02-20T08:00:00Z,44992780.24620364
2023-02-20T08:30:00Z,61185615.32847754
2023-02-20T09:00:00Z,64899331.47936787
2023-02-20T09:30:00Z,75251038.65115987
2023-02-20T10:00:00Z,70992246.36782125
2023-02-20T10:30:00Z,73876058.29205258
2023-02-20T11:00:00Z,68744721.44053663
2023-02-20T11:30:00Z,70573204.02512074
2023-02-20T12:00:00Z,71298876.81025389
2023-02-20T12:30:00Z,73546440.91314416
2023-02-20T13:00:00Z,72101679.78548674
2023-02-20T13:30:00Z,70388597.95751198
2023-02-20T14:00:00Z,65541054.93902714
2023-02-20T14:30:00Z,61227603.08849005
2023-02-20T15:00:00Z,58113319.69474313
2023-02-20T15:30:00Z,56049085.852279514
2023-02-20T16:00:00Z,49888109.894464366
2023-02-20T16:30:00Z,45809404.241407655
2023-02-20T17:00:00Z,37594384.127202585
2023-02-20T17:30:00Z,37387622.68152628
2023-02-20T18:00:00Z,39243219.02390438
2023-02-20T18:30:00Z,39115426.08694245
2023-02-20T19:00:00Z,38365813.528250694
2023-02-20T19:30:00Z,42878748.45467443
2023-02-20T20:00:00Z,40201960.371704556
