Time, Values
2022-10-13 00:03, [5.442893171914187 0.050868160485179316]
2022-10-13 00:04, [5.434481207650344 0.05126869063821079]
2022-10-13 00:06, [5.710986117318309 0.053373702031012236]
2022-10-13 00:07, [5.8146757971963945 0.05434276445977939]
2022-10-13 00:08, [5.550835766567497 0.05046214333243179]
2022-10-13 00:09, [5.84940842820686 0.051764676355812916]
2022-10-13 00:10, [5.891566444763356 0.051231012563159616]
2022-10-13 00:11, [5.533949105552635 0.0507701752802994]
2022-10-13 00:12, [5.5446597625632705 0.049067785509409476]
2022-10-13 00:13, [5.539276837113896 0.04945782890280264]
2022-10-13 00:14, [5.544148842677359 0.05280141754930818]
2022-10-13 00:23, [5.34272754264269 0.055079665388068966]
2022-10-13 00:24, [5.395485024191698 0.051879663694150945]
2022-10-13 00:25, [5.4458212179350465 0.05042427053643562]
2022-10-13 00:26, [5.374410658880207 0.051184863417906734]
2022-10-13 00:31, [5.431530214402667 0.0554237776979864]
2022-10-13 00:32, [5.497183890265469 0.05786509358174178]
2022-10-13 00:34, [5.279458009534889 0.061389046622498715]
2022-10-13 00:43, [5.528173276259043 0.0521525780779155]
2022-10-13 00:44, [5.544340246851714 0.0513364837671455]
2022-10-13 00:45, [5.745538594379598 0.05223216903981453]
2022-10-13 00:46, [5.764685554805961 0.054383825988735486]
2022-10-13 00:48, [5.528676930867928 0.05316035510449931]
2022-10-13 00:49, [5.342800157346418 0.052899011458875426]
2022-10-13 00:52, [5.389039608678531 0.05555710936781991]
2022-10-13 00:56, [5.376328337231914 0.05323097363595955]
2022-10-13 01:11, [5.437160090925435 0.05228038548966764]
2022-10-13 01:12, [5.38111421833498 0.05381114218334979]
2022-10-13 01:16, [5.2860301907594325 0.05034314467389936]
2022-10-13 01:17, [5.389185049513718 0.05232218494673513]
2022-10-13 01:18, [5.533829485222763 0.05171803257217536]
2022-10-13 01:19, [5.445579702080075 0.053916630713664114]
2022-10-13 01:20, [5.538844439307317 0.052750899421974445]
2022-10-13 01:21, [5.568130489050625 0.04800112490560884]
2022-10-13 01:22, [5.950530431147422 0.05000445740460019]
2022-10-13 01:23, [5.539104363050633 0.05128800336157994]
2022-10-13 01:28, [5.341163793795754 0.05622277677679741]
2022-10-13 01:36, [5.2806313130083105 0.054439498072250625]
2022-10-13 01:37, [5.282716661396326 0.055028298556211726]
2022-10-13 01:44, [5.539153175820635 0.05035593796200578]
2022-10-13 01:53, [5.3054302180941075 0.06315988354873937]
2022-10-13 01:54, [5.280557406634132 0.058028103369605843]
2022-10-13 01:55, [5.309298403036411 0.05530519169829595]
2022-10-13 01:56, [5.695413980726696 0.056390237432937584]
2022-10-13 01:57, [5.50130752087105 0.05730528667574011]
2022-10-13 01:58, [5.415327305303328 0.05886225331851443]
2022-10-13 01:59, [5.3381871504075145 0.05503285722069603]
2022-10-13 02:05, [5.445683164321418 0.05236233811847517]
2022-10-13 02:06, [5.514514771896541 0.05406387031271118]
2022-10-13 02:07, [5.376256529807858 0.05485976050824345]
2022-10-13 02:13, [5.445786693383635 0.05089520274190313]
2022-10-13 02:14, [5.533769708515306 0.05220537460863497]
2022-10-13 02:15, [5.435095689755008 0.04986326320876154]
2022-10-13 02:16, [5.4428592722010105 0.051347728983028404]
2022-10-13 02:17, [5.764181576904779 0.055424822854853645]
2022-10-13 02:18, [5.383029959804693 0.05492887714086422]
2022-10-13 02:21, [5.37917552903461 0.0537917552903461]
2022-10-13 02:22, [5.28165199618603 0.05559633680195821]
2022-10-13 02:23, [5.3695826948355725 0.06033238982961318]
2022-10-13 02:25, [5.418409646182209 0.061572836888434186]
2022-10-13 02:26, [5.426182989359584 0.05711771567746931]
2022-10-13 02:27, [5.379038888425449 0.057223817961972866]
2022-10-13 02:28, [5.305516533012658 0.05895018370014064]
2022-10-13 02:30, [5.420890129298069 0.06160102419656897]
2022-10-13 02:31, [5.339650757426771 0.05620685007817654]
2022-10-13 02:32, [5.381091159633518 0.054354456157914316]
2022-10-13 02:34, [5.431435492685662 0.05717300518616486]
2022-10-13 02:57, [5.451986282012582 0.04782444107028581]
2022-10-13 02:58, [5.55565735242276 0.050505975931116005]
2022-10-13 02:59, [5.533829485222763 0.05171803257217536]
2022-10-13 03:00, [5.385157957852191 0.05178036497934799]
2022-10-13 03:03, [5.523853304475468 0.05311397408149488]
2022-10-13 03:04, [5.539170468781707 0.05081807769524502]
2022-10-13 03:05, [5.568130489050625 0.04800112490560884]
2022-10-13 03:06, [5.550031185936915 0.050000280954386626]
2022-10-13 03:12, [5.434416880469751 0.052254008466055296]
2022-10-13 03:13, [5.523334116379858 0.049759766814232956]
2022-10-13 03:14, [5.53909138092956 0.05081735211861982]
2022-10-13 03:15, [5.391347754916441 0.05038642761604151]
2022-10-13 03:18, [5.342836477037271 0.0518721988061871]
2022-10-13 03:22, [5.308042457664981 0.05587413113331559]
2022-10-13 03:25, [5.306752766975727 0.058315964472260735]
2022-10-13 03:27, [5.379061653773396 0.05662170161866733]
2022-10-13 03:28, [5.683334668633548 0.052140685033335306]
2022-10-13 03:29, [5.550362260764837 0.0478479505238348]
2022-10-13 03:30, [5.395737455014251 0.04733103030714255]
2022-10-13 03:31, [5.55613763744313 0.047488355875582304]
2022-10-13 03:32, [5.550362260764837 0.0478479505238348]
2022-10-13 03:33, [5.445855749923798 0.04996197935709906]
2022-10-13 03:46, [5.816408870834698 0.05193222206102409]
2022-10-13 04:01, [5.7462119168991 0.05085143289291239]
2022-10-13 04:02, [5.5194436446890975 0.050637097657698145]
2022-10-13 04:03, [5.344526798507361 0.04814889007664289]
2022-10-13 04:07, [5.4341277271799155 0.05720134449663069]
2022-10-13 04:08, [5.379038888425449 0.057223817961972866]
2022-10-13 04:10, [5.298577476787571 0.052985774767875714]
2022-10-13 04:11, [5.375300373281186 0.05541546776578542]
2022-10-13 04:12, [5.3068833299994305 0.0530688332999943]
2022-10-13 04:13, [5.305617292528114 0.05469708548998056]
2022-10-13 04:28, [5.435026618329688 0.05079464129280082]
2022-10-13 04:29, [5.815020916197946 0.05384278626109209]
2022-10-13 04:30, [5.5285611794038845 0.05420158019023416]
2022-10-13 04:31, [5.45177113396615 0.05047936235153843]
2022-10-13 04:32, [5.4518786718938905 0.04911602407111613]
2022-10-13 04:33, [5.440284277872938 0.04772179191116612]
2022-10-13 04:34, [5.389354897438581 0.04899413543125983]
