Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
0.01,16,667,0,22,None,None,0.9680696661828737,0.05390070921985816,None,0.02342606149341142
0.02,15,644,1,45,0.044444444444444446,0.9375,0.9346879535558781,0.0851063829787234,0.0625,0.02276176024279211
0.03,14,626,2,63,0.04268292682926829,0.875,0.9085631349782293,0.10921985815602837,0.125,0.021875
0.04,13,606,3,83,0.04094488188976378,0.8125,0.8795355587808418,0.13617021276595745,0.1875,0.0210016155088853
0.05,13,583,3,106,0.042483660130718956,0.8125,0.8461538461538461,0.16879432624113475,0.1875,0.02181208053691275
0.06,12,569,4,120,0.04020100502512563,0.75,0.8258345428156749,0.18723404255319148,0.25,0.020654044750430294
0.07,12,544,4,145,0.04195804195804196,0.75,0.7895500725689405,0.2226950354609929,0.25,0.02158273381294964
0.08,11,522,5,167,0.04007285974499089,0.6875,0.7576197387518142,0.2524822695035461,0.3125,0.020637898686679174
0.09,10,499,6,190,0.03809523809523809,0.625,0.7242380261248186,0.28368794326241137,0.375,0.019646365422396856
0.1,10,482,6,207,0.03937007874015748,0.625,0.6995645863570392,0.3078014184397163,0.375,0.02032520325203252
0.11,10,468,6,221,0.04048582995951417,0.625,0.6792452830188679,0.3276595744680851,0.375,0.02092050209205021
0.12,10,451,6,238,0.041928721174004195,0.625,0.6545718432510885,0.3517730496453901,0.375,0.021691973969631236
0.13,9,435,7,254,0.0391304347826087,0.5625,0.6313497822931785,0.3730496453900709,0.4375,0.02027027027027027
0.14,8,420,8,269,0.036036036036036036,0.5,0.6095791001451378,0.39290780141843973,0.5,0.018691588785046728
0.15,8,408,8,281,0.037037037037037035,0.5,0.5921625544267054,0.4099290780141844,0.5,0.019230769230769232
0.16,8,398,8,291,0.037914691943127965,0.5,0.5776487663280117,0.42411347517730497,0.5,0.019704433497536946
0.17,7,381,9,308,0.03465346534653465,0.4375,0.5529753265602322,0.44680851063829785,0.5625,0.01804123711340206
0.18,7,362,9,327,0.03636363636363636,0.4375,0.525399129172714,0.47375886524822697,0.5625,0.018970189701897018
0.19,6,345,10,344,0.03269754768392371,0.375,0.5007256894049347,0.49645390070921985,0.625,0.017094017094017096
0.2,6,327,10,362,0.034383954154727794,0.375,0.4746008708272859,0.5219858156028369,0.625,0.018018018018018018
0.21,6,312,10,377,0.03592814371257485,0.375,0.4528301886792453,0.5432624113475177,0.625,0.018867924528301886
0.22,5,297,11,392,0.03144654088050315,0.3125,0.4310595065312046,0.5631205673758866,0.6875,0.016556291390728478
0.23,5,288,11,401,0.03236245954692557,0.3125,0.41799709724238027,0.5758865248226951,0.6875,0.017064846416382253
0.24,5,277,11,412,0.03355704697986577,0.3125,0.4020319303338171,0.5914893617021276,0.6875,0.01773049645390071
0.25,4,269,12,420,0.02768166089965398,0.25,0.3904208998548621,0.601418439716312,0.75,0.014652014652014652
0.26,3,255,13,434,0.021897810218978103,0.1875,0.37010159651669083,0.6198581560283688,0.8125,0.011627906976744186
0.27,3,236,13,453,0.023529411764705882,0.1875,0.34252539912917274,0.6468085106382979,0.8125,0.012552301255230125
0.28,3,226,13,463,0.024489795918367342,0.1875,0.32801161103047893,0.6609929078014184,0.8125,0.013100436681222707
0.29,3,220,13,469,0.025104602510460254,0.1875,0.3193033381712627,0.6695035460992907,0.8125,0.013452914798206279
0.3,3,209,13,480,0.026315789473684213,0.1875,0.3033381712626996,0.6851063829787234,0.8125,0.014150943396226415
0.31,3,203,13,486,0.02702702702702703,0.1875,0.2946298984034833,0.6936170212765957,0.8125,0.014563106796116505
0.32,3,200,13,489,0.0273972602739726,0.1875,0.29027576197387517,0.6978723404255319,0.8125,0.014778325123152709
0.33,3,196,13,493,0.027906976744186046,0.1875,0.2844702467343977,0.7035460992907802,0.8125,0.01507537688442211
0.34,3,191,13,498,0.028571428571428574,0.1875,0.2772133526850508,0.7106382978723405,0.8125,0.015463917525773196
0.35,3,185,13,504,0.029411764705882353,0.1875,0.26850507982583455,0.7191489361702128,0.8125,0.015957446808510637
0.36,3,176,13,513,0.03076923076923077,0.1875,0.25544267053701014,0.7319148936170212,0.8125,0.01675977653631285
0.37,3,165,13,524,0.03260869565217391,0.1875,0.23947750362844702,0.7475177304964539,0.8125,0.017857142857142856
0.38,3,159,13,530,0.033707865168539325,0.1875,0.23076923076923078,0.7560283687943262,0.8125,0.018518518518518517
0.39,3,149,13,540,0.03571428571428571,0.1875,0.216255442670537,0.7702127659574468,0.8125,0.019736842105263157
0.4,2,141,14,548,0.025157232704402517,0.125,0.204644412191582,0.7801418439716312,0.875,0.013986013986013986
0.41,2,136,14,553,0.025974025974025972,0.125,0.19738751814223512,0.7872340425531915,0.875,0.014492753623188406
0.42,2,134,14,555,0.02631578947368421,0.125,0.19448476052249636,0.7900709219858156,0.875,0.014705882352941176
0.43,2,128,14,561,0.027397260273972605,0.125,0.18577648766328012,0.798581560283688,0.875,0.015384615384615385
