Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
0.01,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
0.02,16,680,0,9,None,None,0.9869375907111756,0.03546099290780142,None,0.022988505747126436
0.03,16,678,0,11,None,None,0.9840348330914369,0.03829787234042553,None,0.023054755043227664
0.04,16,674,0,15,None,None,0.9782293178519593,0.04397163120567376,None,0.02318840579710145
0.05,16,671,0,18,None,None,0.9738751814223512,0.04822695035460993,None,0.023289665211062592
0.06,16,669,0,20,None,None,0.9709724238026125,0.05106382978723404,None,0.02335766423357664
0.07,16,663,0,26,None,None,0.9622641509433962,0.059574468085106386,None,0.023564064801178203
0.08,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
0.09,16,653,0,36,None,None,0.9477503628447025,0.07375886524822695,None,0.02391629297458894
0.1,16,648,0,41,None,None,0.9404934687953556,0.08085106382978724,None,0.024096385542168676
0.11,16,646,0,43,None,None,0.9375907111756169,0.08368794326241134,None,0.02416918429003021
0.12,16,643,0,46,None,None,0.9332365747460087,0.08794326241134752,None,0.024279210925644917
0.13,16,639,0,50,None,None,0.9274310595065312,0.09361702127659574,None,0.024427480916030534
0.14,16,635,0,54,None,None,0.9216255442670537,0.09929078014184398,None,0.02457757296466974
0.15,16,628,0,61,None,None,0.9114658925979681,0.10921985815602837,None,0.024844720496894408
0.16,16,627,0,62,None,None,0.9100145137880987,0.11063829787234042,None,0.024883359253499222
0.17,16,624,0,65,None,None,0.9056603773584906,0.1148936170212766,None,0.025
0.18,16,617,0,72,None,None,0.895500725689405,0.12482269503546099,None,0.02527646129541864
0.19,15,613,1,76,0.04658385093167702,0.9375,0.8896952104499274,0.12907801418439716,0.0625,0.02388535031847134
0.2,15,609,1,80,0.046875,0.9375,0.8838896952104499,0.1347517730496454,0.0625,0.02403846153846154
0.21,15,606,1,83,0.04709576138147567,0.9375,0.8795355587808418,0.13900709219858157,0.0625,0.024154589371980676
0.22,15,601,1,88,0.04746835443037975,0.9375,0.872278664731495,0.14609929078014183,0.0625,0.024350649350649352
0.23,15,600,1,89,0.04754358161648177,0.9375,0.8708272859216255,0.1475177304964539,0.0625,0.024390243902439025
0.24,15,599,1,90,0.047619047619047616,0.9375,0.8693759071117562,0.14893617021276595,0.0625,0.024429967426710098
0.25,15,593,1,96,0.04807692307692308,0.9375,0.8606676342525399,0.1574468085106383,0.0625,0.024671052631578948
0.26,15,592,1,97,0.04815409309791332,0.9375,0.8592162554426706,0.15886524822695036,0.0625,0.02471169686985173
0.27,15,591,1,98,0.04823151125401929,0.9375,0.8577648766328012,0.16028368794326242,0.0625,0.024752475247524754
0.28,15,591,1,98,0.04823151125401929,0.9375,0.8577648766328012,0.16028368794326242,0.0625,0.024752475247524754
0.29,15,588,1,101,0.048465266558966075,0.9375,0.8534107402031931,0.16453900709219857,0.0625,0.024875621890547265
0.3,15,584,1,105,0.04878048780487805,0.9375,0.8476052249637155,0.1702127659574468,0.0625,0.025041736227045076
0.31,15,578,1,111,0.04926108374384237,0.9375,0.8388969521044993,0.17872340425531916,0.0625,0.025295109612141653
0.32,15,575,1,114,0.04950495049504951,0.9375,0.8345428156748912,0.1829787234042553,0.0625,0.025423728813559324
0.33,15,572,1,117,0.04975124378109452,0.9375,0.8301886792452831,0.18723404255319148,0.0625,0.02555366269165247
0.34,15,570,1,119,0.04991680532445923,0.9375,0.8272859216255443,0.1900709219858156,0.0625,0.02564102564102564
0.35,14,566,2,123,0.04697986577181208,0.875,0.8214804063860668,0.19432624113475178,0.125,0.02413793103448276
0.36,14,563,2,126,0.04721753794266442,0.875,0.8171262699564587,0.19858156028368795,0.125,0.024263431542461005
0.37,13,559,3,130,0.04421768707482993,0.8125,0.8113207547169812,0.2028368794326241,0.1875,0.022727272727272728
0.38,13,555,3,134,0.04452054794520548,0.8125,0.8055152394775036,0.20851063829787234,0.1875,0.022887323943661973
0.39,13,549,3,140,0.04498269896193771,0.8125,0.7968069666182874,0.2170212765957447,0.1875,0.023131672597864767
0.4,13,548,3,141,0.045060658578856154,0.8125,0.795355587808418,0.21843971631205675,0.1875,0.023172905525846704
0.41,13,547,3,142,0.045138888888888895,0.8125,0.7939042089985486,0.2198581560283688,0.1875,0.023214285714285715
0.42,13,543,3,146,0.045454545454545456,0.8125,0.7880986937590712,0.225531914893617,0.1875,0.023381294964028777
0.43,13,539,3,150,0.045774647887323945,0.8125,0.7822931785195936,0.23120567375886525,0.1875,0.02355072463768116
0.44,13,533,3,156,0.046263345195729534,0.8125,0.7735849056603774,0.2397163120567376,0.1875,0.023809523809523808
0.45,13,529,3,160,0.04659498207885304,0.8125,0.7677793904208998,0.2453900709219858,0.1875,0.023985239852398525
0.46,13,527,3,162,0.046762589928057555,0.8125,0.7648766328011611,0.24822695035460993,0.1875,0.024074074074074074
0.47,13,519,3,170,0.04744525547445255,0.8125,0.7532656023222061,0.25957446808510637,0.1875,0.02443609022556391
0.48,13,518,3,171,0.047531992687385734,0.8125,0.7518142235123367,0.26099290780141843,0.1875,0.02448210922787194
0.49,13,514,3,175,0.04788213627992634,0.8125,0.7460087082728593,0.26666666666666666,0.1875,0.024667931688804556
0.5,13,514,3,175,0.04788213627992634,0.8125,0.7460087082728593,0.26666666666666666,0.1875,0.024667931688804556
0.51,13,512,3,177,0.04805914972273568,0.8125,0.7431059506531205,0.2695035460992908,0.1875,0.024761904761904763
0.52,13,509,3,180,0.0483271375464684,0.8125,0.7387518142235123,0.27375886524822696,0.1875,0.02490421455938697
0.53,13,502,3,187,0.04896421845574388,0.8125,0.7285921625544267,0.28368794326241137,0.1875,0.02524271844660194
0.54,13,496,3,193,0.049523809523809526,0.8125,0.7198838896952104,0.29219858156028367,0.1875,0.025540275049115914
0.55,13,491,3,198,0.049999999999999996,0.8125,0.7126269956458636,0.29929078014184396,0.1875,0.025793650793650792
0.56,13,487,3,202,0.0503875968992248,0.8125,0.706821480406386,0.3049645390070922,0.1875,0.026
0.57,13,482,3,207,0.050880626223091974,0.8125,0.6995645863570392,0.3120567375886525,0.1875,0.026262626262626262
0.58,13,480,3,209,0.05108055009823183,0.8125,0.6966618287373004,0.3148936170212766,0.1875,0.02636916835699797
0.59,13,478,3,211,0.05128205128205129,0.8125,0.6937590711175616,0.3177304964539007,0.1875,0.026476578411405296
0.6,13,476,3,213,0.05148514851485149,0.8125,0.690856313497823,0.32056737588652484,0.1875,0.026584867075664622
0.61,13,473,3,216,0.05179282868525896,0.8125,0.6865021770682148,0.324822695035461,0.1875,0.026748971193415638
0.62,12,468,4,221,0.048387096774193554,0.75,0.6792452830188679,0.3304964539007092,0.25,0.025
0.63,11,467,5,222,0.04453441295546559,0.6875,0.6777939042089985,0.3304964539007092,0.3125,0.02301255230125523
0.64,11,461,5,228,0.04508196721311475,0.6875,0.6690856313497823,0.33900709219858155,0.3125,0.023305084745762712
0.65,11,458,5,231,0.04536082474226804,0.6875,0.6647314949201741,0.3432624113475177,0.3125,0.023454157782515993
0.66,11,454,5,235,0.045738045738045734,0.6875,0.6589259796806967,0.34893617021276596,0.3125,0.023655913978494623
0.67,11,452,5,237,0.045929018789144044,0.6875,0.6560232220609579,0.3517730496453901,0.3125,0.023758099352051837
0.68,11,449,5,240,0.04621848739495799,0.6875,0.6516690856313497,0.35602836879432626,0.3125,0.02391304347826087
0.69,11,449,5,240,0.04621848739495799,0.6875,0.6516690856313497,0.35602836879432626,0.3125,0.02391304347826087
0.7,11,448,5,241,0.046315789473684206,0.6875,0.6502177068214804,0.3574468085106383,0.3125,0.023965141612200435
0.71,11,445,5,244,0.046610169491525424,0.6875,0.6458635703918723,0.3617021276595745,0.3125,0.02412280701754386
0.72,11,442,5,247,0.04690831556503198,0.6875,0.6415094339622641,0.3659574468085106,0.3125,0.024282560706401765
0.73,11,437,5,252,0.04741379310344827,0.6875,0.6342525399129173,0.3730496453900709,0.3125,0.024553571428571428
0.74,11,432,5,257,0.04793028322440087,0.6875,0.6269956458635704,0.3801418439716312,0.3125,0.024830699774266364
0.75,11,422,5,267,0.0489977728285078,0.6875,0.6124818577648766,0.3943262411347518,0.3125,0.025404157043879907
0.76,11,419,5,270,0.04932735426008968,0.6875,0.6081277213352685,0.39858156028368796,0.3125,0.02558139534883721
0.77,10,415,6,274,0.045351473922902494,0.625,0.602322206095791,0.40283687943262414,0.375,0.023529411764705882
0.78,9,411,7,278,0.04128440366972477,0.5625,0.5965166908563135,0.40709219858156026,0.4375,0.02142857142857143
0.79,9,410,7,279,0.041379310344827586,0.5625,0.5950653120464441,0.4085106382978723,0.4375,0.021479713603818614
0.8,8,405,8,284,0.037296037296037296,0.5,0.5878084179970973,0.41418439716312055,0.5,0.01937046004842615
0.81,8,400,8,289,0.03773584905660377,0.5,0.5805515239477503,0.42127659574468085,0.5,0.0196078431372549
0.82,8,397,8,292,0.03800475059382423,0.5,0.5761973875181422,0.425531914893617,0.5,0.019753086419753086
0.83,7,390,9,299,0.03389830508474576,0.4375,0.5660377358490566,0.4340425531914894,0.5625,0.017632241813602016
0.84,7,390,9,299,0.03389830508474576,0.4375,0.5660377358490566,0.4340425531914894,0.5625,0.017632241813602016
0.85,7,388,9,301,0.03406326034063261,0.4375,0.5631349782293179,0.4368794326241135,0.5625,0.017721518987341773
0.86,7,384,9,305,0.0343980343980344,0.4375,0.5573294629898403,0.4425531914893617,0.5625,0.017902813299232736
0.87,7,377,9,312,0.035,0.4375,0.5471698113207547,0.4524822695035461,0.5625,0.018229166666666668
0.88,7,374,9,315,0.03526448362720404,0.4375,0.5428156748911466,0.45673758865248226,0.5625,0.01837270341207349
0.89,7,365,9,324,0.03608247422680412,0.4375,0.5297532656023222,0.4695035460992908,0.5625,0.01881720430107527
0.9,7,360,9,329,0.03655352480417755,0.4375,0.5224963715529753,0.4765957446808511,0.5625,0.01907356948228883
0.91,6,359,10,330,0.03149606299212598,0.375,0.521044992743106,0.4765957446808511,0.625,0.01643835616438356
0.92,5,355,11,334,0.026595744680851064,0.3125,0.5152394775036284,0.4808510638297872,0.6875,0.013888888888888888
0.93,5,353,11,336,0.0267379679144385,0.3125,0.5123367198838897,0.4836879432624113,0.6875,0.013966480446927373
0.94,5,349,11,340,0.02702702702702703,0.3125,0.5065312046444121,0.48936170212765956,0.6875,0.014124293785310734
0.95,5,349,11,340,0.02702702702702703,0.3125,0.5065312046444121,0.48936170212765956,0.6875,0.014124293785310734
0.96,5,344,11,345,0.027397260273972605,0.3125,0.49927431059506533,0.49645390070921985,0.6875,0.014326647564469915
0.97,5,339,11,350,0.027777777777777776,0.3125,0.49201741654571846,0.5035460992907801,0.6875,0.014534883720930232
0.98,5,337,11,352,0.02793296089385475,0.3125,0.48911465892597966,0.5063829787234042,0.6875,0.014619883040935672
0.99,5,334,11,355,0.028169014084507043,0.3125,0.4847605224963715,0.5106382978723404,0.6875,0.014749262536873156
1.0,5,330,11,359,0.028490028490028487,0.3125,0.47895500725689405,0.5163120567375886,0.6875,0.014925373134328358
1.01,5,329,11,360,0.028571428571428574,0.3125,0.47750362844702465,0.5177304964539007,0.6875,0.014970059880239521
1.02,5,324,11,365,0.028985507246376812,0.3125,0.4702467343976778,0.524822695035461,0.6875,0.015197568389057751
1.03,5,322,11,367,0.029154518950437316,0.3125,0.46734397677793904,0.5276595744680851,0.6875,0.01529051987767584
1.04,5,319,11,370,0.02941176470588235,0.3125,0.4629898403483309,0.5319148936170213,0.6875,0.015432098765432098
1.05,5,316,11,373,0.029673590504451036,0.3125,0.45863570391872277,0.5361702127659574,0.6875,0.01557632398753894
1.06,3,314,13,375,0.018018018018018018,0.1875,0.45573294629898403,0.5361702127659574,0.8125,0.00946372239747634
1.07,2,310,14,379,0.012195121951219511,0.125,0.44992743105950656,0.5404255319148936,0.875,0.00641025641025641
1.08,2,309,14,380,0.012232415902140673,0.125,0.44847605224963716,0.5418439716312057,0.875,0.006430868167202572
1.09,2,305,14,384,0.01238390092879257,0.125,0.4426705370101596,0.5475177304964539,0.875,0.006514657980456026
