Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,0,705,0,0,None,None,None,0.0,None,None
0.01,0,685,0,20,None,None,0.9716312056737588,0.028368794326241134,None,None
0.02,0,671,0,34,None,None,0.9517730496453901,0.04822695035460993,None,None
0.03,0,662,0,43,None,None,0.9390070921985816,0.06099290780141844,None,None
0.04,0,652,0,53,None,None,0.924822695035461,0.075177304964539,None,None
0.05,0,642,0,63,None,None,0.9106382978723404,0.08936170212765958,None,None
0.06,0,632,0,73,None,None,0.8964539007092198,0.10354609929078014,None,None
0.07,0,618,0,87,None,None,0.8765957446808511,0.12340425531914893,None,None
0.08,0,596,0,109,None,None,0.8453900709219858,0.15460992907801419,None,None
0.09,0,578,0,127,None,None,0.8198581560283688,0.18014184397163122,None,None
0.1,0,565,0,140,None,None,0.8014184397163121,0.19858156028368795,None,None
0.11,0,557,0,148,None,None,0.7900709219858156,0.2099290780141844,None,None
0.12,0,544,0,161,None,None,0.7716312056737589,0.22836879432624113,None,None
0.13,0,526,0,179,None,None,0.7460992907801418,0.25390070921985813,None,None
0.14,0,511,0,194,None,None,0.724822695035461,0.275177304964539,None,None
0.15,0,496,0,209,None,None,0.7035460992907802,0.29645390070921984,None,None
0.16,0,480,0,225,None,None,0.6808510638297872,0.3191489361702128,None,None
0.17,0,471,0,234,None,None,0.6680851063829787,0.33191489361702126,None,None
0.18,0,456,0,249,None,None,0.6468085106382979,0.35319148936170214,None,None
0.19,0,443,0,262,None,None,0.6283687943262412,0.37163120567375885,None,None
0.2,0,427,0,278,None,None,0.6056737588652482,0.3943262411347518,None,None
0.21,0,418,0,287,None,None,0.5929078014184397,0.40709219858156026,None,None
0.22,0,404,0,301,None,None,0.573049645390071,0.4269503546099291,None,None
0.23,0,392,0,313,None,None,0.5560283687943263,0.44397163120567373,None,None
0.24,0,374,0,331,None,None,0.5304964539007092,0.4695035460992908,None,None
0.25,0,358,0,347,None,None,0.5078014184397163,0.4921985815602837,None,None
0.26,0,350,0,355,None,None,0.49645390070921985,0.5035460992907801,None,None
0.27,0,335,0,370,None,None,0.475177304964539,0.524822695035461,None,None
0.28,0,328,0,377,None,None,0.4652482269503546,0.5347517730496454,None,None
0.29,0,322,0,383,None,None,0.45673758865248226,0.5432624113475177,None,None
0.3,0,316,0,389,None,None,0.4482269503546099,0.5517730496453901,None,None
0.31,0,310,0,395,None,None,0.4397163120567376,0.5602836879432624,None,None
0.32,0,299,0,406,None,None,0.42411347517730497,0.5758865248226951,None,None
0.33,0,286,0,419,None,None,0.4056737588652482,0.5943262411347517,None,None
0.34,0,273,0,432,None,None,0.3872340425531915,0.6127659574468085,None,None
0.35,0,261,0,444,None,None,0.3702127659574468,0.6297872340425532,None,None
0.36,0,251,0,454,None,None,0.35602836879432626,0.6439716312056738,None,None
0.37,0,246,0,459,None,None,0.34893617021276596,0.6510638297872341,None,None
0.38,0,234,0,471,None,None,0.33191489361702126,0.6680851063829787,None,None
0.39,0,229,0,476,None,None,0.324822695035461,0.675177304964539,None,None
0.4,0,217,0,488,None,None,0.3078014184397163,0.6921985815602837,None,None
0.41,0,208,0,497,None,None,0.2950354609929078,0.7049645390070922,None,None
0.42,0,201,0,504,None,None,0.2851063829787234,0.7148936170212766,None,None
0.43,0,196,0,509,None,None,0.27801418439716313,0.7219858156028369,None,None
0.44,0,184,0,521,None,None,0.26099290780141843,0.7390070921985815,None,None
0.45,0,177,0,528,None,None,0.251063829787234,0.7489361702127659,None,None
0.46,0,173,0,532,None,None,0.2453900709219858,0.7546099290780142,None,None
0.47,0,160,0,545,None,None,0.22695035460992907,0.7730496453900709,None,None
0.48,0,152,0,553,None,None,0.21560283687943263,0.7843971631205674,None,None
0.49,0,145,0,560,None,None,0.20567375886524822,0.7943262411347518,None,None
0.5,0,137,0,568,None,None,0.19432624113475178,0.8056737588652483,None,None
0.51,0,134,0,571,None,None,0.1900709219858156,0.8099290780141843,None,None
0.52,0,129,0,576,None,None,0.1829787234042553,0.8170212765957446,None,None
0.53,0,124,0,581,None,None,0.17588652482269504,0.8241134751773049,None,None
