Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,19,681,0,0,None,None,None,0.027142857142857142,None,0.027142857142857142
0.01,19,664,0,17,None,None,0.9750367107195301,0.05142857142857143,None,0.027818448023426062
0.02,18,647,1,34,0.052631578947368425,0.9473684210526315,0.9500734214390602,0.07428571428571429,0.05263157894736842,0.02706766917293233
0.03,18,634,1,47,0.05365126676602087,0.9473684210526315,0.9309838472834068,0.09285714285714286,0.05263157894736842,0.027607361963190184
0.04,17,618,2,63,0.05198776758409785,0.8947368421052632,0.9074889867841409,0.11428571428571428,0.10526315789473684,0.026771653543307086
0.05,15,599,4,82,0.047393364928909956,0.7894736842105263,0.8795888399412628,0.13857142857142857,0.21052631578947367,0.024429967426710098
0.06,15,588,4,93,0.048231511254019296,0.7894736842105263,0.8634361233480177,0.15428571428571428,0.21052631578947367,0.024875621890547265
0.07,14,582,5,99,0.04552845528455285,0.7368421052631579,0.8546255506607929,0.16142857142857142,0.2631578947368421,0.02348993288590604
0.08,14,567,5,114,0.04666666666666667,0.7368421052631579,0.8325991189427313,0.18285714285714286,0.2631578947368421,0.024096385542168676
0.09,14,549,5,132,0.048109965635738834,0.7368421052631579,0.8061674008810573,0.20857142857142857,0.2631578947368421,0.02486678507992895
0.1,14,539,5,142,0.04895104895104895,0.7368421052631579,0.7914831130690162,0.22285714285714286,0.2631578947368421,0.02531645569620253
0.11,13,528,6,153,0.04642857142857142,0.6842105263157895,0.775330396475771,0.23714285714285716,0.3157894736842105,0.024029574861367836
0.12,13,519,6,162,0.04718693284936478,0.6842105263157895,0.762114537444934,0.25,0.3157894736842105,0.02443609022556391
0.13,13,511,6,170,0.04788213627992633,0.6842105263157895,0.750367107195301,0.26142857142857145,0.3157894736842105,0.02480916030534351
0.14,13,505,6,176,0.048417132216014895,0.6842105263157895,0.7415565345080763,0.27,0.3157894736842105,0.025096525096525095
0.15,13,496,6,185,0.04924242424242423,0.6842105263157895,0.7283406754772394,0.28285714285714286,0.3157894736842105,0.025540275049115914
0.16,13,489,6,192,0.04990403071017275,0.6842105263157895,0.7180616740088106,0.29285714285714287,0.3157894736842105,0.025896414342629483
0.17,13,482,6,199,0.050583657587548646,0.6842105263157895,0.7077826725403817,0.3028571428571429,0.3157894736842105,0.026262626262626262
0.18,13,476,6,205,0.051181102362204724,0.6842105263157895,0.6989720998531571,0.31142857142857144,0.3157894736842105,0.026584867075664622
0.19,13,473,6,208,0.05148514851485148,0.6842105263157895,0.6945668135095447,0.3157142857142857,0.3157894736842105,0.026748971193415638
0.2,12,466,7,215,0.048289738430583505,0.631578947368421,0.684287812041116,0.3242857142857143,0.3684210526315789,0.02510460251046025
0.21,12,461,7,220,0.04878048780487805,0.631578947368421,0.6769456681350955,0.3314285714285714,0.3684210526315789,0.02536997885835095
0.22,12,456,7,225,0.049281314168377825,0.631578947368421,0.6696035242290749,0.3385714285714286,0.3684210526315789,0.02564102564102564
0.23,12,449,7,232,0.05,0.631578947368421,0.6593245227606461,0.3485714285714286,0.3684210526315789,0.026030368763557483
0.24,12,447,7,234,0.0502092050209205,0.631578947368421,0.6563876651982379,0.3514285714285714,0.3684210526315789,0.026143790849673203
0.25,12,443,7,238,0.050632911392405056,0.631578947368421,0.6505139500734214,0.35714285714285715,0.3684210526315789,0.026373626373626374
0.26,12,442,7,239,0.0507399577167019,0.631578947368421,0.6490455212922174,0.3585714285714286,0.3684210526315789,0.02643171806167401
0.27,12,435,7,246,0.05150214592274679,0.631578947368421,0.6387665198237885,0.36857142857142855,0.3684210526315789,0.026845637583892617
0.28,12,428,7,253,0.05228758169934641,0.631578947368421,0.6284875183553598,0.37857142857142856,0.3684210526315789,0.02727272727272727
0.29,12,421,7,260,0.05309734513274336,0.631578947368421,0.618208516886931,0.38857142857142857,0.3684210526315789,0.02771362586605081
