Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,679,0,0,None,None,None,0.02302158273381295,None,0.02302158273381295
0.01,16,669,0,10,None,None,0.9852724594992637,0.03741007194244604,None,0.02335766423357664
0.02,16,652,0,27,None,None,0.9602356406480118,0.0618705035971223,None,0.023952095808383235
0.03,16,630,0,49,None,None,0.9278350515463918,0.09352517985611511,None,0.02476780185758514
0.04,15,611,1,68,0.04672897196261682,0.9375,0.8998527245949927,0.11942446043165468,0.0625,0.023961661341853034
0.05,14,588,2,91,0.045307443365695796,0.875,0.865979381443299,0.1510791366906475,0.125,0.023255813953488372
0.06,13,571,3,108,0.04333333333333333,0.8125,0.8409425625920471,0.17410071942446043,0.1875,0.02226027397260274
0.07,13,557,3,122,0.044368600682593864,0.8125,0.8203240058910162,0.19424460431654678,0.1875,0.02280701754385965
0.08,12,542,4,137,0.042105263157894736,0.75,0.7982326951399117,0.2143884892086331,0.25,0.021660649819494584
0.09,12,527,4,152,0.043243243243243246,0.75,0.7761413843888071,0.23597122302158274,0.25,0.022263450834879406
0.1,12,515,4,164,0.04419889502762431,0.75,0.7584683357879234,0.25323741007194245,0.25,0.022770398481973434
0.11,12,502,4,177,0.045283018867924525,0.75,0.7393225331369662,0.2719424460431655,0.25,0.023346303501945526
0.12,11,493,5,186,0.0423076923076923,0.6875,0.7260677466863034,0.28345323741007195,0.3125,0.021825396825396824
0.13,11,480,5,199,0.04339250493096646,0.6875,0.7069219440353461,0.302158273381295,0.3125,0.02240325865580448
0.14,10,471,6,208,0.04024144869215292,0.625,0.6936671575846833,0.31366906474820144,0.375,0.02079002079002079
0.15,10,457,6,222,0.04140786749482401,0.625,0.6730486008836525,0.3338129496402878,0.375,0.021413276231263382
0.16,9,448,7,231,0.03805496828752643,0.5625,0.6597938144329897,0.34532374100719426,0.4375,0.019693654266958426
0.17,9,439,7,240,0.03879310344827587,0.5625,0.646539027982327,0.35827338129496406,0.4375,0.020089285714285716
0.18,9,434,7,245,0.0392156862745098,0.5625,0.6391752577319587,0.36546762589928056,0.4375,0.020316027088036117
0.19,9,422,7,257,0.04026845637583893,0.5625,0.6215022091310751,0.38273381294964026,0.4375,0.02088167053364269
0.2,8,417,8,262,0.036281179138321996,0.5,0.614138438880707,0.38848920863309355,0.5,0.018823529411764704
0.21,8,411,8,268,0.036781609195402305,0.5,0.605301914580265,0.3971223021582734,0.5,0.01909307875894988
0.22,8,406,8,273,0.037209302325581395,0.5,0.5979381443298969,0.40431654676258993,0.5,0.01932367149758454
0.23,8,397,8,282,0.03800475059382423,0.5,0.5846833578792342,0.4172661870503597,0.5,0.019753086419753086
0.24,8,391,8,288,0.038554216867469876,0.5,0.5758468335787923,0.42589928057553955,0.5,0.020050125313283207
0.25,7,383,9,296,0.034482758620689655,0.4375,0.5640648011782032,0.43597122302158275,0.5625,0.017948717948717947
0.26,7,379,9,300,0.03482587064676616,0.4375,0.5581737849779087,0.441726618705036,0.5625,0.018134715025906734
0.27,7,375,9,304,0.035175879396984924,0.4375,0.5522827687776142,0.4474820143884892,0.5625,0.01832460732984293
0.28,7,373,9,306,0.03535353535353535,0.4375,0.5493372606774669,0.4503597122302158,0.5625,0.018421052631578946
0.29,7,366,9,313,0.03598971722365038,0.4375,0.5390279823269514,0.460431654676259,0.5625,0.01876675603217158
0.3,7,364,9,315,0.03617571059431524,0.4375,0.5360824742268041,0.4633093525179856,0.5625,0.018867924528301886
0.31,7,363,9,316,0.03626943005181347,0.4375,0.5346097201767305,0.46474820143884893,0.5625,0.01891891891891892
0.32,7,359,9,320,0.03664921465968587,0.4375,0.5287187039764359,0.47050359712230216,0.5625,0.01912568306010929
0.33,6,353,10,326,0.032,0.375,0.5198821796759941,0.4776978417266187,0.625,0.016713091922005572
0.34,6,346,10,333,0.03260869565217391,0.375,0.5095729013254786,0.48776978417266187,0.625,0.017045454545454544
0.35,6,341,10,338,0.03305785123966942,0.375,0.5022091310751104,0.4949640287769784,0.625,0.01729106628242075
0.36,6,336,10,343,0.0335195530726257,0.375,0.4948453608247423,0.5021582733812949,0.625,0.017543859649122806
0.37,6,333,10,346,0.03380281690140845,0.375,0.49042709867452133,0.5064748201438849,0.625,0.017699115044247787
0.38,6,328,10,351,0.03428571428571429,0.375,0.48306332842415317,0.5136690647482014,0.625,0.017964071856287425
0.39,6,321,10,358,0.03498542274052478,0.375,0.4727540500736377,0.5237410071942447,0.625,0.01834862385321101
0.4,6,317,10,362,0.035398230088495575,0.375,0.46686303387334316,0.5294964028776978,0.625,0.018575851393188854
0.41,5,312,11,367,0.030030030030030026,0.3125,0.45949926362297494,0.5352517985611511,0.6875,0.015772870662460567
0.42,5,310,11,369,0.030211480362537763,0.3125,0.4565537555228277,0.5381294964028777,0.6875,0.015873015873015872
0.43,5,305,11,374,0.03067484662576687,0.3125,0.4491899852724595,0.5453237410071943,0.6875,0.016129032258064516
0.44,5,301,11,378,0.031055900621118012,0.3125,0.44329896907216493,0.5510791366906475,0.6875,0.016339869281045753
0.45,5,298,11,381,0.031347962382445145,0.3125,0.43888070692194403,0.5553956834532374,0.6875,0.0165016501650165
0.46,5,294,11,385,0.031746031746031744,0.3125,0.4329896907216495,0.5611510791366906,0.6875,0.016722408026755852
0.47,5,287,11,392,0.032467532467532464,0.3125,0.422680412371134,0.5712230215827339,0.6875,0.017123287671232876
0.48,5,281,11,398,0.033112582781456956,0.3125,0.41384388807069217,0.5798561151079137,0.6875,0.017482517482517484
0.49,5,279,11,400,0.03333333333333334,0.3125,0.4108983799705449,0.5827338129496403,0.6875,0.017605633802816902
0.5,4,276,12,403,0.027027027027027025,0.25,0.406480117820324,0.5856115107913669,0.75,0.014285714285714285
0.51,4,274,12,405,0.027210884353741496,0.25,0.40353460972017674,0.5884892086330935,0.75,0.014388489208633094
0.52,4,271,12,408,0.027491408934707907,0.25,0.39911634756995584,0.5928057553956835,0.75,0.014545454545454545
0.53,4,267,12,412,0.02787456445993031,0.25,0.39322533136966126,0.5985611510791367,0.75,0.014760147601476014
0.54,3,262,13,417,0.021352313167259787,0.1875,0.3858615611192931,0.60431654676259,0.8125,0.011320754716981131
0.55,3,256,13,423,0.021818181818181816,0.1875,0.37702503681885124,0.6129496402877698,0.8125,0.011583011583011582
0.56,3,254,13,425,0.021978021978021976,0.1875,0.374079528718704,0.6158273381294964,0.8125,0.011673151750972763
0.57,3,249,13,430,0.022388059701492536,0.1875,0.36671575846833576,0.6230215827338129,0.8125,0.011904761904761904
0.58,3,246,13,433,0.022641509433962266,0.1875,0.36229749631811486,0.6273381294964029,0.8125,0.012048192771084338
0.59,3,245,13,434,0.022727272727272724,0.1875,0.36082474226804123,0.6287769784172662,0.8125,0.012096774193548387
0.6,3,242,13,437,0.022988505747126433,0.1875,0.35640648011782033,0.6330935251798561,0.8125,0.012244897959183673
0.61,3,237,13,442,0.023437500000000003,0.1875,0.3490427098674521,0.6402877697841727,0.8125,0.0125
0.62,3,231,13,448,0.024,0.1875,0.3402061855670103,0.6489208633093525,0.8125,0.01282051282051282
0.63,3,224,13,455,0.02469135802469136,0.1875,0.32989690721649484,0.6589928057553956,0.8125,0.013215859030837005
0.64,3,223,13,456,0.024793388429752067,0.1875,0.3284241531664212,0.660431654676259,0.8125,0.01327433628318584
0.65,3,219,13,460,0.025210084033613446,0.1875,0.3225331369661267,0.6661870503597123,0.8125,0.013513513513513514
0.66,3,217,13,462,0.02542372881355932,0.1875,0.31958762886597936,0.6690647482014388,0.8125,0.013636363636363636
0.67,2,214,14,465,0.017241379310344827,0.125,0.31516936671575846,0.6719424460431654,0.875,0.009259259259259259
0.68,2,209,14,470,0.01762114537444934,0.125,0.3078055964653903,0.679136690647482,0.875,0.009478672985781991
0.69,2,206,14,473,0.01785714285714286,0.125,0.30338733431516934,0.6834532374100719,0.875,0.009615384615384616
0.7,2,203,14,476,0.018099547511312215,0.125,0.29896907216494845,0.6877697841726619,0.875,0.00975609756097561
0.71,2,199,14,480,0.018433179723502304,0.125,0.2930780559646539,0.6935251798561151,0.875,0.009950248756218905
0.72,1,194,15,485,0.009478672985781991,0.0625,0.2857142857142857,0.6992805755395683,0.9375,0.005128205128205128
0.73,1,193,15,486,0.009523809523809525,0.0625,0.28424153166421207,0.7007194244604317,0.9375,0.005154639175257732
0.74,1,191,15,488,0.009615384615384616,0.0625,0.2812960235640648,0.7035971223021583,0.9375,0.005208333333333333
0.75,1,186,15,493,0.009852216748768473,0.0625,0.27393225331369664,0.7107913669064748,0.9375,0.0053475935828877
0.76,1,186,15,493,0.009852216748768473,0.0625,0.27393225331369664,0.7107913669064748,0.9375,0.0053475935828877
0.77,1,182,15,497,0.010050251256281405,0.0625,0.26804123711340205,0.7165467625899281,0.9375,0.00546448087431694
0.78,1,181,15,498,0.010101010101010102,0.0625,0.2665684830633284,0.7179856115107913,0.9375,0.005494505494505495
0.79,1,177,15,502,0.010309278350515464,0.0625,0.2606774668630339,0.7237410071942446,0.9375,0.0056179775280898875
0.8,1,173,15,506,0.010526315789473686,0.0625,0.2547864506627393,0.7294964028776978,0.9375,0.005747126436781609
0.81,1,170,15,509,0.0106951871657754,0.0625,0.2503681885125184,0.7338129496402878,0.9375,0.005847953216374269
0.82,1,168,15,511,0.01081081081081081,0.0625,0.24742268041237114,0.7366906474820144,0.9375,0.005917159763313609
0.83,1,167,15,512,0.010869565217391302,0.0625,0.24594992636229748,0.7381294964028777,0.9375,0.005952380952380952
