Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
0.01,18,655,0,22,None,None,0.9675036927621861,0.05755395683453238,None,0.02674591381872214
0.02,18,635,0,42,None,None,0.9379615952732644,0.08633093525179857,None,0.027565084226646247
0.03,18,623,0,54,None,None,0.9202363367799113,0.10359712230215827,None,0.028081123244929798
0.04,18,615,0,62,None,None,0.9084194977843427,0.11510791366906475,None,0.02843601895734597
0.05,18,602,0,75,None,None,0.8892171344165436,0.13381294964028778,None,0.02903225806451613
0.06,18,589,0,88,None,None,0.8700147710487445,0.15251798561151078,None,0.029654036243822075
0.07,17,584,1,93,0.05492730210016155,0.9444444444444444,0.8626292466765141,0.15827338129496402,0.05555555555555555,0.028286189683860232
0.08,17,576,1,101,0.05564648117839607,0.9444444444444444,0.8508124076809453,0.1697841726618705,0.05555555555555555,0.02866779089376054
0.09,17,570,1,107,0.05619834710743802,0.9444444444444444,0.8419497784342689,0.17841726618705037,0.05555555555555555,0.028960817717206135
0.1,17,561,1,116,0.05704697986577181,0.9444444444444444,0.8286558345642541,0.19136690647482013,0.05555555555555555,0.029411764705882353
0.11,16,557,2,120,0.05414551607445009,0.8888888888888888,0.8227474150664698,0.19568345323741007,0.1111111111111111,0.027923211169284468
0.12,16,551,2,126,0.054700854700854694,0.8888888888888888,0.8138847858197932,0.20431654676258992,0.1111111111111111,0.02821869488536155
0.13,16,542,2,135,0.05555555555555555,0.8888888888888888,0.8005908419497785,0.21726618705035972,0.1111111111111111,0.02867383512544803
0.14,16,535,2,142,0.05623901581722319,0.8888888888888888,0.7902511078286558,0.2273381294964029,0.1111111111111111,0.029038112522686024
0.15,16,530,2,147,0.05673758865248227,0.8888888888888888,0.7828655834564254,0.23453237410071942,0.1111111111111111,0.029304029304029304
0.16,16,519,2,158,0.05786618444846293,0.8888888888888888,0.7666174298375185,0.2503597122302158,0.1111111111111111,0.029906542056074768
0.17,16,514,2,163,0.058394160583941604,0.8888888888888888,0.7592319054652881,0.25755395683453236,0.1111111111111111,0.03018867924528302
0.18,16,508,2,169,0.05904059040590405,0.8888888888888888,0.7503692762186115,0.26618705035971224,0.1111111111111111,0.030534351145038167
