Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
4e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
5e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
6e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
7e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
8e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
9e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.2e-07,16,683,0,1,None,None,0.9985380116959064,0.024285714285714285,None,0.022889842632331903
1.3e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.4e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.5e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.6e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.7e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.8e-07,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
1.9e-07,16,681,0,3,None,None,0.9956140350877193,0.027142857142857142,None,0.02295552367288379
2e-07,16,681,0,3,None,None,0.9956140350877193,0.027142857142857142,None,0.02295552367288379
2.1e-07,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
2.2e-07,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
2.3e-07,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
2.4e-07,16,679,0,5,None,None,0.9926900584795322,0.03,None,0.02302158273381295
2.5e-07,16,679,0,5,None,None,0.9926900584795322,0.03,None,0.02302158273381295
2.6e-07,15,679,1,5,0.04225352112676056,0.9375,0.9926900584795322,0.02857142857142857,0.0625,0.021613832853025938
2.7e-07,15,679,1,5,0.04225352112676056,0.9375,0.9926900584795322,0.02857142857142857,0.0625,0.021613832853025938
2.8e-07,15,678,1,6,0.04231311706629055,0.9375,0.9912280701754386,0.03,0.0625,0.021645021645021644
2.9e-07,15,678,1,6,0.04231311706629055,0.9375,0.9912280701754386,0.03,0.0625,0.021645021645021644
