Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2e-08,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
3e-08,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
4e-08,16,681,0,3,None,None,0.9956140350877193,0.027142857142857142,None,0.02295552367288379
5e-08,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
6e-08,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
7e-08,16,679,0,5,None,None,0.9926900584795322,0.03,None,0.02302158273381295
8e-08,16,677,0,7,None,None,0.9897660818713451,0.032857142857142856,None,0.023088023088023088
9e-08,16,676,0,8,None,None,0.9883040935672515,0.03428571428571429,None,0.023121387283236993
1e-07,16,675,0,9,None,None,0.9868421052631579,0.03571428571428571,None,0.023154848046309694
1.1e-07,16,675,0,9,None,None,0.9868421052631579,0.03571428571428571,None,0.023154848046309694
1.2e-07,16,675,0,9,None,None,0.9868421052631579,0.03571428571428571,None,0.023154848046309694
1.3e-07,16,675,0,9,None,None,0.9868421052631579,0.03571428571428571,None,0.023154848046309694
1.4e-07,16,673,0,11,None,None,0.9839181286549707,0.03857142857142857,None,0.023222060957910014
1.5e-07,16,672,0,12,None,None,0.9824561403508771,0.04,None,0.023255813953488372
1.6e-07,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
1.7e-07,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
1.8e-07,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
1.9e-07,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
2e-07,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
2.1e-07,16,670,0,14,None,None,0.97953216374269,0.04285714285714286,None,0.023323615160349854
2.2e-07,16,669,0,15,None,None,0.9780701754385965,0.04428571428571428,None,0.02335766423357664
2.3e-07,16,669,0,15,None,None,0.9780701754385965,0.04428571428571428,None,0.02335766423357664
2.4e-07,16,668,0,16,None,None,0.9766081871345029,0.045714285714285714,None,0.023391812865497075
2.5e-07,16,668,0,16,None,None,0.9766081871345029,0.045714285714285714,None,0.023391812865497075
2.6e-07,16,668,0,16,None,None,0.9766081871345029,0.045714285714285714,None,0.023391812865497075
2.7e-07,16,668,0,16,None,None,0.9766081871345029,0.045714285714285714,None,0.023391812865497075
2.8e-07,16,665,0,19,None,None,0.9722222222222222,0.05,None,0.023494860499265784
2.9e-07,16,665,0,19,None,None,0.9722222222222222,0.05,None,0.023494860499265784
