Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,19,686,0,0,None,None,None,0.02695035460992908,None,0.02695035460992908
0.01,19,673,0,13,None,None,0.9810495626822158,0.04539007092198582,None,0.02745664739884393
0.02,19,667,0,19,None,None,0.9723032069970845,0.05390070921985816,None,0.027696793002915453
0.03,19,656,0,30,None,None,0.956268221574344,0.06950354609929078,None,0.028148148148148148
0.04,19,643,0,43,None,None,0.9373177842565598,0.08794326241134752,None,0.028700906344410877
0.05,19,638,0,48,None,None,0.9300291545189504,0.0950354609929078,None,0.0289193302891933
0.06,19,624,0,62,None,None,0.9096209912536443,0.1148936170212766,None,0.029548989113530325
0.07,19,613,0,73,None,None,0.8935860058309038,0.13049645390070921,None,0.030063291139240507
0.08,19,606,0,80,None,None,0.8833819241982507,0.14042553191489363,None,0.0304
0.09,19,595,0,91,None,None,0.8673469387755102,0.15602836879432624,None,0.030944625407166124
0.1,19,588,0,98,None,None,0.8571428571428571,0.16595744680851063,None,0.03130148270181219
0.11,19,576,0,110,None,None,0.8396501457725948,0.1829787234042553,None,0.031932773109243695
0.12,19,568,0,118,None,None,0.8279883381924198,0.19432624113475178,None,0.03236797274275979
0.13,19,562,0,124,None,None,0.8192419825072886,0.2028368794326241,None,0.03270223752151463
0.14,19,557,0,129,None,None,0.8119533527696793,0.2099290780141844,None,0.03298611111111111
0.15,19,550,0,136,None,None,0.8017492711370262,0.2198581560283688,None,0.033391915641476276
0.16,19,545,0,141,None,None,0.7944606413994169,0.22695035460992907,None,0.03368794326241135
0.17,19,538,0,148,None,None,0.7842565597667639,0.23687943262411348,None,0.03411131059245961
0.18,19,534,0,152,None,None,0.7784256559766763,0.2425531914893617,None,0.034358047016274866
0.19,19,528,0,158,None,None,0.7696793002915452,0.251063829787234,None,0.03473491773308958
0.2,19,522,0,164,None,None,0.760932944606414,0.25957446808510637,None,0.03512014787430684
0.21,19,519,0,167,None,None,0.7565597667638484,0.26382978723404255,None,0.03531598513011153
0.22,19,518,0,168,None,None,0.7551020408163265,0.2652482269503546,None,0.035381750465549346
0.23,19,516,0,170,None,None,0.7521865889212828,0.2680851063829787,None,0.03551401869158879
0.24,19,513,0,173,None,None,0.7478134110787172,0.2723404255319149,None,0.03571428571428571
0.25,19,512,0,174,None,None,0.7463556851311953,0.27375886524822696,None,0.035781544256120526
0.26,19,509,0,177,None,None,0.7419825072886297,0.27801418439716313,None,0.03598484848484849
0.27,18,506,1,180,0.06629834254143648,0.9473684210526315,0.7376093294460642,0.28085106382978725,0.05263157894736842,0.03435114503816794
0.28,18,504,1,182,0.066543438077634,0.9473684210526315,0.7346938775510204,0.28368794326241137,0.05263157894736842,0.034482758620689655
0.29,18,499,1,187,0.06716417910447761,0.9473684210526315,0.7274052478134111,0.2907801418439716,0.05263157894736842,0.03481624758220503
0.3,18,495,1,191,0.06766917293233082,0.9473684210526315,0.7215743440233237,0.29645390070921984,0.05263157894736842,0.03508771929824561
0.31,17,489,2,197,0.06476190476190477,0.8947368421052632,0.7128279883381924,0.30354609929078014,0.10526315789473684,0.03359683794466403
0.32,17,484,2,202,0.06538461538461539,0.8947368421052632,0.7055393586005831,0.31063829787234043,0.10526315789473684,0.033932135728542916
0.33,17,481,2,205,0.06576402321083172,0.8947368421052632,0.7011661807580175,0.3148936170212766,0.10526315789473684,0.03413654618473896
0.34,17,478,2,208,0.06614785992217899,0.8947368421052632,0.6967930029154519,0.3191489361702128,0.10526315789473684,0.03434343434343434
0.35,17,476,2,210,0.06640625,0.8947368421052632,0.6938775510204082,0.3219858156028369,0.10526315789473684,0.034482758620689655
0.36,17,476,2,210,0.06640625,0.8947368421052632,0.6938775510204082,0.3219858156028369,0.10526315789473684,0.034482758620689655
0.37,17,472,2,214,0.06692913385826772,0.8947368421052632,0.6880466472303207,0.3276595744680851,0.10526315789473684,0.034764826175869123
0.38,17,470,2,216,0.06719367588932806,0.8947368421052632,0.685131195335277,0.3304964539007092,0.10526315789473684,0.03490759753593429
0.39,17,470,2,216,0.06719367588932806,0.8947368421052632,0.685131195335277,0.3304964539007092,0.10526315789473684,0.03490759753593429
0.4,17,466,2,220,0.06772908366533865,0.8947368421052632,0.6793002915451894,0.33617021276595743,0.10526315789473684,0.035196687370600416
0.41,17,461,2,225,0.06841046277665996,0.8947368421052632,0.6720116618075802,0.3432624113475177,0.10526315789473684,0.03556485355648536
0.42,17,460,2,226,0.06854838709677419,0.8947368421052632,0.6705539358600583,0.3446808510638298,0.10526315789473684,0.03563941299790356
0.43,17,458,2,228,0.06882591093117409,0.8947368421052632,0.6676384839650146,0.3475177304964539,0.10526315789473684,0.035789473684210524
0.44,17,454,2,232,0.06938775510204082,0.8947368421052632,0.6618075801749271,0.35319148936170214,0.10526315789473684,0.036093418259023353
0.45,17,453,2,233,0.06952965235173823,0.8947368421052632,0.6603498542274052,0.3546099290780142,0.10526315789473684,0.036170212765957444
0.46,17,451,2,235,0.06981519507186859,0.8947368421052632,0.6574344023323615,0.3574468085106383,0.10526315789473684,0.03632478632478633
0.47,17,447,2,239,0.07039337474120082,0.8947368421052632,0.6516034985422741,0.36312056737588655,0.10526315789473684,0.036637931034482756
0.48,17,444,2,242,0.07083333333333333,0.8947368421052632,0.6472303206997084,0.36737588652482267,0.10526315789473684,0.0368763557483731
0.49,17,440,2,246,0.07142857142857142,0.8947368421052632,0.641399416909621,0.3730496453900709,0.10526315789473684,0.037199124726477024
0.5,17,438,2,248,0.07172995780590717,0.8947368421052632,0.6384839650145773,0.375886524822695,0.10526315789473684,0.03736263736263736
0.51,17,436,2,250,0.07203389830508475,0.8947368421052632,0.6355685131195336,0.37872340425531914,0.10526315789473684,0.037527593818984545
0.52,17,435,2,251,0.07218683651804672,0.8947368421052632,0.6341107871720116,0.3801418439716312,0.10526315789473684,0.03761061946902655
0.53,17,433,2,253,0.07249466950959488,0.8947368421052632,0.6311953352769679,0.3829787234042553,0.10526315789473684,0.03777777777777778
0.54,17,432,2,254,0.07264957264957266,0.8947368421052632,0.6297376093294461,0.3843971631205674,0.10526315789473684,0.0378619153674833
0.55,17,432,2,254,0.07264957264957266,0.8947368421052632,0.6297376093294461,0.3843971631205674,0.10526315789473684,0.0378619153674833
0.56,17,431,2,255,0.07280513918629548,0.8947368421052632,0.6282798833819242,0.38581560283687943,0.10526315789473684,0.03794642857142857
0.57,17,429,2,257,0.07311827956989247,0.8947368421052632,0.6253644314868805,0.38865248226950355,0.10526315789473684,0.03811659192825112
0.58,17,426,2,260,0.07359307359307359,0.8947368421052632,0.6209912536443148,0.39290780141843973,0.10526315789473684,0.03837471783295711
0.59,17,426,2,260,0.07359307359307359,0.8947368421052632,0.6209912536443148,0.39290780141843973,0.10526315789473684,0.03837471783295711
0.6,17,425,2,261,0.07375271149674621,0.8947368421052632,0.619533527696793,0.3943262411347518,0.10526315789473684,0.038461538461538464
0.61,17,424,2,262,0.07391304347826087,0.8947368421052632,0.6180758017492711,0.39574468085106385,0.10526315789473684,0.03854875283446712
0.62,17,420,2,266,0.07456140350877194,0.8947368421052632,0.6122448979591837,0.4014184397163121,0.10526315789473684,0.038901601830663615
0.63,17,416,2,270,0.0752212389380531,0.8947368421052632,0.6064139941690962,0.40709219858156026,0.10526315789473684,0.03926096997690531
0.64,17,412,2,274,0.07589285714285714,0.8947368421052632,0.6005830903790087,0.4127659574468085,0.10526315789473684,0.039627039627039624
0.65,17,412,2,274,0.07589285714285714,0.8947368421052632,0.6005830903790087,0.4127659574468085,0.10526315789473684,0.039627039627039624
0.66,17,410,2,276,0.07623318385650224,0.8947368421052632,0.597667638483965,0.4156028368794326,0.10526315789473684,0.03981264637002342
0.67,17,406,2,280,0.07692307692307693,0.8947368421052632,0.5918367346938775,0.42127659574468085,0.10526315789473684,0.04018912529550828
0.68,17,404,2,282,0.07727272727272728,0.8947368421052632,0.5889212827988338,0.42411347517730497,0.10526315789473684,0.040380047505938245
0.69,17,401,2,285,0.07780320366132723,0.8947368421052632,0.5845481049562682,0.42836879432624114,0.10526315789473684,0.04066985645933014
0.7,17,398,2,288,0.0783410138248848,0.8947368421052632,0.5801749271137027,0.4326241134751773,0.10526315789473684,0.04096385542168675
0.71,17,394,2,292,0.07906976744186046,0.8947368421052632,0.5743440233236151,0.43829787234042555,0.10526315789473684,0.0413625304136253
0.72,17,390,2,296,0.07981220657276995,0.8947368421052632,0.5685131195335277,0.44397163120567373,0.10526315789473684,0.04176904176904177
0.73,17,389,2,297,0.07999999999999999,0.8947368421052632,0.5670553935860059,0.4453900709219858,0.10526315789473684,0.04187192118226601
0.74,17,387,2,299,0.08037825059101655,0.8947368421052632,0.5641399416909622,0.4482269503546099,0.10526315789473684,0.04207920792079208
0.75,16,387,3,299,0.07582938388625592,0.8421052631578947,0.5641399416909622,0.44680851063829785,0.15789473684210525,0.03970223325062035
0.76,15,383,4,303,0.07194244604316546,0.7894736842105263,0.5583090379008746,0.451063829787234,0.21052631578947367,0.03768844221105527
0.77,14,381,5,305,0.0676328502415459,0.7368421052631579,0.5553935860058309,0.4524822695035461,0.2631578947368421,0.035443037974683546
0.78,13,377,6,309,0.06356968215158924,0.6842105263157895,0.5495626822157434,0.45673758865248226,0.3157894736842105,0.03333333333333333
0.79,13,376,6,310,0.06372549019607843,0.6842105263157895,0.5481049562682215,0.4581560283687943,0.3157894736842105,0.033419023136246784
0.8,12,372,7,314,0.05955334987593052,0.631578947368421,0.5422740524781341,0.4624113475177305,0.3684210526315789,0.03125
