Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,0,705,0,0,None,None,None,0.0,None,None
0.01,0,691,0,14,None,None,0.9801418439716312,0.019858156028368795,None,None
0.02,0,683,0,22,None,None,0.9687943262411347,0.031205673758865248,None,None
0.03,0,670,0,35,None,None,0.950354609929078,0.04964539007092199,None,None
0.04,0,658,0,47,None,None,0.9333333333333333,0.06666666666666667,None,None
0.05,0,651,0,54,None,None,0.9234042553191489,0.07659574468085106,None,None
0.06,0,642,0,63,None,None,0.9106382978723404,0.08936170212765958,None,None
0.07,0,627,0,78,None,None,0.8893617021276595,0.11063829787234042,None,None
0.08,0,614,0,91,None,None,0.8709219858156029,0.12907801418439716,None,None
0.09,0,604,0,101,None,None,0.8567375886524823,0.14326241134751774,None,None
0.1,0,593,0,112,None,None,0.8411347517730496,0.15886524822695036,None,None
0.11,0,578,0,127,None,None,0.8198581560283688,0.18014184397163122,None,None
0.12,0,568,0,137,None,None,0.8056737588652483,0.19432624113475178,None,None
0.13,0,563,0,142,None,None,0.798581560283688,0.20141843971631207,None,None
0.14,0,553,0,152,None,None,0.7843971631205674,0.21560283687943263,None,None
0.15,0,544,0,161,None,None,0.7716312056737589,0.22836879432624113,None,None
0.16,0,533,0,172,None,None,0.7560283687943262,0.24397163120567375,None,None
0.17,0,519,0,186,None,None,0.7361702127659574,0.26382978723404255,None,None
0.18,0,505,0,200,None,None,0.7163120567375887,0.28368794326241137,None,None
0.19,0,499,0,206,None,None,0.7078014184397163,0.29219858156028367,None,None
0.2,0,487,0,218,None,None,0.6907801418439716,0.30921985815602837,None,None
0.21,0,473,0,232,None,None,0.6709219858156028,0.32907801418439714,None,None
0.22,0,465,0,240,None,None,0.6595744680851063,0.3404255319148936,None,None
0.23,0,447,0,258,None,None,0.6340425531914894,0.3659574468085106,None,None
0.24,0,441,0,264,None,None,0.625531914893617,0.37446808510638296,None,None
0.25,0,429,0,276,None,None,0.6085106382978723,0.39148936170212767,None,None
0.26,0,420,0,285,None,None,0.5957446808510638,0.40425531914893614,None,None
0.27,0,406,0,299,None,None,0.5758865248226951,0.42411347517730497,None,None
0.28,0,395,0,310,None,None,0.5602836879432624,0.4397163120567376,None,None
0.29,0,386,0,319,None,None,0.5475177304964539,0.4524822695035461,None,None
0.3,0,377,0,328,None,None,0.5347517730496454,0.4652482269503546,None,None
0.31,0,373,0,332,None,None,0.5290780141843971,0.47092198581560285,None,None
0.32,0,365,0,340,None,None,0.5177304964539007,0.48226950354609927,None,None
0.33,0,358,0,347,None,None,0.5078014184397163,0.4921985815602837,None,None
0.34,0,349,0,356,None,None,0.4950354609929078,0.5049645390070922,None,None
0.35,0,344,0,361,None,None,0.4879432624113475,0.5120567375886524,None,None
0.36,0,334,0,371,None,None,0.47375886524822697,0.526241134751773,None,None
0.37,0,327,0,378,None,None,0.46382978723404256,0.5361702127659574,None,None
0.38,0,316,0,389,None,None,0.4482269503546099,0.5517730496453901,None,None
0.39,0,307,0,398,None,None,0.43546099290780144,0.5645390070921986,None,None
0.4,0,298,0,407,None,None,0.4226950354609929,0.577304964539007,None,None
0.41,0,288,0,417,None,None,0.4085106382978723,0.5914893617021276,None,None
0.42,0,281,0,424,None,None,0.39858156028368796,0.601418439716312,None,None
0.43,0,272,0,433,None,None,0.38581560283687943,0.6141843971631206,None,None
0.44,0,264,0,441,None,None,0.37446808510638296,0.625531914893617,None,None
0.45,0,259,0,446,None,None,0.36737588652482267,0.6326241134751773,None,None
0.46,0,253,0,452,None,None,0.3588652482269504,0.6411347517730497,None,None
0.47,0,245,0,460,None,None,0.3475177304964539,0.6524822695035462,None,None
0.48,0,242,0,463,None,None,0.3432624113475177,0.6567375886524822,None,None
0.49,0,240,0,465,None,None,0.3404255319148936,0.6595744680851063,None,None
0.5,0,233,0,472,None,None,0.3304964539007092,0.6695035460992907,None,None
0.51,0,230,0,475,None,None,0.3262411347517731,0.6737588652482269,None,None
0.52,0,222,0,483,None,None,0.3148936170212766,0.6851063829787234,None,None
0.53,0,211,0,494,None,None,0.29929078014184396,0.700709219858156,None,None
0.54,0,198,0,507,None,None,0.28085106382978725,0.7191489361702128,None,None
0.55,0,192,0,513,None,None,0.2723404255319149,0.7276595744680852,None,None
0.56,0,188,0,517,None,None,0.26666666666666666,0.7333333333333333,None,None
0.57,0,181,0,524,None,None,0.25673758865248225,0.7432624113475177,None,None
0.58,0,178,0,527,None,None,0.2524822695035461,0.7475177304964539,None,None
0.59,0,170,0,535,None,None,0.24113475177304963,0.7588652482269503,None,None
0.6,0,169,0,536,None,None,0.2397163120567376,0.7602836879432624,None,None
0.61,0,163,0,542,None,None,0.23120567375886525,0.7687943262411348,None,None
0.62,0,160,0,545,None,None,0.22695035460992907,0.7730496453900709,None,None
0.63,0,156,0,549,None,None,0.22127659574468084,0.7787234042553192,None,None
0.64,0,151,0,554,None,None,0.21418439716312057,0.7858156028368795,None,None
0.65,0,146,0,559,None,None,0.20709219858156028,0.7929078014184398,None,None
0.66,0,140,0,565,None,None,0.19858156028368795,0.8014184397163121,None,None
0.67,0,136,0,569,None,None,0.19290780141843972,0.8070921985815603,None,None
0.68,0,134,0,571,None,None,0.1900709219858156,0.8099290780141843,None,None
0.69,0,128,0,577,None,None,0.18156028368794327,0.8184397163120567,None,None
0.7,0,127,0,578,None,None,0.18014184397163122,0.8198581560283688,None,None
0.71,0,125,0,580,None,None,0.1773049645390071,0.8226950354609929,None,None
0.72,0,123,0,582,None,None,0.17446808510638298,0.825531914893617,None,None
0.73,0,119,0,586,None,None,0.16879432624113475,0.8312056737588652,None,None
0.74,0,117,0,588,None,None,0.16595744680851063,0.8340425531914893,None,None
0.75,0,112,0,593,None,None,0.15886524822695036,0.8411347517730496,None,None
0.76,0,106,0,599,None,None,0.150354609929078,0.849645390070922,None,None
0.77,0,104,0,601,None,None,0.1475177304964539,0.8524822695035461,None,None
0.78,0,103,0,602,None,None,0.14609929078014183,0.8539007092198582,None,None
0.79,0,99,0,606,None,None,0.14042553191489363,0.8595744680851064,None,None
0.8,0,99,0,606,None,None,0.14042553191489363,0.8595744680851064,None,None
0.81,0,91,0,614,None,None,0.12907801418439716,0.8709219858156029,None,None
0.82,0,88,0,617,None,None,0.12482269503546099,0.875177304964539,None,None
0.83,0,84,0,621,None,None,0.11914893617021277,0.8808510638297873,None,None
0.84,0,82,0,623,None,None,0.11631205673758865,0.8836879432624114,None,None
0.85,0,80,0,625,None,None,0.11347517730496454,0.8865248226950354,None,None
0.86,0,79,0,626,None,None,0.11205673758865248,0.8879432624113475,None,None
0.87,0,78,0,627,None,None,0.11063829787234042,0.8893617021276595,None,None
0.88,0,77,0,628,None,None,0.10921985815602837,0.8907801418439716,None,None
0.89,0,76,0,629,None,None,0.10780141843971631,0.8921985815602836,None,None
0.9,0,75,0,630,None,None,0.10638297872340426,0.8936170212765957,None,None
0.91,0,74,0,631,None,None,0.1049645390070922,0.8950354609929078,None,None
0.92,0,74,0,631,None,None,0.1049645390070922,0.8950354609929078,None,None
0.93,0,71,0,634,None,None,0.10070921985815603,0.8992907801418439,None,None
