Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
0.01,14,646,2,38,0.04142011834319527,0.875,0.9444444444444444,0.07428571428571429,0.125,0.021212121212121213
0.02,11,598,5,86,0.035199999999999995,0.6875,0.8742690058479532,0.13857142857142857,0.3125,0.0180623973727422
0.03,10,537,6,147,0.035523978685612786,0.625,0.7850877192982456,0.22428571428571428,0.375,0.018281535648994516
0.04,9,506,7,178,0.03389830508474576,0.5625,0.7397660818713451,0.2671428571428571,0.4375,0.017475728155339806
0.05,7,470,9,214,0.028397565922920896,0.4375,0.6871345029239766,0.3157142857142857,0.5625,0.014675052410901468
0.06,6,441,10,243,0.02591792656587473,0.375,0.6447368421052632,0.3557142857142857,0.625,0.013422818791946308
0.07,6,409,10,275,0.027842227378190254,0.375,0.597953216374269,0.4014285714285714,0.625,0.014457831325301205
0.08,3,369,13,315,0.015463917525773196,0.1875,0.5394736842105263,0.4542857142857143,0.8125,0.008064516129032258
0.09,3,343,13,341,0.016574585635359115,0.1875,0.5014619883040936,0.49142857142857144,0.8125,0.008670520231213872
0.1,1,326,15,358,0.0058309037900874635,0.0625,0.4766081871345029,0.5128571428571429,0.9375,0.0030581039755351682
0.11,1,309,15,375,0.006134969325153374,0.0625,0.4517543859649123,0.5371428571428571,0.9375,0.0032258064516129032
0.12,1,283,15,401,0.006666666666666667,0.0625,0.4137426900584795,0.5742857142857143,0.9375,0.0035211267605633804
0.13,1,256,15,428,0.007326007326007326,0.0625,0.3742690058479532,0.6128571428571429,0.9375,0.0038910505836575876
0.14,1,243,15,441,0.007692307692307692,0.0625,0.35526315789473684,0.6314285714285715,0.9375,0.004098360655737705
0.15,1,229,15,455,0.008130081300813007,0.0625,0.3347953216374269,0.6514285714285715,0.9375,0.004347826086956522
0.16,1,215,15,469,0.008620689655172414,0.0625,0.31432748538011696,0.6714285714285714,0.9375,0.004629629629629629
