Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,679,0,0,None,None,None,0.02302158273381295,None,0.02302158273381295
0.01,16,668,0,11,None,None,0.9837997054491899,0.03884892086330935,None,0.023391812865497075
0.02,14,652,2,27,0.04105571847507332,0.875,0.9602356406480118,0.058992805755395686,0.125,0.021021021021021023
0.03,14,638,2,41,0.04191616766467066,0.875,0.9396170839469808,0.07913669064748201,0.125,0.02147239263803681
0.04,14,620,2,59,0.04307692307692308,0.875,0.9131075110456554,0.10503597122302158,0.125,0.022082018927444796
0.05,14,607,2,72,0.04395604395604396,0.875,0.8939617083946981,0.1237410071942446,0.125,0.02254428341384863
0.06,14,595,2,84,0.0448,0.875,0.8762886597938144,0.1410071942446043,0.125,0.022988505747126436
0.07,12,582,4,97,0.03934426229508197,0.75,0.8571428571428571,0.15683453237410072,0.25,0.020202020202020204
0.08,12,567,4,112,0.040336134453781515,0.75,0.8350515463917526,0.17841726618705037,0.25,0.02072538860103627
0.09,12,553,4,126,0.04130808950086059,0.75,0.8144329896907216,0.1985611510791367,0.25,0.021238938053097345
0.1,12,544,4,135,0.04195804195804196,0.75,0.801178203240059,0.21151079136690648,0.25,0.02158273381294964
0.11,12,533,4,146,0.04278074866310161,0.75,0.7849779086892489,0.2273381294964029,0.25,0.022018348623853212
0.12,12,523,4,156,0.043557168784029036,0.75,0.7702503681885126,0.24172661870503598,0.25,0.022429906542056073
0.13,12,510,4,169,0.04460966542750929,0.75,0.7511045655375552,0.260431654676259,0.25,0.022988505747126436
0.14,12,499,4,180,0.04554079696394687,0.75,0.7349042709867453,0.2762589928057554,0.25,0.023483365949119372
0.15,12,489,4,190,0.04642166344294005,0.75,0.7201767304860088,0.2906474820143885,0.25,0.023952095808383235
0.16,12,477,4,202,0.04752475247524753,0.75,0.7025036818851251,0.3079136690647482,0.25,0.024539877300613498
0.17,12,471,4,208,0.04809619238476954,0.75,0.6936671575846833,0.31654676258992803,0.25,0.024844720496894408
0.18,12,467,4,212,0.04848484848484849,0.75,0.6877761413843888,0.32230215827338127,0.25,0.025052192066805846
0.19,12,456,4,223,0.049586776859504134,0.75,0.6715758468335787,0.3381294964028777,0.25,0.02564102564102564
0.2,12,450,4,229,0.0502092050209205,0.75,0.6627393225331369,0.34676258992805753,0.25,0.025974025974025976
0.21,12,446,4,233,0.05063291139240506,0.75,0.6568483063328424,0.35251798561151076,0.25,0.026200873362445413
0.22,12,439,4,240,0.05139186295503212,0.75,0.646539027982327,0.36258992805755397,0.25,0.026607538802660754
0.23,11,437,5,242,0.04741379310344827,0.6875,0.6435935198821797,0.3640287769784173,0.3125,0.024553571428571428
0.24,11,434,5,245,0.04772234273318871,0.6875,0.6391752577319587,0.3683453237410072,0.3125,0.024719101123595506
0.25,11,427,5,252,0.04845814977973567,0.6875,0.6288659793814433,0.37841726618705035,0.3125,0.02511415525114155
0.26,11,423,5,256,0.0488888888888889,0.6875,0.6229749631811488,0.3841726618705036,0.3125,0.02534562211981567
0.27,11,417,5,262,0.04954954954954955,0.6875,0.614138438880707,0.39280575539568346,0.3125,0.02570093457943925
0.28,11,412,5,267,0.0501138952164009,0.6875,0.6067746686303387,0.4,0.3125,0.026004728132387706
0.29,11,403,5,276,0.051162790697674425,0.6875,0.593519882179676,0.41294964028776976,0.3125,0.026570048309178744
0.3,10,395,6,284,0.047505938242280284,0.625,0.5817378497790869,0.42302158273381296,0.375,0.024691358024691357
0.31,10,391,6,288,0.047961630695443645,0.625,0.5758468335787923,0.4287769784172662,0.375,0.02493765586034913
0.32,10,386,6,293,0.04854368932038835,0.625,0.5684830633284241,0.43597122302158275,0.375,0.025252525252525252
0.33,10,377,6,302,0.04962779156327543,0.625,0.5552282768777614,0.4489208633093525,0.375,0.025839793281653745
0.34,10,371,6,308,0.05037783375314861,0.625,0.5463917525773195,0.45755395683453237,0.375,0.026246719160104987
0.35,10,360,6,319,0.051813471502590684,0.625,0.5301914580265096,0.47338129496402875,0.375,0.02702702702702703
0.36,10,355,6,324,0.05249343832020997,0.625,0.5228276877761414,0.4805755395683453,0.375,0.0273972602739726
0.37,10,352,6,327,0.0529100529100529,0.625,0.5184094256259205,0.4848920863309353,0.375,0.027624309392265192
0.38,10,348,6,331,0.053475935828877,0.625,0.5125184094256259,0.4906474820143885,0.375,0.027932960893854747
0.39,10,344,6,335,0.05405405405405406,0.625,0.5066273932253313,0.49640287769784175,0.375,0.02824858757062147
0.4,10,342,6,337,0.05434782608695651,0.625,0.5036818851251841,0.49928057553956834,0.375,0.028409090909090908
0.41,10,337,6,342,0.05509641873278237,0.625,0.4963181148748159,0.5064748201438849,0.375,0.02881844380403458
0.42,10,332,6,347,0.0558659217877095,0.625,0.4889543446244477,0.5136690647482014,0.375,0.029239766081871343
0.43,9,331,7,348,0.05056179775280899,0.5625,0.48748159057437407,0.5136690647482014,0.4375,0.026470588235294117
0.44,9,329,7,350,0.05084745762711864,0.5625,0.4845360824742268,0.516546762589928,0.4375,0.026627218934911243
0.45,9,325,7,354,0.05142857142857142,0.5625,0.4786450662739323,0.5223021582733813,0.4375,0.02694610778443114
0.46,9,322,7,357,0.05187319884726225,0.5625,0.4742268041237113,0.5266187050359712,0.4375,0.027190332326283987
0.47,9,320,7,359,0.052173913043478265,0.5625,0.47128129602356406,0.5294964028776978,0.4375,0.02735562310030395
0.48,9,318,7,361,0.05247813411078717,0.5625,0.4683357879234168,0.5323741007194245,0.4375,0.027522935779816515
0.49,9,314,7,365,0.05309734513274337,0.5625,0.46244477172312226,0.5381294964028777,0.4375,0.02786377708978328
0.5,9,310,7,369,0.05373134328358208,0.5625,0.4565537555228277,0.543884892086331,0.4375,0.02821316614420063
0.51,9,304,7,375,0.054711246200607896,0.5625,0.4477172312223859,0.5525179856115108,0.4375,0.02875399361022364
0.52,9,299,7,380,0.05555555555555555,0.5625,0.44035346097201766,0.5597122302158274,0.4375,0.02922077922077922
0.53,9,297,7,382,0.055900621118012424,0.5625,0.4374079528718704,0.5625899280575539,0.4375,0.029411764705882353
0.54,9,289,7,390,0.05732484076433121,0.5625,0.4256259204712813,0.5741007194244604,0.4375,0.030201342281879196
0.55,9,287,7,392,0.0576923076923077,0.5625,0.422680412371134,0.576978417266187,0.4375,0.030405405405405407
0.56,9,285,7,394,0.05806451612903225,0.5625,0.41973490427098675,0.5798561151079137,0.4375,0.030612244897959183
0.57,8,282,8,397,0.0522875816993464,0.5,0.41531664212076586,0.5827338129496403,0.5,0.027586206896551724
0.58,8,281,8,398,0.05245901639344263,0.5,0.41384388807069217,0.5841726618705037,0.5,0.02768166089965398
0.59,8,275,8,404,0.05351170568561873,0.5,0.4050073637702504,0.5928057553956835,0.5,0.028268551236749116
0.6,8,273,8,406,0.05387205387205387,0.5,0.4020618556701031,0.5956834532374101,0.5,0.028469750889679714
0.61,8,268,8,411,0.0547945205479452,0.5,0.3946980854197349,0.6028776978417266,0.5,0.028985507246376812
0.62,7,262,9,417,0.04912280701754387,0.4375,0.3858615611192931,0.6100719424460431,0.5625,0.026022304832713755
