Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
0.01,17,653,1,24,0.04941860465116279,0.9444444444444444,0.9645494830132939,0.058992805755395686,0.05555555555555555,0.025373134328358207
0.02,17,634,1,43,0.05082212257100149,0.9444444444444444,0.9364844903988183,0.08633093525179857,0.05555555555555555,0.026113671274961597
0.03,17,613,1,64,0.05246913580246913,0.9444444444444444,0.9054652880354506,0.11654676258992806,0.05555555555555555,0.026984126984126985
0.04,17,604,1,73,0.053208137715179966,0.9444444444444444,0.8921713441654358,0.12949640287769784,0.05555555555555555,0.027375201288244767
0.05,17,581,1,96,0.05519480519480519,0.9444444444444444,0.8581979320531757,0.16258992805755396,0.05555555555555555,0.028428093645484948
0.06,16,554,2,123,0.054421768707483,0.8888888888888888,0.8183161004431314,0.2,0.1111111111111111,0.028070175438596492
0.07,16,537,2,140,0.05604203152364273,0.8888888888888888,0.793205317577548,0.22446043165467625,0.1111111111111111,0.028933092224231464
0.08,16,517,2,160,0.058076225045372055,0.8888888888888888,0.7636632200886263,0.25323741007194245,0.1111111111111111,0.0300187617260788
0.09,16,499,2,178,0.0600375234521576,0.8888888888888888,0.7370753323485968,0.27913669064748203,0.1111111111111111,0.031067961165048542
0.1,16,477,2,200,0.06262230919765166,0.8888888888888888,0.7045790251107829,0.3107913669064748,0.1111111111111111,0.032454361054766734
0.11,15,459,3,218,0.06097560975609757,0.8333333333333334,0.6779911373707533,0.33525179856115106,0.16666666666666666,0.03164556962025317
0.12,15,450,3,227,0.062111801242236024,0.8333333333333334,0.6646971935007385,0.34820143884892085,0.16666666666666666,0.03225806451612903
0.13,15,428,3,249,0.0650759219088937,0.8333333333333334,0.6322008862629247,0.37985611510791367,0.16666666666666666,0.033860045146726865
0.14,14,407,4,270,0.06378132118451024,0.7777777777777778,0.6011816838995568,0.40863309352517985,0.2222222222222222,0.0332541567695962
0.15,14,391,4,286,0.06619385342789598,0.7777777777777778,0.5775480059084195,0.4316546762589928,0.2222222222222222,0.0345679012345679
0.16,14,380,4,297,0.0679611650485437,0.7777777777777778,0.5612998522895125,0.4474820143884892,0.2222222222222222,0.03553299492385787
0.17,13,366,5,311,0.06549118387909318,0.7222222222222222,0.5406203840472673,0.46618705035971225,0.2777777777777778,0.03430079155672823
0.18,12,344,6,333,0.06417112299465241,0.6666666666666666,0.5081240768094535,0.49640287769784175,0.3333333333333333,0.033707865168539325
0.19,12,324,6,353,0.06779661016949153,0.6666666666666666,0.47858197932053176,0.5251798561151079,0.3333333333333333,0.03571428571428571
0.2,12,315,6,362,0.06956521739130435,0.6666666666666666,0.465288035450517,0.5381294964028777,0.3333333333333333,0.03669724770642202
0.21,12,301,6,376,0.07250755287009064,0.6666666666666666,0.4446085672082718,0.5582733812949641,0.3333333333333333,0.038338658146964855
0.22,12,288,6,389,0.07547169811320754,0.6666666666666666,0.4254062038404727,0.576978417266187,0.3333333333333333,0.04
0.23,12,267,6,410,0.08080808080808081,0.6666666666666666,0.39438700147710487,0.6071942446043166,0.3333333333333333,0.043010752688172046
0.24,12,259,6,418,0.08304498269896193,0.6666666666666666,0.3825701624815362,0.6187050359712231,0.3333333333333333,0.04428044280442804
0.25,12,251,6,426,0.08540925266903915,0.6666666666666666,0.3707533234859675,0.6302158273381295,0.3333333333333333,0.045627376425855515
0.26,12,232,6,445,0.0916030534351145,0.6666666666666666,0.34268833087149186,0.6575539568345323,0.3333333333333333,0.04918032786885246
0.27,12,225,6,452,0.09411764705882351,0.6666666666666666,0.33234859675036926,0.6676258992805756,0.3333333333333333,0.05063291139240506
0.28,12,218,6,459,0.09677419354838708,0.6666666666666666,0.32200886262924666,0.6776978417266187,0.3333333333333333,0.05217391304347826
0.29,11,214,7,463,0.09053497942386833,0.6111111111111112,0.31610044313146235,0.6820143884892086,0.3888888888888889,0.04888888888888889
0.3,11,209,7,468,0.09243697478991596,0.6111111111111112,0.3087149187592319,0.6892086330935252,0.3888888888888889,0.05
0.31,10,204,8,473,0.08620689655172413,0.5555555555555556,0.30132939438700146,0.6949640287769784,0.4444444444444444,0.04672897196261682
0.32,10,200,8,477,0.08771929824561402,0.5555555555555556,0.29542097488921715,0.7007194244604317,0.4444444444444444,0.047619047619047616
0.33,9,189,9,488,0.08333333333333334,0.5,0.2791728212703102,0.7151079136690648,0.5,0.045454545454545456
0.34,9,180,9,497,0.08695652173913042,0.5,0.2658788774002954,0.7280575539568346,0.5,0.047619047619047616
0.35,9,173,9,504,0.08999999999999998,0.5,0.2555391432791728,0.7381294964028777,0.5,0.04945054945054945
0.36,8,170,10,507,0.08163265306122448,0.4444444444444444,0.2511078286558346,0.7410071942446043,0.5555555555555556,0.0449438202247191
0.37,8,166,10,511,0.08333333333333333,0.4444444444444444,0.24519940915805022,0.7467625899280576,0.5555555555555556,0.04597701149425287
0.38,8,162,10,515,0.0851063829787234,0.4444444444444444,0.23929098966026588,0.7525179856115108,0.5555555555555556,0.047058823529411764
0.39,7,158,11,519,0.07650273224043716,0.3888888888888889,0.23338257016248154,0.7568345323741007,0.6111111111111112,0.04242424242424243
0.4,6,151,12,526,0.06857142857142857,0.3333333333333333,0.22304283604135894,0.7654676258992805,0.6666666666666666,0.03821656050955414
0.41,6,145,12,532,0.07100591715976332,0.3333333333333333,0.21418020679468242,0.7741007194244605,0.6666666666666666,0.039735099337748346
0.42,6,143,12,534,0.0718562874251497,0.3333333333333333,0.21122599704579026,0.7769784172661871,0.6666666666666666,0.040268456375838924
0.43,6,139,12,538,0.07361963190184048,0.3333333333333333,0.20531757754800592,0.7827338129496403,0.6666666666666666,0.041379310344827586
0.44,6,136,12,541,0.075,0.3333333333333333,0.20088626292466766,0.7870503597122303,0.6666666666666666,0.04225352112676056
0.45,5,133,13,544,0.06410256410256411,0.2777777777777778,0.1964549483013294,0.7899280575539568,0.7222222222222222,0.036231884057971016
0.46,5,131,13,546,0.06493506493506494,0.2777777777777778,0.1935007385524372,0.7928057553956834,0.7222222222222222,0.03676470588235294
0.47,4,128,14,549,0.05333333333333334,0.2222222222222222,0.18906942392909898,0.7956834532374101,0.7777777777777778,0.030303030303030304
0.48,4,122,14,555,0.05555555555555555,0.2222222222222222,0.18020679468242246,0.8043165467625899,0.7777777777777778,0.031746031746031744
0.49,4,119,14,558,0.056737588652482275,0.2222222222222222,0.1757754800590842,0.8086330935251799,0.7777777777777778,0.032520325203252036
0.5,4,114,14,563,0.0588235294117647,0.2222222222222222,0.16838995568685378,0.8158273381294964,0.7777777777777778,0.03389830508474576
0.51,4,114,14,563,0.0588235294117647,0.2222222222222222,0.16838995568685378,0.8158273381294964,0.7777777777777778,0.03389830508474576
0.52,4,111,14,566,0.06015037593984962,0.2222222222222222,0.16395864106351551,0.8201438848920863,0.7777777777777778,0.034782608695652174
0.53,2,109,16,568,0.031007751937984496,0.1111111111111111,0.16100443131462333,0.8201438848920863,0.8888888888888888,0.018018018018018018
0.54,2,108,16,569,0.03125,0.1111111111111111,0.15952732644017725,0.8215827338129497,0.8888888888888888,0.01818181818181818
0.55,2,106,16,571,0.031746031746031744,0.1111111111111111,0.15657311669128507,0.8244604316546763,0.8888888888888888,0.018518518518518517
0.56,1,101,17,576,0.016666666666666666,0.05555555555555555,0.14918759231905465,0.8302158273381295,0.9444444444444444,0.00980392156862745
0.57,1,99,17,578,0.016949152542372885,0.05555555555555555,0.14623338257016247,0.8330935251798561,0.9444444444444444,0.01
0.58,1,97,17,580,0.017241379310344827,0.05555555555555555,0.1432791728212703,0.8359712230215828,0.9444444444444444,0.01020408163265306
0.59,1,96,17,581,0.017391304347826084,0.05555555555555555,0.14180206794682423,0.837410071942446,0.9444444444444444,0.010309278350515464
0.6,1,93,17,584,0.017857142857142856,0.05555555555555555,0.13737075332348597,0.841726618705036,0.9444444444444444,0.010638297872340425
0.61,1,92,17,585,0.018018018018018018,0.05555555555555555,0.1358936484490399,0.8431654676258993,0.9444444444444444,0.010752688172043012
0.62,1,91,17,586,0.018181818181818184,0.05555555555555555,0.1344165435745938,0.8446043165467626,0.9444444444444444,0.010869565217391304
0.63,1,88,17,589,0.018691588785046728,0.05555555555555555,0.12998522895125553,0.8489208633093526,0.9444444444444444,0.011235955056179775
0.64,1,88,17,589,0.018691588785046728,0.05555555555555555,0.12998522895125553,0.8489208633093526,0.9444444444444444,0.011235955056179775
0.65,1,87,17,590,0.018867924528301886,0.05555555555555555,0.12850812407680945,0.8503597122302158,0.9444444444444444,0.011363636363636364
0.66,1,86,17,591,0.019047619047619046,0.05555555555555555,0.12703101920236337,0.8517985611510791,0.9444444444444444,0.011494252873563218
0.67,1,85,17,592,0.019230769230769232,0.05555555555555555,0.1255539143279173,0.8532374100719424,0.9444444444444444,0.011627906976744186
0.68,1,84,17,593,0.019417475728155338,0.05555555555555555,0.1240768094534712,0.8546762589928057,0.9444444444444444,0.011764705882352941
0.69,1,83,17,594,0.0196078431372549,0.05555555555555555,0.12259970457902511,0.8561151079136691,0.9444444444444444,0.011904761904761904
