Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,679,0,0,None,None,None,0.02302158273381295,None,0.02302158273381295
0.01,14,666,2,13,0.04022988505747126,0.875,0.9808541973490427,0.03884892086330935,0.125,0.020588235294117647
0.02,12,657,4,22,0.03503649635036496,0.75,0.96759941089838,0.04892086330935252,0.25,0.017937219730941704
0.03,12,646,4,33,0.03560830860534125,0.75,0.9513991163475699,0.06474820143884892,0.25,0.0182370820668693
0.04,12,633,4,46,0.036308623298033284,0.75,0.9322533136966127,0.08345323741007195,0.25,0.018604651162790697
0.05,12,619,4,60,0.03709428129829984,0.75,0.9116347569955817,0.10359712230215827,0.25,0.01901743264659271
0.06,12,600,4,79,0.03821656050955414,0.75,0.8836524300441826,0.13093525179856116,0.25,0.0196078431372549
0.07,12,583,4,96,0.03927986906710311,0.75,0.8586156111929307,0.1553956834532374,0.25,0.020168067226890758
0.08,12,568,4,111,0.040268456375838924,0.75,0.8365243004418262,0.17697841726618704,0.25,0.020689655172413793
0.09,12,550,4,129,0.04152249134948097,0.75,0.8100147275405007,0.20287769784172663,0.25,0.021352313167259787
0.1,12,537,4,142,0.04247787610619469,0.75,0.7908689248895434,0.22158273381294963,0.25,0.02185792349726776
0.11,11,529,5,150,0.03956834532374101,0.6875,0.7790868924889544,0.2316546762589928,0.3125,0.020370370370370372
0.12,11,518,5,161,0.04036697247706422,0.6875,0.7628865979381443,0.2474820143884892,0.3125,0.020793950850661626
0.13,11,511,5,168,0.04089219330855019,0.6875,0.7525773195876289,0.25755395683453236,0.3125,0.0210727969348659
0.14,11,502,5,177,0.04158790170132325,0.6875,0.7393225331369662,0.27050359712230215,0.3125,0.021442495126705652
0.15,11,491,5,188,0.042471042471042476,0.6875,0.7231222385861561,0.28633093525179854,0.3125,0.021912350597609563
0.16,11,486,5,193,0.042884990253411304,0.6875,0.7157584683357879,0.2935251798561151,0.3125,0.022132796780684104
0.17,9,474,7,205,0.036072144288577156,0.5625,0.6980854197349042,0.3079136690647482,0.4375,0.018633540372670808
0.18,9,465,7,214,0.03673469387755102,0.5625,0.6848306332842415,0.320863309352518,0.4375,0.0189873417721519
0.19,9,454,7,225,0.037578288100208766,0.5625,0.6686303387334315,0.3366906474820144,0.4375,0.019438444924406047
