Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
0.01,18,656,0,21,None,None,0.9689807976366323,0.05611510791366906,None,0.026706231454005934
0.02,18,636,0,41,None,None,0.9394387001477105,0.08489208633093526,None,0.027522935779816515
0.03,18,626,0,51,None,None,0.9246676514032496,0.09928057553956834,None,0.027950310559006212
0.04,18,620,0,57,None,None,0.9158050221565731,0.1079136690647482,None,0.02821316614420063
0.05,18,605,0,72,None,None,0.8936484490398818,0.12949640287769784,None,0.028892455858747994
0.06,18,593,0,84,None,None,0.8759231905465288,0.14676258992805755,None,0.029459901800327332
0.07,17,587,1,90,0.054662379421221874,0.9444444444444444,0.8670605612998523,0.1539568345323741,0.05555555555555555,0.028145695364238412
0.08,17,580,1,97,0.055284552845528454,0.9444444444444444,0.8567208271787297,0.16402877697841728,0.05555555555555555,0.02847571189279732
0.09,17,575,1,102,0.05573770491803279,0.9444444444444444,0.8493353028064993,0.1712230215827338,0.05555555555555555,0.028716216216216218
0.1,17,564,1,113,0.056761268781302165,0.9444444444444444,0.8330871491875923,0.18705035971223022,0.05555555555555555,0.029259896729776247
0.11,16,560,2,117,0.05387205387205387,0.8888888888888888,0.827178729689808,0.19136690647482013,0.1111111111111111,0.027777777777777776
0.12,16,552,2,125,0.054607508532423216,0.8888888888888888,0.8153618906942393,0.20287769784172663,0.1111111111111111,0.028169014084507043
0.13,16,543,2,134,0.05545927209705373,0.8888888888888888,0.8020679468242246,0.2158273381294964,0.1111111111111111,0.028622540250447227
0.14,16,536,2,141,0.056140350877192984,0.8888888888888888,0.7917282127031019,0.22589928057553957,0.1111111111111111,0.028985507246376812
0.15,16,531,2,146,0.05663716814159291,0.8888888888888888,0.7843426883308715,0.23309352517985613,0.1111111111111111,0.029250457038391225
0.16,16,520,2,157,0.057761732851985555,0.8888888888888888,0.7680945347119645,0.2489208633093525,0.1111111111111111,0.029850746268656716
0.17,16,518,2,159,0.057971014492753624,0.8888888888888888,0.7651403249630724,0.2517985611510791,0.1111111111111111,0.0299625468164794
0.18,16,512,2,165,0.05860805860805861,0.8888888888888888,0.7562776957163959,0.260431654676259,0.1111111111111111,0.030303030303030304
0.19,16,506,2,171,0.059259259259259255,0.8888888888888888,0.7474150664697193,0.26906474820143883,0.1111111111111111,0.03065134099616858
0.2,13,487,5,190,0.05019305019305018,0.7222222222222222,0.7193500738552437,0.2920863309352518,0.2777777777777778,0.026
0.21,13,483,5,194,0.05058365758754864,0.7222222222222222,0.7134416543574594,0.29784172661870506,0.2777777777777778,0.02620967741935484
0.22,13,481,5,196,0.05078125,0.7222222222222222,0.7104874446085672,0.30071942446043165,0.2777777777777778,0.02631578947368421
0.23,13,473,5,204,0.051587301587301584,0.7222222222222222,0.6986706056129985,0.3122302158273381,0.2777777777777778,0.026748971193415638
0.24,13,466,5,211,0.0523138832997988,0.7222222222222222,0.6883308714918759,0.32230215827338127,0.2777777777777778,0.027139874739039668
0.25,13,453,5,224,0.05371900826446281,0.7222222222222222,0.6691285081240768,0.3410071942446043,0.2777777777777778,0.027896995708154508
0.26,13,446,5,231,0.05450733752620545,0.7222222222222222,0.6587887740029542,0.3510791366906475,0.2777777777777778,0.02832244008714597
0.27,13,437,5,240,0.05555555555555556,0.7222222222222222,0.6454948301329394,0.3640287769784173,0.2777777777777778,0.028888888888888888
0.28,13,433,5,244,0.05603448275862069,0.7222222222222222,0.6395864106351551,0.3697841726618705,0.2777777777777778,0.02914798206278027
0.29,13,427,5,250,0.056768558951965066,0.7222222222222222,0.6307237813884786,0.37841726618705035,0.2777777777777778,0.029545454545454545
0.3,13,423,5,254,0.05726872246696035,0.7222222222222222,0.6248153618906942,0.3841726618705036,0.2777777777777778,0.02981651376146789
0.31,13,415,5,262,0.05829596412556054,0.7222222222222222,0.6129985228951256,0.39568345323741005,0.2777777777777778,0.030373831775700934
0.32,13,410,5,267,0.058956916099773236,0.7222222222222222,0.6056129985228951,0.4028776978417266,0.2777777777777778,0.030732860520094562
0.33,13,401,5,276,0.06018518518518518,0.7222222222222222,0.5923190546528804,0.4158273381294964,0.2777777777777778,0.03140096618357488
0.34,13,396,5,281,0.06088992974238876,0.7222222222222222,0.5849335302806499,0.42302158273381296,0.2777777777777778,0.03178484107579462
0.35,13,393,5,284,0.06132075471698114,0.7222222222222222,0.5805022156573116,0.4273381294964029,0.2777777777777778,0.03201970443349754
0.36,12,389,6,288,0.057279236276849645,0.6666666666666666,0.5745937961595273,0.4316546762589928,0.3333333333333333,0.029925187032418952
0.37,12,387,6,290,0.05755395683453238,0.6666666666666666,0.5716395864106352,0.43453237410071943,0.3333333333333333,0.03007518796992481
0.38,12,385,6,292,0.05783132530120483,0.6666666666666666,0.568685376661743,0.437410071942446,0.3333333333333333,0.030226700251889168
0.39,12,380,6,297,0.058536585365853655,0.6666666666666666,0.5612998522895125,0.4446043165467626,0.3333333333333333,0.030612244897959183
0.4,12,372,6,305,0.05970149253731343,0.6666666666666666,0.5494830132939439,0.45611510791366905,0.3333333333333333,0.03125
0.41,11,368,7,309,0.055415617128463476,0.6111111111111112,0.5435745937961596,0.460431654676259,0.3888888888888889,0.029023746701846966
0.42,11,362,7,315,0.05626598465473145,0.6111111111111112,0.534711964549483,0.46906474820143884,0.3888888888888889,0.029490616621983913
0.43,11,358,7,319,0.05684754521963824,0.6111111111111112,0.5288035450516987,0.4748201438848921,0.3888888888888889,0.02981029810298103
0.44,11,350,7,327,0.05804749340369393,0.6111111111111112,0.51698670605613,0.48633093525179855,0.3888888888888889,0.030470914127423823
0.45,11,345,7,332,0.058823529411764705,0.6111111111111112,0.5096011816838996,0.4935251798561151,0.3888888888888889,0.03089887640449438
0.46,11,341,7,336,0.05945945945945946,0.6111111111111112,0.5036927621861153,0.49928057553956834,0.3888888888888889,0.03125
0.47,10,336,8,341,0.054945054945054944,0.5555555555555556,0.4963072378138848,0.5050359712230216,0.4444444444444444,0.028901734104046242
0.48,10,332,8,345,0.05555555555555555,0.5555555555555556,0.49039881831610044,0.5107913669064749,0.4444444444444444,0.029239766081871343
0.49,10,328,8,349,0.05617977528089887,0.5555555555555556,0.4844903988183161,0.516546762589928,0.4444444444444444,0.029585798816568046
0.5,10,323,8,354,0.05698005698005699,0.5555555555555556,0.4771048744460857,0.5237410071942447,0.4444444444444444,0.03003003003003003
0.51,10,320,8,357,0.05747126436781609,0.5555555555555556,0.4726735598227474,0.5280575539568345,0.4444444444444444,0.030303030303030304
0.52,10,316,8,361,0.05813953488372093,0.5555555555555556,0.4667651403249631,0.5338129496402878,0.4444444444444444,0.03067484662576687
0.53,10,311,8,366,0.058997050147492625,0.5555555555555556,0.45937961595273263,0.5410071942446043,0.4444444444444444,0.03115264797507788
0.54,10,307,8,370,0.059701492537313425,0.5555555555555556,0.4534711964549483,0.5467625899280576,0.4444444444444444,0.031545741324921134
0.55,10,304,8,373,0.060240963855421686,0.5555555555555556,0.44903988183161003,0.5510791366906475,0.4444444444444444,0.03184713375796178
0.56,10,298,8,379,0.06134969325153374,0.5555555555555556,0.4401772525849335,0.5597122302158274,0.4444444444444444,0.032467532467532464
0.57,10,297,8,380,0.061538461538461535,0.5555555555555556,0.43870014771048743,0.5611510791366906,0.4444444444444444,0.03257328990228013
0.58,10,294,8,383,0.06211180124223602,0.5555555555555556,0.4342688330871492,0.5654676258992806,0.4444444444444444,0.03289473684210526
0.59,10,289,8,388,0.06309148264984228,0.5555555555555556,0.42688330871491875,0.5726618705035971,0.4444444444444444,0.033444816053511704
0.6,10,285,8,392,0.06389776357827476,0.5555555555555556,0.42097488921713444,0.5784172661870504,0.4444444444444444,0.03389830508474576
