Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
1e-08,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
2e-08,16,688,0,1,None,None,0.9985486211901307,0.024113475177304965,None,0.022727272727272728
3e-08,16,688,0,1,None,None,0.9985486211901307,0.024113475177304965,None,0.022727272727272728
4e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
5e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
6e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
7e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
8e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
9e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
1e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.1e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.2e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
1.3e-07,16,684,0,5,None,None,0.9927431059506531,0.029787234042553193,None,0.022857142857142857
1.4e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
1.5e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
1.6e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
1.7e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
1.8e-07,16,682,0,7,None,None,0.9898403483309144,0.032624113475177303,None,0.022922636103151862
1.9e-07,16,682,0,7,None,None,0.9898403483309144,0.032624113475177303,None,0.022922636103151862
2e-07,16,680,0,9,None,None,0.9869375907111756,0.03546099290780142,None,0.022988505747126436
2.1e-07,16,680,0,9,None,None,0.9869375907111756,0.03546099290780142,None,0.022988505747126436
2.2e-07,16,679,0,10,None,None,0.9854862119013063,0.03687943262411347,None,0.02302158273381295
2.3e-07,16,678,0,11,None,None,0.9840348330914369,0.03829787234042553,None,0.023054755043227664
2.4e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
2.5e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
2.6e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
2.7e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
2.8e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
2.9e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
3e-07,16,677,0,12,None,None,0.9825834542815675,0.03971631205673759,None,0.023088023088023088
3.1e-07,16,676,0,13,None,None,0.9811320754716981,0.04113475177304964,None,0.023121387283236993
3.2e-07,16,675,0,14,None,None,0.9796806966618288,0.0425531914893617,None,0.023154848046309694
3.3e-07,16,675,0,14,None,None,0.9796806966618288,0.0425531914893617,None,0.023154848046309694
3.4e-07,16,675,0,14,None,None,0.9796806966618288,0.0425531914893617,None,0.023154848046309694
3.5e-07,16,675,0,14,None,None,0.9796806966618288,0.0425531914893617,None,0.023154848046309694
3.6e-07,16,674,0,15,None,None,0.9782293178519593,0.04397163120567376,None,0.02318840579710145
3.7e-07,16,673,0,16,None,None,0.97677793904209,0.04539007092198582,None,0.023222060957910014
3.8e-07,16,672,0,17,None,None,0.9753265602322206,0.04680851063829787,None,0.023255813953488372
3.9e-07,16,671,0,18,None,None,0.9738751814223512,0.04822695035460993,None,0.023289665211062592
4e-07,16,671,0,18,None,None,0.9738751814223512,0.04822695035460993,None,0.023289665211062592
4.1e-07,16,670,0,19,None,None,0.9724238026124818,0.04964539007092199,None,0.023323615160349854
4.2e-07,16,668,0,21,None,None,0.969521044992743,0.0524822695035461,None,0.023391812865497075
4.3e-07,16,668,0,21,None,None,0.969521044992743,0.0524822695035461,None,0.023391812865497075
4.4e-07,16,668,0,21,None,None,0.969521044992743,0.0524822695035461,None,0.023391812865497075
4.5e-07,16,667,0,22,None,None,0.9680696661828737,0.05390070921985816,None,0.02342606149341142
4.6e-07,16,666,0,23,None,None,0.9666182873730044,0.05531914893617021,None,0.02346041055718475
4.7e-07,16,664,0,25,None,None,0.9637155297532656,0.05815602836879433,None,0.023529411764705882
4.8e-07,16,663,0,26,None,None,0.9622641509433962,0.059574468085106386,None,0.023564064801178203
4.9e-07,16,663,0,26,None,None,0.9622641509433962,0.059574468085106386,None,0.023564064801178203
5e-07,16,663,0,26,None,None,0.9622641509433962,0.059574468085106386,None,0.023564064801178203
5.1e-07,16,662,0,27,None,None,0.9608127721335269,0.06099290780141844,None,0.02359882005899705
5.2e-07,16,662,0,27,None,None,0.9608127721335269,0.06099290780141844,None,0.02359882005899705
5.3e-07,16,661,0,28,None,None,0.9593613933236574,0.062411347517730496,None,0.023633677991137372
5.4e-07,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
5.5e-07,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
5.6e-07,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
5.7e-07,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
5.8e-07,16,660,0,29,None,None,0.9579100145137881,0.06382978723404255,None,0.023668639053254437
5.9e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.1e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.2e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.3e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.4e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.5e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.6e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.7e-07,16,659,0,30,None,None,0.9564586357039188,0.06524822695035461,None,0.023703703703703703
6.8e-07,16,658,0,31,None,None,0.9550072568940493,0.06666666666666667,None,0.02373887240356083
6.9e-07,16,658,0,31,None,None,0.9550072568940493,0.06666666666666667,None,0.02373887240356083
7e-07,16,658,0,31,None,None,0.9550072568940493,0.06666666666666667,None,0.02373887240356083
7.1e-07,16,656,0,33,None,None,0.9521044992743106,0.06950354609929078,None,0.023809523809523808
