Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2e-08,16,682,0,2,None,None,0.9970760233918129,0.025714285714285714,None,0.022922636103151862
3e-08,16,680,0,4,None,None,0.9941520467836257,0.02857142857142857,None,0.022988505747126436
4e-08,16,679,0,5,None,None,0.9926900584795322,0.03,None,0.02302158273381295
5e-08,16,678,0,6,None,None,0.9912280701754386,0.03142857142857143,None,0.023054755043227664
6e-08,16,674,0,10,None,None,0.9853801169590644,0.037142857142857144,None,0.02318840579710145
7e-08,16,671,0,13,None,None,0.9809941520467836,0.041428571428571426,None,0.023289665211062592
8e-08,16,670,0,14,None,None,0.97953216374269,0.04285714285714286,None,0.023323615160349854
9e-08,16,666,0,18,None,None,0.9736842105263158,0.04857142857142857,None,0.02346041055718475
1e-07,16,665,0,19,None,None,0.9722222222222222,0.05,None,0.023494860499265784
1.1e-07,16,663,0,21,None,None,0.9692982456140351,0.05285714285714286,None,0.023564064801178203
1.2e-07,16,662,0,22,None,None,0.9678362573099415,0.054285714285714284,None,0.02359882005899705
1.3e-07,16,656,0,28,None,None,0.9590643274853801,0.06285714285714286,None,0.023809523809523808
1.4e-07,16,654,0,30,None,None,0.956140350877193,0.06571428571428571,None,0.023880597014925373
1.5e-07,16,651,0,33,None,None,0.9517543859649122,0.07,None,0.0239880059970015
1.6e-07,16,650,0,34,None,None,0.9502923976608187,0.07142857142857142,None,0.024024024024024024
1.7e-07,16,645,0,39,None,None,0.9429824561403509,0.07857142857142857,None,0.024205748865355523
1.8e-07,16,644,0,40,None,None,0.9415204678362573,0.08,None,0.024242424242424242
1.9e-07,16,643,0,41,None,None,0.9400584795321637,0.08142857142857143,None,0.024279210925644917
2e-07,16,642,0,42,None,None,0.9385964912280702,0.08285714285714285,None,0.0243161094224924
2.1e-07,16,640,0,44,None,None,0.935672514619883,0.08571428571428572,None,0.024390243902439025
2.2e-07,16,636,0,48,None,None,0.9298245614035088,0.09142857142857143,None,0.024539877300613498
2.3e-07,16,633,0,51,None,None,0.9254385964912281,0.09571428571428571,None,0.02465331278890601
2.4e-07,16,628,0,56,None,None,0.9181286549707602,0.10285714285714286,None,0.024844720496894408
2.5e-07,16,623,0,61,None,None,0.9108187134502924,0.11,None,0.025039123630672927
2.6e-07,16,620,0,64,None,None,0.9064327485380117,0.11428571428571428,None,0.025157232704402517
2.7e-07,16,618,0,66,None,None,0.9035087719298246,0.11714285714285715,None,0.025236593059936908
2.8e-07,16,616,0,68,None,None,0.9005847953216374,0.12,None,0.02531645569620253
2.9e-07,16,612,0,72,None,None,0.8947368421052632,0.12571428571428572,None,0.025477707006369428
