Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1e-08,18,665,0,12,None,None,0.982274741506647,0.04316546762589928,None,0.02635431918008785
2e-08,18,654,0,23,None,None,0.96602658788774,0.058992805755395686,None,0.026785714285714284
3e-08,18,642,0,35,None,None,0.948301329394387,0.07625899280575539,None,0.02727272727272727
4e-08,16,629,2,48,0.048265460030165915,0.8888888888888888,0.9290989660265879,0.0920863309352518,0.1111111111111111,0.024806201550387597
5e-08,15,618,3,59,0.046082949308755755,0.8333333333333334,0.912850812407681,0.10647482014388489,0.16666666666666666,0.023696682464454975
6e-08,15,609,3,68,0.04672897196261682,0.8333333333333334,0.8995568685376661,0.11942446043165468,0.16666666666666666,0.02403846153846154
7e-08,15,600,3,77,0.047393364928909956,0.8333333333333334,0.8862629246676514,0.13237410071942446,0.16666666666666666,0.024390243902439025
8e-08,15,587,3,90,0.04838709677419355,0.8333333333333334,0.8670605612998523,0.1510791366906475,0.16666666666666666,0.024916943521594685
9e-08,14,574,4,103,0.0462046204620462,0.7777777777777778,0.8478581979320532,0.1683453237410072,0.2222222222222222,0.023809523809523808
1e-07,14,570,4,107,0.046511627906976744,0.7777777777777778,0.8419497784342689,0.17410071942446043,0.2222222222222222,0.023972602739726026
1.1e-07,14,565,4,112,0.04690117252931324,0.7777777777777778,0.8345642540620384,0.18129496402877698,0.2222222222222222,0.024179620034542316
1.2e-07,14,552,4,125,0.04794520547945206,0.7777777777777778,0.8153618906942393,0.2,0.2222222222222222,0.024734982332155476
1.3e-07,14,543,4,134,0.04869565217391305,0.7777777777777778,0.8020679468242246,0.21294964028776978,0.2222222222222222,0.025134649910233394
1.4e-07,13,538,5,139,0.04569420035149385,0.7222222222222222,0.794682422451994,0.218705035971223,0.2777777777777778,0.023593466424682397
1.5e-07,13,530,5,147,0.04634581105169341,0.7222222222222222,0.7828655834564254,0.2302158273381295,0.2777777777777778,0.02394106813996317
1.6e-07,13,515,5,162,0.047619047619047616,0.7222222222222222,0.7607090103397341,0.2517985611510791,0.2777777777777778,0.02462121212121212
1.7e-07,13,503,5,174,0.04868913857677902,0.7222222222222222,0.7429837518463811,0.26906474820143883,0.2777777777777778,0.025193798449612403
1.8e-07,13,492,5,185,0.0497131931166348,0.7222222222222222,0.7267355982274741,0.28489208633093527,0.2777777777777778,0.02574257425742574
1.9e-07,13,488,5,189,0.05009633911368015,0.7222222222222222,0.7208271787296898,0.2906474820143885,0.2777777777777778,0.02594810379241517
2e-07,13,478,5,199,0.05108055009823183,0.7222222222222222,0.7060561299852289,0.30503597122302156,0.2777777777777778,0.026476578411405296
2.1e-07,13,472,5,205,0.05168986083499005,0.7222222222222222,0.6971935007385525,0.31366906474820144,0.2777777777777778,0.026804123711340205
2.2e-07,13,461,5,216,0.05284552845528456,0.7222222222222222,0.6809453471196455,0.3294964028776978,0.2777777777777778,0.027426160337552744
2.3e-07,13,450,5,227,0.05405405405405406,0.7222222222222222,0.6646971935007385,0.34532374100719426,0.2777777777777778,0.028077753779697623
2.4e-07,13,437,5,240,0.05555555555555556,0.7222222222222222,0.6454948301329394,0.3640287769784173,0.2777777777777778,0.028888888888888888
2.5e-07,13,427,5,250,0.056768558951965066,0.7222222222222222,0.6307237813884786,0.37841726618705035,0.2777777777777778,0.029545454545454545
2.6e-07,13,413,5,264,0.058558558558558564,0.7222222222222222,0.6100443131462334,0.3985611510791367,0.2777777777777778,0.03051643192488263
2.7e-07,12,403,6,274,0.05542725173210161,0.6666666666666666,0.5952732644017725,0.4115107913669065,0.3333333333333333,0.02891566265060241
2.8e-07,12,396,6,281,0.056338028169014086,0.6666666666666666,0.5849335302806499,0.42158273381294964,0.3333333333333333,0.029411764705882353
2.9e-07,12,392,6,285,0.056872037914691934,0.6666666666666666,0.5790251107828656,0.4273381294964029,0.3333333333333333,0.0297029702970297
3e-07,12,384,6,293,0.057971014492753624,0.6666666666666666,0.5672082717872969,0.43884892086330934,0.3333333333333333,0.030303030303030304
3.1e-07,12,375,6,302,0.05925925925925926,0.6666666666666666,0.5539143279172821,0.45179856115107914,0.3333333333333333,0.031007751937984496
3.2e-07,12,358,6,319,0.06185567010309279,0.6666666666666666,0.5288035450516987,0.4762589928057554,0.3333333333333333,0.032432432432432434
3.3e-07,10,351,8,326,0.052770448548812667,0.5555555555555556,0.518463810930576,0.48345323741007196,0.4444444444444444,0.027700831024930747
3.4e-07,10,342,8,335,0.05405405405405405,0.5555555555555556,0.5051698670605613,0.49640287769784175,0.4444444444444444,0.028409090909090908
3.5e-07,10,339,8,338,0.0544959128065395,0.5555555555555556,0.5007385524372231,0.5007194244604316,0.4444444444444444,0.02865329512893983
3.6e-07,10,332,8,345,0.05555555555555555,0.5555555555555556,0.49039881831610044,0.5107913669064749,0.4444444444444444,0.029239766081871343
