Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,679,0,0,None,None,None,0.02302158273381295,None,0.02302158273381295
1e-08,16,672,0,7,None,None,0.9896907216494846,0.033093525179856115,None,0.023255813953488372
2e-08,16,669,0,10,None,None,0.9852724594992637,0.03741007194244604,None,0.02335766423357664
3e-08,15,666,1,13,0.043041606886657105,0.9375,0.9808541973490427,0.04028776978417266,0.0625,0.022026431718061675
4e-08,15,663,1,16,0.043227665706051875,0.9375,0.9764359351988218,0.04460431654676259,0.0625,0.022123893805309734
5e-08,15,655,1,24,0.043731778425655975,0.9375,0.9646539027982327,0.05611510791366906,0.0625,0.022388059701492536
6e-08,15,650,1,29,0.04405286343612335,0.9375,0.9572901325478645,0.06330935251798561,0.0625,0.022556390977443608
7e-08,15,639,1,40,0.04477611940298508,0.9375,0.9410898379970545,0.07913669064748201,0.0625,0.022935779816513763
8e-08,15,631,1,48,0.04531722054380665,0.9375,0.9293078055964654,0.09064748201438849,0.0625,0.02321981424148607
9e-08,15,624,1,55,0.045801526717557245,0.9375,0.9189985272459499,0.10071942446043165,0.0625,0.023474178403755867
1e-07,15,619,1,60,0.04615384615384615,0.9375,0.9116347569955817,0.1079136690647482,0.0625,0.02365930599369085
1.1e-07,15,610,1,69,0.04680187207488299,0.9375,0.898379970544919,0.12086330935251799,0.0625,0.024
1.2e-07,15,603,1,76,0.04731861198738171,0.9375,0.8880706921944035,0.13093525179856116,0.0625,0.024271844660194174
1.3e-07,15,599,1,80,0.047619047619047616,0.9375,0.882179675994109,0.1366906474820144,0.0625,0.024429967426710098
1.4e-07,15,595,1,84,0.04792332268370606,0.9375,0.8762886597938144,0.14244604316546763,0.0625,0.02459016393442623
1.5e-07,15,592,1,87,0.04815409309791332,0.9375,0.8718703976435935,0.14676258992805755,0.0625,0.02471169686985173
1.6e-07,15,583,1,96,0.048859934853420196,0.9375,0.8586156111929307,0.15971223021582734,0.0625,0.02508361204013378
1.7e-07,15,578,1,101,0.04926108374384237,0.9375,0.8512518409425626,0.1669064748201439,0.0625,0.025295109612141653
1.8e-07,15,572,1,107,0.04975124378109452,0.9375,0.8424153166421208,0.17553956834532375,0.0625,0.02555366269165247
1.9e-07,15,569,1,110,0.049999999999999996,0.9375,0.8379970544918999,0.17985611510791366,0.0625,0.025684931506849314
2e-07,15,562,1,117,0.050590219224283306,0.9375,0.8276877761413843,0.18992805755395684,0.0625,0.025996533795493933
