Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.01,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.02,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.03,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.04,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.05,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.06,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.07,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.08,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.09,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.1,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.11,0,686,0,9,None,None,0.9870503597122302,0.012949640287769784,None,None
0.12,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.13,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.14,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.15,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.16,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.17,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.18,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.19,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.2,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.21,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.22,0,662,0,33,None,None,0.9525179856115108,0.04748201438848921,None,None
0.23,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.24,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.25,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.26,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.27,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.28,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.29,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.3,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.31,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.32,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.33,0,637,0,58,None,None,0.9165467625899281,0.08345323741007195,None,None
0.34,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.35,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.36,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.37,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.38,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.39,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.4,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.41,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.42,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.43,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.44,0,607,0,88,None,None,0.8733812949640288,0.12661870503597122,None,None
0.45,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.46,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.47,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.48,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.49,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.5,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.51,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.52,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.53,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.54,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.55,0,582,0,113,None,None,0.837410071942446,0.16258992805755396,None,None
0.56,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.57,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.58,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.59,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.6,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.61,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.62,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.63,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.64,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.65,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.66,0,560,0,135,None,None,0.8057553956834532,0.19424460431654678,None,None
0.67,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.68,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.69,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.7,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.71,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.72,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.73,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.74,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.75,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.76,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.77,0,537,0,158,None,None,0.7726618705035971,0.2273381294964029,None,None
0.78,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.79,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.8,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.81,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.82,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.83,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.84,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.85,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.86,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.87,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.88,0,519,0,176,None,None,0.7467625899280576,0.25323741007194245,None,None
0.89,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.9,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.91,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.92,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.93,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.94,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.95,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.96,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.97,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.98,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
0.99,0,501,0,194,None,None,0.720863309352518,0.27913669064748203,None,None
1.0,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.01,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.02,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.03,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.04,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.05,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.06,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.07,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.08,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.09,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.1,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.11,0,474,0,221,None,None,0.6820143884892086,0.31798561151079136,None,None
1.12,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.13,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.14,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.15,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.16,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.17,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.18,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.19,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.2,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.21,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.22,0,456,0,239,None,None,0.6561151079136691,0.34388489208633094,None,None
1.23,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.24,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.25,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.26,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.27,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.28,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.29,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.3,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.31,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.32,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.33,0,444,0,251,None,None,0.6388489208633094,0.36115107913669064,None,None
1.34,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.35,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.36,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.37,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.38,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.39,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.4,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.41,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.42,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.43,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.44,0,424,0,271,None,None,0.6100719424460431,0.3899280575539568,None,None
1.45,0,407,0,288,None,None,0.5856115107913669,0.4143884892086331,None,None
1.46,0,407,0,288,None,None,0.5856115107913669,0.4143884892086331,None,None
1.47,0,407,0,288,None,None,0.5856115107913669,0.4143884892086331,None,None
