Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
0.01,10,265,8,417,0.068259385665529,0.5555555555555556,0.3885630498533724,0.61,0.4444444444444444,0.03636363636363636
0.02,9,121,9,561,0.12162162162162163,0.5,0.1774193548387097,0.8142857142857143,0.5,0.06923076923076923
0.03,8,61,10,621,0.18390804597701152,0.4444444444444444,0.08944281524926687,0.8985714285714286,0.5555555555555556,0.11594202898550725
0.04,8,39,10,643,0.24615384615384614,0.4444444444444444,0.05718475073313783,0.93,0.5555555555555556,0.1702127659574468
0.05,8,30,10,652,0.2857142857142857,0.4444444444444444,0.04398826979472141,0.9428571428571428,0.5555555555555556,0.21052631578947367
0.06,8,25,10,657,0.3137254901960784,0.4444444444444444,0.036656891495601175,0.95,0.5555555555555556,0.24242424242424243
0.07,8,23,10,659,0.32653061224489793,0.4444444444444444,0.03372434017595308,0.9528571428571428,0.5555555555555556,0.25806451612903225
0.08,8,22,10,660,0.33333333333333337,0.4444444444444444,0.03225806451612903,0.9542857142857143,0.5555555555555556,0.26666666666666666
0.09,8,22,10,660,0.33333333333333337,0.4444444444444444,0.03225806451612903,0.9542857142857143,0.5555555555555556,0.26666666666666666
0.1,8,20,10,662,0.34782608695652173,0.4444444444444444,0.02932551319648094,0.9571428571428572,0.5555555555555556,0.2857142857142857
0.11,8,18,10,664,0.3636363636363637,0.4444444444444444,0.026392961876832845,0.96,0.5555555555555556,0.3076923076923077
0.12,8,17,10,665,0.37209302325581395,0.4444444444444444,0.024926686217008796,0.9614285714285714,0.5555555555555556,0.32
0.13,8,14,10,668,0.39999999999999997,0.4444444444444444,0.020527859237536656,0.9657142857142857,0.5555555555555556,0.36363636363636365
0.14,8,14,10,668,0.39999999999999997,0.4444444444444444,0.020527859237536656,0.9657142857142857,0.5555555555555556,0.36363636363636365
0.15,8,14,10,668,0.39999999999999997,0.4444444444444444,0.020527859237536656,0.9657142857142857,0.5555555555555556,0.36363636363636365
0.16,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.17,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.18,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.19,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.2,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.21,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.22,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.23,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.24,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.25,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.26,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.27,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
0.28,8,13,10,669,0.41025641025641024,0.4444444444444444,0.01906158357771261,0.9671428571428572,0.5555555555555556,0.38095238095238093
