Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.01,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.02,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.03,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.04,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.05,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.06,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.07,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.08,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.09,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.1,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.11,18,686,0,1,None,None,0.9985443959243085,0.02695035460992908,None,0.02556818181818182
0.12,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.13,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.14,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.15,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.16,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.17,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.18,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.19,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.2,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.21,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.22,18,683,0,4,None,None,0.9941775836972343,0.031205673758865248,None,0.025677603423680456
0.23,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.24,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.25,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.26,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.27,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.28,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.29,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.3,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.31,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.32,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.33,18,680,0,7,None,None,0.9898107714701602,0.03546099290780142,None,0.025787965616045846
0.34,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.35,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.36,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.37,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.38,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.39,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.4,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.41,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.42,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.43,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.44,18,679,0,8,None,None,0.9883551673944687,0.03687943262411347,None,0.02582496413199426
0.45,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.46,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.47,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.48,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.49,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.5,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.51,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.52,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.53,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.54,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.55,18,677,0,10,None,None,0.9854439592430859,0.03971631205673759,None,0.025899280575539568
0.56,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.57,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.58,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.59,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.6,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.61,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.62,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.63,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.64,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.65,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.66,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.67,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.68,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.69,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.7,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.71,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.72,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.73,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.74,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.75,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.76,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.77,18,675,0,12,None,None,0.982532751091703,0.0425531914893617,None,0.025974025974025976
0.78,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.79,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.8,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.81,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.82,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.83,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.84,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
0.85,18,673,0,14,None,None,0.9796215429403202,0.04539007092198582,None,0.02604920405209841
