Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.01,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.02,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.03,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.04,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.05,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.06,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.07,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.08,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.09,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.1,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.11,0,698,0,2,None,None,0.9971428571428571,0.002857142857142857,None,None
0.12,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.13,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.14,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.15,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.16,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.17,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.18,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.19,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.2,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.21,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.22,0,697,0,3,None,None,0.9957142857142857,0.004285714285714286,None,None
0.23,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.24,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.25,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.26,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.27,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.28,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.29,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.3,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.31,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.32,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.33,0,696,0,4,None,None,0.9942857142857143,0.005714285714285714,None,None
0.34,0,693,0,7,None,None,0.99,0.01,None,None
0.35,0,693,0,7,None,None,0.99,0.01,None,None
0.36,0,693,0,7,None,None,0.99,0.01,None,None
0.37,0,693,0,7,None,None,0.99,0.01,None,None
0.38,0,693,0,7,None,None,0.99,0.01,None,None
0.39,0,693,0,7,None,None,0.99,0.01,None,None
0.4,0,693,0,7,None,None,0.99,0.01,None,None
0.41,0,693,0,7,None,None,0.99,0.01,None,None
0.42,0,693,0,7,None,None,0.99,0.01,None,None
0.43,0,693,0,7,None,None,0.99,0.01,None,None
0.44,0,693,0,7,None,None,0.99,0.01,None,None
0.45,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.46,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.47,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.48,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.49,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.5,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.51,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.52,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.53,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.54,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.55,0,689,0,11,None,None,0.9842857142857143,0.015714285714285715,None,None
0.56,0,687,0,13,None,None,0.9814285714285714,0.018571428571428572,None,None
