Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
0.01,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
0.02,16,671,0,18,None,None,0.9738751814223512,0.04822695035460993,None,0.023289665211062592
0.03,16,664,0,25,None,None,0.9637155297532656,0.05815602836879433,None,0.023529411764705882
0.04,16,648,0,41,None,None,0.9404934687953556,0.08085106382978724,None,0.024096385542168676
0.05,14,637,2,52,0.041979010494752625,0.875,0.9245283018867925,0.09361702127659574,0.125,0.021505376344086023
0.06,14,627,2,62,0.0426179604261796,0.875,0.9100145137880987,0.10780141843971631,0.125,0.0218408736349454
0.07,14,615,2,74,0.043410852713178294,0.875,0.8925979680696662,0.12482269503546099,0.125,0.022257551669316374
0.08,13,606,3,83,0.04094488188976378,0.8125,0.8795355587808418,0.13617021276595745,0.1875,0.0210016155088853
0.09,13,593,3,96,0.04180064308681672,0.8125,0.8606676342525399,0.15460992907801419,0.1875,0.02145214521452145
0.1,13,577,3,112,0.0429042904290429,0.8125,0.8374455732946299,0.1773049645390071,0.1875,0.022033898305084745
0.11,13,562,3,127,0.04399323181049069,0.8125,0.8156748911465893,0.19858156028368795,0.1875,0.022608695652173914
0.12,11,550,5,139,0.038128249566724434,0.6875,0.7982583454281568,0.2127659574468085,0.3125,0.0196078431372549
0.13,11,540,5,149,0.03880070546737214,0.6875,0.783744557329463,0.22695035460992907,0.3125,0.019963702359346643
0.14,10,523,6,166,0.03642987249544627,0.625,0.7590711175616836,0.24964539007092199,0.375,0.01876172607879925
0.15,10,507,6,182,0.0375234521575985,0.625,0.7358490566037735,0.2723404255319149,0.375,0.019342359767891684
0.16,10,491,6,198,0.03868471953578337,0.625,0.7126269956458636,0.2950354609929078,0.375,0.01996007984031936
0.17,10,479,6,210,0.039603960396039604,0.625,0.6952104499274311,0.3120567375886525,0.375,0.02044989775051125
