Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.01,16,665,2,22,0.045779685264663805,0.8888888888888888,0.9679767103347889,0.05390070921985816,0.1111111111111111,0.023494860499265784
0.02,13,632,5,55,0.0392156862745098,0.7222222222222222,0.9199417758369723,0.09645390070921986,0.2777777777777778,0.020155038759689922
0.03,12,609,6,78,0.03755868544600939,0.6666666666666666,0.8864628820960698,0.1276595744680851,0.3333333333333333,0.01932367149758454
0.04,12,577,6,110,0.03953871499176277,0.6666666666666666,0.8398835516739447,0.17304964539007092,0.3333333333333333,0.02037351443123939
0.05,12,547,6,140,0.04159445407279029,0.6666666666666666,0.7962154294032023,0.21560283687943263,0.3333333333333333,0.02146690518783542
0.06,12,520,6,167,0.04363636363636363,0.6666666666666666,0.7569141193595342,0.25390070921985813,0.3333333333333333,0.022556390977443608
0.07,12,488,6,199,0.04633204633204634,0.6666666666666666,0.710334788937409,0.29929078014184396,0.3333333333333333,0.024
0.08,8,469,10,218,0.03232323232323232,0.4444444444444444,0.6826783114992722,0.32056737588652484,0.5555555555555556,0.016771488469601678
0.09,7,444,11,243,0.02985074626865672,0.3888888888888889,0.6462882096069869,0.3546099290780142,0.6111111111111112,0.015521064301552107
0.1,7,417,11,270,0.03167420814479638,0.3888888888888889,0.6069868995633187,0.39290780141843973,0.6111111111111112,0.01650943396226415
0.11,7,391,11,296,0.03365384615384615,0.3888888888888889,0.5691411935953421,0.4297872340425532,0.6111111111111112,0.017587939698492462
0.12,7,368,11,319,0.035623409669211195,0.3888888888888889,0.5356622998544396,0.4624113475177305,0.6111111111111112,0.018666666666666668
0.13,7,349,11,338,0.0374331550802139,0.3888888888888889,0.5080058224163028,0.48936170212765956,0.6111111111111112,0.019662921348314606
0.14,7,328,11,359,0.0396600566572238,0.3888888888888889,0.4774381368267831,0.5191489361702127,0.6111111111111112,0.020895522388059702
0.15,6,312,12,375,0.03571428571428571,0.3333333333333333,0.45414847161572053,0.5404255319148936,0.6666666666666666,0.018867924528301886
0.16,6,296,12,391,0.037500000000000006,0.3333333333333333,0.43085880640465796,0.5631205673758866,0.6666666666666666,0.019867549668874173
0.17,6,284,12,403,0.03896103896103897,0.3333333333333333,0.413391557496361,0.5801418439716312,0.6666666666666666,0.020689655172413793
0.18,6,270,12,417,0.04081632653061224,0.3333333333333333,0.3930131004366812,0.6,0.6666666666666666,0.021739130434782608
0.19,6,259,12,428,0.04240282685512367,0.3333333333333333,0.37700145560407566,0.6156028368794326,0.6666666666666666,0.022641509433962263
0.2,6,250,12,437,0.043795620437956206,0.3333333333333333,0.363901018922853,0.6283687943262412,0.6666666666666666,0.0234375
0.21,6,239,12,448,0.04562737642585551,0.3333333333333333,0.34788937409024745,0.6439716312056738,0.6666666666666666,0.024489795918367346
0.22,5,220,13,467,0.041152263374485604,0.2777777777777778,0.32023289665211063,0.6695035460992907,0.7222222222222222,0.022222222222222223
0.23,5,206,13,481,0.04366812227074235,0.2777777777777778,0.29985443959243085,0.6893617021276596,0.7222222222222222,0.023696682464454975
0.24,5,197,13,490,0.04545454545454545,0.2777777777777778,0.2867540029112082,0.7021276595744681,0.7222222222222222,0.024752475247524754
0.25,5,186,13,501,0.04784688995215311,0.2777777777777778,0.27074235807860264,0.7177304964539007,0.7222222222222222,0.02617801047120419
0.26,5,176,13,511,0.05025125628140704,0.2777777777777778,0.2561863173216885,0.7319148936170212,0.7222222222222222,0.027624309392265192
0.27,5,164,13,523,0.053475935828877004,0.2777777777777778,0.23871906841339155,0.7489361702127659,0.7222222222222222,0.029585798816568046
0.28,5,159,13,528,0.054945054945054944,0.2777777777777778,0.2314410480349345,0.7560283687943262,0.7222222222222222,0.03048780487804878
0.29,4,147,14,540,0.04733727810650888,0.2222222222222222,0.21397379912663755,0.7716312056737589,0.7777777777777778,0.026490066225165563
0.3,4,132,14,555,0.051948051948051945,0.2222222222222222,0.19213973799126638,0.7929078014184398,0.7777777777777778,0.029411764705882353
0.31,3,122,15,565,0.04195804195804196,0.16666666666666666,0.17758369723435224,0.8056737588652483,0.8333333333333334,0.024
0.32,2,116,16,571,0.02941176470588235,0.1111111111111111,0.16885007278020378,0.8127659574468085,0.8888888888888888,0.01694915254237288
0.33,2,112,16,575,0.030303030303030304,0.1111111111111111,0.16302765647743814,0.8184397163120567,0.8888888888888888,0.017543859649122806
0.34,2,104,16,583,0.03225806451612903,0.1111111111111111,0.15138282387190685,0.8297872340425532,0.8888888888888888,0.018867924528301886
0.35,2,98,16,589,0.03389830508474577,0.1111111111111111,0.14264919941775836,0.8382978723404255,0.8888888888888888,0.02
0.36,1,92,17,595,0.018018018018018018,0.05555555555555555,0.1339155749636099,0.8453900709219858,0.9444444444444444,0.010752688172043012
0.37,1,88,17,599,0.018691588785046728,0.05555555555555555,0.12809315866084425,0.851063829787234,0.9444444444444444,0.011235955056179775
0.38,1,84,17,603,0.019417475728155338,0.05555555555555555,0.1222707423580786,0.8567375886524823,0.9444444444444444,0.011764705882352941
