Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,19,686,0,0,None,None,None,0.02695035460992908,None,0.02695035460992908
0.01,19,677,0,9,None,None,0.9868804664723032,0.03971631205673759,None,0.027298850574712645
0.02,19,664,0,22,None,None,0.967930029154519,0.05815602836879433,None,0.027818448023426062
0.03,19,655,0,31,None,None,0.9548104956268222,0.07092198581560284,None,0.028189910979228485
0.04,19,643,0,43,None,None,0.9373177842565598,0.08794326241134752,None,0.028700906344410877
0.05,19,625,0,61,None,None,0.9110787172011662,0.11347517730496454,None,0.029503105590062112
0.06,18,610,1,76,0.05564142194744977,0.9473684210526315,0.8892128279883382,0.13333333333333333,0.05263157894736842,0.028662420382165606
0.07,18,599,1,87,0.05660377358490566,0.9473684210526315,0.8731778425655977,0.14893617021276595,0.05263157894736842,0.029173419773095625
0.08,18,589,1,97,0.057507987220447275,0.9473684210526315,0.858600583090379,0.16312056737588654,0.05263157894736842,0.029654036243822075
0.09,17,583,2,103,0.05492730210016154,0.8947368421052632,0.8498542274052479,0.1702127659574468,0.10526315789473684,0.028333333333333332
0.1,17,574,2,112,0.05573770491803279,0.8947368421052632,0.8367346938775511,0.1829787234042553,0.10526315789473684,0.028764805414551606
0.11,17,560,2,126,0.05704697986577182,0.8947368421052632,0.8163265306122449,0.2028368794326241,0.10526315789473684,0.029462738301559793
0.12,17,552,2,134,0.057823129251700675,0.8947368421052632,0.8046647230320699,0.21418439716312057,0.10526315789473684,0.029876977152899824
0.13,17,543,2,143,0.05872193436960276,0.8947368421052632,0.7915451895043731,0.22695035460992907,0.10526315789473684,0.030357142857142857
0.14,15,533,4,153,0.05291005291005291,0.7894736842105263,0.7769679300291545,0.23829787234042554,0.21052631578947367,0.02737226277372263
0.15,15,528,4,158,0.05338078291814946,0.7894736842105263,0.7696793002915452,0.2453900709219858,0.21052631578947367,0.027624309392265192
0.16,15,515,4,171,0.054644808743169404,0.7894736842105263,0.750728862973761,0.26382978723404255,0.21052631578947367,0.02830188679245283
0.17,13,510,6,176,0.047970479704797044,0.6842105263157895,0.7434402332361516,0.2680851063829787,0.3157894736842105,0.0248565965583174
0.18,11,503,8,183,0.04127579737335835,0.5789473684210527,0.7332361516034985,0.275177304964539,0.42105263157894735,0.021400778210116732
0.19,11,497,8,189,0.04174573055028463,0.5789473684210527,0.7244897959183674,0.28368794326241137,0.42105263157894735,0.021653543307086614
0.2,10,493,9,193,0.038314176245210725,0.5263157894736842,0.7186588921282799,0.28794326241134754,0.47368421052631576,0.019880715705765408
0.21,10,486,9,200,0.03883495145631068,0.5263157894736842,0.7084548104956269,0.2978723404255319,0.47368421052631576,0.020161290322580645
0.22,10,476,9,210,0.0396039603960396,0.5263157894736842,0.6938775510204082,0.3120567375886525,0.47368421052631576,0.0205761316872428
0.23,9,469,10,217,0.03621730382293763,0.47368421052631576,0.6836734693877551,0.32056737588652484,0.5263157894736842,0.01882845188284519
0.24,9,465,10,221,0.036511156186612576,0.47368421052631576,0.6778425655976676,0.3262411347517731,0.5263157894736842,0.0189873417721519
0.25,9,462,10,224,0.03673469387755102,0.47368421052631576,0.673469387755102,0.3304964539007092,0.5263157894736842,0.01910828025477707
0.26,9,454,10,232,0.03734439834024896,0.47368421052631576,0.6618075801749271,0.34184397163120567,0.5263157894736842,0.019438444924406047
0.27,9,452,10,234,0.0375,0.47368421052631576,0.6588921282798834,0.3446808510638298,0.5263157894736842,0.019522776572668113
0.28,9,448,10,238,0.03781512605042017,0.47368421052631576,0.6530612244897959,0.350354609929078,0.5263157894736842,0.019693654266958426
0.29,9,444,10,242,0.038135593220338986,0.47368421052631576,0.6472303206997084,0.35602836879432626,0.5263157894736842,0.019867549668874173
0.3,9,441,10,245,0.038379530916844345,0.47368421052631576,0.6428571428571429,0.36028368794326243,0.5263157894736842,0.02
0.31,9,436,10,250,0.038793103448275856,0.47368421052631576,0.6355685131195336,0.36737588652482267,0.5263157894736842,0.020224719101123594
0.32,9,431,10,255,0.0392156862745098,0.47368421052631576,0.6282798833819242,0.37446808510638296,0.5263157894736842,0.020454545454545454
0.33,9,428,10,258,0.039473684210526314,0.47368421052631576,0.6239067055393586,0.37872340425531914,0.5263157894736842,0.020594965675057208
0.34,9,424,10,262,0.03982300884955752,0.47368421052631576,0.6180758017492711,0.3843971631205674,0.5263157894736842,0.020785219399538105
0.35,9,422,10,264,0.039999999999999994,0.47368421052631576,0.6151603498542274,0.3872340425531915,0.5263157894736842,0.02088167053364269
0.36,9,418,10,268,0.040358744394618826,0.47368421052631576,0.60932944606414,0.39290780141843973,0.5263157894736842,0.02107728337236534
0.37,9,415,10,271,0.04063205417607223,0.47368421052631576,0.6049562682215743,0.3971631205673759,0.5263157894736842,0.02122641509433962
0.38,9,410,10,276,0.041095890410958895,0.47368421052631576,0.597667638483965,0.40425531914893614,0.5263157894736842,0.021479713603818614
0.39,9,410,10,276,0.041095890410958895,0.47368421052631576,0.597667638483965,0.40425531914893614,0.5263157894736842,0.021479713603818614
0.4,9,408,10,278,0.04128440366972477,0.47368421052631576,0.5947521865889213,0.40709219858156026,0.5263157894736842,0.02158273381294964
0.41,9,406,10,280,0.041474654377880185,0.47368421052631576,0.5918367346938775,0.4099290780141844,0.5263157894736842,0.021686746987951807
0.42,9,404,10,282,0.041666666666666664,0.47368421052631576,0.5889212827988338,0.4127659574468085,0.5263157894736842,0.021791767554479417
0.43,9,404,10,282,0.041666666666666664,0.47368421052631576,0.5889212827988338,0.4127659574468085,0.5263157894736842,0.021791767554479417
0.44,9,402,10,284,0.04186046511627907,0.47368421052631576,0.5860058309037901,0.4156028368794326,0.5263157894736842,0.021897810218978103
0.45,9,401,10,285,0.04195804195804195,0.47368421052631576,0.5845481049562682,0.41702127659574467,0.5263157894736842,0.02195121951219512
0.46,9,399,10,287,0.042154566744730684,0.47368421052631576,0.5816326530612245,0.4198581560283688,0.5263157894736842,0.022058823529411766
0.47,9,395,10,291,0.0425531914893617,0.47368421052631576,0.575801749271137,0.425531914893617,0.5263157894736842,0.022277227722772276
0.48,9,394,10,292,0.04265402843601896,0.47368421052631576,0.5743440233236151,0.4269503546099291,0.5263157894736842,0.022332506203473945
0.49,9,394,10,292,0.04265402843601896,0.47368421052631576,0.5743440233236151,0.4269503546099291,0.5263157894736842,0.022332506203473945
0.5,9,392,10,294,0.04285714285714286,0.47368421052631576,0.5714285714285714,0.4297872340425532,0.5263157894736842,0.022443890274314215
0.51,9,390,10,296,0.0430622009569378,0.47368421052631576,0.5685131195335277,0.4326241134751773,0.5263157894736842,0.022556390977443608
0.52,9,387,10,299,0.043373493975903614,0.47368421052631576,0.5641399416909622,0.4368794326241135,0.5263157894736842,0.022727272727272728
0.53,9,385,10,301,0.043583535108958835,0.47368421052631576,0.5612244897959183,0.4397163120567376,0.5263157894736842,0.02284263959390863
0.54,9,383,10,303,0.043795620437956206,0.47368421052631576,0.5583090379008746,0.4425531914893617,0.5263157894736842,0.02295918367346939
0.55,9,383,10,303,0.043795620437956206,0.47368421052631576,0.5583090379008746,0.4425531914893617,0.5263157894736842,0.02295918367346939
0.56,9,381,10,305,0.044009779951100246,0.47368421052631576,0.5553935860058309,0.4453900709219858,0.5263157894736842,0.023076923076923078
0.57,9,379,10,307,0.04422604422604423,0.47368421052631576,0.5524781341107872,0.4482269503546099,0.5263157894736842,0.023195876288659795
0.58,9,377,10,309,0.04444444444444444,0.47368421052631576,0.5495626822157434,0.451063829787234,0.5263157894736842,0.023316062176165803
0.59,9,373,10,313,0.04488778054862843,0.47368421052631576,0.543731778425656,0.45673758865248226,0.5263157894736842,0.02356020942408377
0.6,9,370,10,316,0.045226130653266326,0.47368421052631576,0.5393586005830904,0.46099290780141844,0.5263157894736842,0.023746701846965697
0.61,9,367,10,319,0.04556962025316456,0.47368421052631576,0.5349854227405247,0.4652482269503546,0.5263157894736842,0.023936170212765957
0.62,9,366,10,320,0.04568527918781726,0.47368421052631576,0.5335276967930029,0.4666666666666667,0.5263157894736842,0.024
0.63,9,363,10,323,0.04603580562659847,0.47368421052631576,0.5291545189504373,0.47092198581560285,0.5263157894736842,0.024193548387096774
0.64,9,363,10,323,0.04603580562659847,0.47368421052631576,0.5291545189504373,0.47092198581560285,0.5263157894736842,0.024193548387096774
0.65,9,357,10,329,0.046753246753246755,0.47368421052631576,0.5204081632653061,0.4794326241134752,0.5263157894736842,0.02459016393442623
0.66,9,355,10,331,0.04699738903394255,0.47368421052631576,0.5174927113702624,0.48226950354609927,0.5263157894736842,0.024725274725274724
0.67,9,354,10,332,0.04712041884816754,0.47368421052631576,0.5160349854227405,0.4836879432624113,0.5263157894736842,0.024793388429752067
0.68,9,353,10,333,0.047244094488188976,0.47368421052631576,0.5145772594752187,0.4851063829787234,0.5263157894736842,0.024861878453038673
0.69,9,350,10,336,0.047619047619047616,0.47368421052631576,0.5102040816326531,0.48936170212765956,0.5263157894736842,0.025069637883008356
0.7,9,349,10,337,0.04774535809018568,0.47368421052631576,0.5087463556851312,0.4907801418439716,0.5263157894736842,0.025139664804469275
0.71,9,347,10,339,0.048,0.47368421052631576,0.5058309037900874,0.49361702127659574,0.5263157894736842,0.025280898876404494
0.72,9,344,10,342,0.04838709677419355,0.47368421052631576,0.5014577259475219,0.4978723404255319,0.5263157894736842,0.025495750708215296
0.73,9,342,10,344,0.048648648648648644,0.47368421052631576,0.49854227405247814,0.500709219858156,0.5263157894736842,0.02564102564102564
0.74,9,340,10,346,0.04891304347826087,0.47368421052631576,0.4956268221574344,0.5035460992907801,0.5263157894736842,0.025787965616045846
0.75,9,337,10,349,0.04931506849315069,0.47368421052631576,0.4912536443148688,0.5078014184397163,0.5263157894736842,0.02601156069364162
0.76,9,335,10,351,0.049586776859504134,0.47368421052631576,0.48833819241982507,0.5106382978723404,0.5263157894736842,0.02616279069767442
0.77,9,332,10,354,0.05,0.47368421052631576,0.4839650145772595,0.5148936170212766,0.5263157894736842,0.026392961876832845
0.78,9,328,10,358,0.05056179775280899,0.47368421052631576,0.478134110787172,0.5205673758865248,0.5263157894736842,0.026706231454005934
0.79,9,327,10,359,0.05070422535211268,0.47368421052631576,0.47667638483965014,0.5219858156028369,0.5263157894736842,0.026785714285714284
0.8,9,326,10,360,0.05084745762711865,0.47368421052631576,0.4752186588921283,0.5234042553191489,0.5263157894736842,0.026865671641791045
0.81,9,325,10,361,0.05099150141643059,0.47368421052631576,0.4737609329446064,0.524822695035461,0.5263157894736842,0.02694610778443114
0.82,9,323,10,363,0.05128205128205129,0.47368421052631576,0.4708454810495627,0.5276595744680851,0.5263157894736842,0.02710843373493976
0.83,9,321,10,365,0.051575931232091685,0.47368421052631576,0.4679300291545189,0.5304964539007092,0.5263157894736842,0.02727272727272727
0.84,9,320,10,366,0.051724137931034475,0.47368421052631576,0.46647230320699706,0.5319148936170213,0.5263157894736842,0.02735562310030395
0.85,9,319,10,367,0.051873198847262256,0.47368421052631576,0.4650145772594752,0.5333333333333333,0.5263157894736842,0.027439024390243903
0.86,9,315,10,371,0.052478134110787174,0.47368421052631576,0.45918367346938777,0.5390070921985816,0.5263157894736842,0.027777777777777776
0.87,9,311,10,375,0.05309734513274336,0.47368421052631576,0.45335276967930027,0.5446808510638298,0.5263157894736842,0.028125
0.88,9,309,10,377,0.05341246290801187,0.47368421052631576,0.45043731778425655,0.5475177304964539,0.5263157894736842,0.02830188679245283
0.89,9,305,10,381,0.05405405405405405,0.47368421052631576,0.4446064139941691,0.5531914893617021,0.5263157894736842,0.028662420382165606
0.9,9,304,10,382,0.05421686746987951,0.47368421052631576,0.44314868804664725,0.5546099290780142,0.5263157894736842,0.02875399361022364
0.91,9,302,10,384,0.05454545454545454,0.47368421052631576,0.4402332361516035,0.5574468085106383,0.5263157894736842,0.028938906752411574
0.92,9,301,10,385,0.05471124620060791,0.47368421052631576,0.4387755102040816,0.5588652482269504,0.5263157894736842,0.02903225806451613
0.93,9,300,10,386,0.054878048780487805,0.47368421052631576,0.43731778425655976,0.5602836879432624,0.5263157894736842,0.02912621359223301
0.94,9,296,10,390,0.05555555555555555,0.47368421052631576,0.4314868804664723,0.5659574468085107,0.5263157894736842,0.029508196721311476
0.95,9,292,10,394,0.05625,0.47368421052631576,0.42565597667638483,0.5716312056737589,0.5263157894736842,0.029900332225913623
0.96,9,291,10,395,0.05642633228840126,0.47368421052631576,0.42419825072886297,0.573049645390071,0.5263157894736842,0.03
0.97,9,288,10,398,0.056962025316455694,0.47368421052631576,0.4198250728862974,0.577304964539007,0.5263157894736842,0.030303030303030304
0.98,9,287,10,399,0.05714285714285714,0.47368421052631576,0.41836734693877553,0.5787234042553191,0.5263157894736842,0.030405405405405407
0.99,9,284,10,402,0.057692307692307696,0.47368421052631576,0.4139941690962099,0.5829787234042553,0.5263157894736842,0.030716723549488054
1.0,9,283,10,403,0.057877813504823156,0.47368421052631576,0.41253644314868804,0.5843971631205673,0.5263157894736842,0.030821917808219176
1.01,9,278,10,408,0.058823529411764705,0.47368421052631576,0.40524781341107874,0.5914893617021276,0.5263157894736842,0.0313588850174216
1.02,9,275,10,411,0.0594059405940594,0.47368421052631576,0.4008746355685131,0.5957446808510638,0.5263157894736842,0.03169014084507042
1.03,9,269,10,417,0.060606060606060615,0.47368421052631576,0.39212827988338195,0.6042553191489362,0.5263157894736842,0.03237410071942446
1.04,9,268,10,418,0.06081081081081081,0.47368421052631576,0.39067055393586003,0.6056737588652482,0.5263157894736842,0.032490974729241874
1.05,9,263,10,423,0.061855670103092786,0.47368421052631576,0.38338192419825073,0.6127659574468085,0.5263157894736842,0.03308823529411765
1.06,9,260,10,426,0.0625,0.47368421052631576,0.37900874635568516,0.6170212765957447,0.5263157894736842,0.03345724907063197
1.07,9,258,10,428,0.06293706293706293,0.47368421052631576,0.3760932944606414,0.6198581560283688,0.5263157894736842,0.033707865168539325
1.08,9,253,10,433,0.06405693950177938,0.47368421052631576,0.3688046647230321,0.6269503546099291,0.5263157894736842,0.03435114503816794
1.09,9,250,10,436,0.06474820143884892,0.47368421052631576,0.36443148688046645,0.6312056737588653,0.5263157894736842,0.03474903474903475
1.1,9,247,10,439,0.06545454545454546,0.47368421052631576,0.36005830903790087,0.6354609929078014,0.5263157894736842,0.03515625
1.11,9,247,10,439,0.06545454545454546,0.47368421052631576,0.36005830903790087,0.6354609929078014,0.5263157894736842,0.03515625
1.12,9,242,10,444,0.06666666666666668,0.47368421052631576,0.35276967930029157,0.6425531914893617,0.5263157894736842,0.035856573705179286
1.13,9,240,10,446,0.06716417910447761,0.47368421052631576,0.3498542274052478,0.6453900709219859,0.5263157894736842,0.03614457831325301
1.14,9,235,10,451,0.06844106463878327,0.47368421052631576,0.3425655976676385,0.6524822695035462,0.5263157894736842,0.036885245901639344
1.15,9,231,10,455,0.0694980694980695,0.47368421052631576,0.336734693877551,0.6581560283687943,0.5263157894736842,0.0375
1.16,9,226,10,460,0.07086614173228346,0.47368421052631576,0.3294460641399417,0.6652482269503546,0.5263157894736842,0.03829787234042553
1.17,8,223,11,463,0.064,0.42105263157894735,0.3250728862973761,0.6680851063829787,0.5789473684210527,0.03463203463203463
1.18,8,221,11,465,0.06451612903225806,0.42105263157894735,0.32215743440233235,0.6709219858156028,0.5789473684210527,0.034934497816593885
1.19,8,220,11,466,0.06477732793522266,0.42105263157894735,0.3206997084548105,0.6723404255319149,0.5789473684210527,0.03508771929824561
1.2,8,218,11,468,0.06530612244897958,0.42105263157894735,0.3177842565597668,0.675177304964539,0.5789473684210527,0.035398230088495575
1.21,8,216,11,470,0.06584362139917696,0.42105263157894735,0.31486880466472306,0.6780141843971631,0.5789473684210527,0.03571428571428571
1.22,8,214,11,472,0.06639004149377593,0.42105263157894735,0.3119533527696793,0.6808510638297872,0.5789473684210527,0.036036036036036036
1.23,8,207,11,479,0.06837606837606837,0.42105263157894735,0.30174927113702626,0.6907801418439716,0.5789473684210527,0.037209302325581395
1.24,8,205,11,481,0.06896551724137932,0.42105263157894735,0.2988338192419825,0.6936170212765957,0.5789473684210527,0.03755868544600939
1.25,8,203,11,483,0.06956521739130436,0.42105263157894735,0.29591836734693877,0.6964539007092199,0.5789473684210527,0.037914691943127965
1.26,8,199,11,487,0.07079646017699115,0.42105263157894735,0.29008746355685133,0.7021276595744681,0.5789473684210527,0.03864734299516908
1.27,8,197,11,489,0.07142857142857142,0.42105263157894735,0.28717201166180756,0.7049645390070922,0.5789473684210527,0.03902439024390244
1.28,8,192,11,494,0.07305936073059362,0.42105263157894735,0.27988338192419826,0.7120567375886525,0.5789473684210527,0.04
1.29,8,191,11,495,0.07339449541284403,0.42105263157894735,0.2784256559766764,0.7134751773049646,0.5789473684210527,0.04020100502512563
1.3,8,189,11,497,0.07407407407407407,0.42105263157894735,0.2755102040816326,0.7163120567375887,0.5789473684210527,0.04060913705583756
1.31,8,185,11,501,0.07547169811320756,0.42105263157894735,0.2696793002915452,0.7219858156028369,0.5789473684210527,0.04145077720207254
1.32,8,185,11,501,0.07547169811320756,0.42105263157894735,0.2696793002915452,0.7219858156028369,0.5789473684210527,0.04145077720207254
1.33,8,180,11,506,0.07729468599033817,0.42105263157894735,0.26239067055393583,0.7290780141843972,0.5789473684210527,0.0425531914893617
1.34,8,178,11,508,0.07804878048780488,0.42105263157894735,0.2594752186588921,0.7319148936170212,0.5789473684210527,0.043010752688172046
1.35,8,176,11,510,0.0788177339901478,0.42105263157894735,0.2565597667638484,0.7347517730496453,0.5789473684210527,0.043478260869565216
1.36,8,173,11,513,0.08,0.42105263157894735,0.2521865889212828,0.7390070921985815,0.5789473684210527,0.04419889502762431
1.37,8,170,11,516,0.08121827411167512,0.42105263157894735,0.2478134110787172,0.7432624113475177,0.5789473684210527,0.0449438202247191
1.38,8,165,11,521,0.08333333333333334,0.42105263157894735,0.24052478134110788,0.750354609929078,0.5789473684210527,0.046242774566473986
1.39,8,160,11,526,0.0855614973262032,0.42105263157894735,0.23323615160349853,0.7574468085106383,0.5789473684210527,0.047619047619047616
1.4,8,158,11,528,0.08648648648648649,0.42105263157894735,0.2303206997084548,0.7602836879432624,0.5789473684210527,0.04819277108433735
1.41,8,156,11,530,0.08743169398907104,0.42105263157894735,0.22740524781341107,0.7631205673758865,0.5789473684210527,0.04878048780487805
1.42,8,152,11,534,0.0893854748603352,0.42105263157894735,0.22157434402332363,0.7687943262411348,0.5789473684210527,0.05
1.43,8,151,11,535,0.08988764044943821,0.42105263157894735,0.22011661807580174,0.7702127659574468,0.5789473684210527,0.050314465408805034
1.44,8,150,11,536,0.0903954802259887,0.42105263157894735,0.21865889212827988,0.7716312056737589,0.5789473684210527,0.05063291139240506
1.45,8,148,11,538,0.09142857142857143,0.42105263157894735,0.21574344023323616,0.774468085106383,0.5789473684210527,0.05128205128205128
1.46,8,147,11,539,0.09195402298850573,0.42105263157894735,0.21428571428571427,0.775886524822695,0.5789473684210527,0.05161290322580645
1.47,8,143,11,543,0.09411764705882354,0.42105263157894735,0.20845481049562684,0.7815602836879433,0.5789473684210527,0.052980132450331126
1.48,7,137,12,549,0.08588957055214724,0.3684210526315789,0.19970845481049562,0.7886524822695036,0.631578947368421,0.04861111111111111
1.49,7,136,12,550,0.08641975308641975,0.3684210526315789,0.19825072886297376,0.7900709219858156,0.631578947368421,0.04895104895104895
1.5,7,133,12,553,0.0880503144654088,0.3684210526315789,0.19387755102040816,0.7943262411347518,0.631578947368421,0.05
1.51,7,132,12,554,0.08860759493670885,0.3684210526315789,0.1924198250728863,0.7957446808510639,0.631578947368421,0.050359712230215826
1.52,7,130,12,556,0.08974358974358974,0.3684210526315789,0.18950437317784258,0.798581560283688,0.631578947368421,0.051094890510948905
1.53,7,127,12,559,0.0915032679738562,0.3684210526315789,0.18513119533527697,0.8028368794326242,0.631578947368421,0.05223880597014925
1.54,7,126,12,560,0.09210526315789473,0.3684210526315789,0.1836734693877551,0.8042553191489362,0.631578947368421,0.05263157894736842
1.55,7,126,12,560,0.09210526315789473,0.3684210526315789,0.1836734693877551,0.8042553191489362,0.631578947368421,0.05263157894736842
1.56,7,126,12,560,0.09210526315789473,0.3684210526315789,0.1836734693877551,0.8042553191489362,0.631578947368421,0.05263157894736842
1.57,7,124,12,562,0.09333333333333334,0.3684210526315789,0.18075801749271136,0.8070921985815603,0.631578947368421,0.05343511450381679
1.58,7,124,12,562,0.09333333333333334,0.3684210526315789,0.18075801749271136,0.8070921985815603,0.631578947368421,0.05343511450381679
1.59,7,116,12,570,0.09859154929577464,0.3684210526315789,0.16909620991253643,0.8184397163120567,0.631578947368421,0.056910569105691054
