Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
0.01,16,681,0,8,None,None,0.988388969521045,0.03404255319148936,None,0.02295552367288379
0.02,16,664,0,25,None,None,0.9637155297532656,0.05815602836879433,None,0.023529411764705882
0.03,16,650,0,39,None,None,0.9433962264150944,0.07801418439716312,None,0.024024024024024024
0.04,16,631,0,58,None,None,0.9158200290275762,0.1049645390070922,None,0.02472952086553323
0.05,16,610,0,79,None,None,0.8853410740203193,0.1347517730496454,None,0.025559105431309903
0.06,16,596,0,93,None,None,0.865021770682148,0.15460992907801419,None,0.026143790849673203
0.07,16,582,0,107,None,None,0.8447024673439768,0.17446808510638298,None,0.026755852842809364
0.08,16,569,0,120,None,None,0.8258345428156749,0.19290780141843972,None,0.02735042735042735
0.09,15,557,1,132,0.0510204081632653,0.9375,0.8084179970972424,0.20851063829787234,0.0625,0.026223776223776224
0.1,15,540,1,149,0.05253940455341507,0.9375,0.783744557329463,0.2326241134751773,0.0625,0.02702702702702703
0.11,15,529,1,160,0.05357142857142857,0.9375,0.7677793904208998,0.24822695035460993,0.0625,0.027573529411764705
0.12,15,512,1,177,0.055248618784530384,0.9375,0.7431059506531205,0.2723404255319149,0.0625,0.028462998102466792
0.13,15,499,1,190,0.05660377358490566,0.9375,0.7242380261248186,0.2907801418439716,0.0625,0.029182879377431907
0.14,15,484,1,205,0.05825242718446602,0.9375,0.7024673439767779,0.3120567375886525,0.0625,0.03006012024048096
0.15,14,475,2,214,0.055445544554455446,0.875,0.6894049346879536,0.32340425531914896,0.125,0.028629856850715747
0.16,14,460,2,229,0.05714285714285715,0.875,0.6676342525399129,0.3446808510638298,0.125,0.029535864978902954
0.17,14,442,2,247,0.059322033898305086,0.875,0.6415094339622641,0.3702127659574468,0.125,0.03070175438596491
0.18,13,421,3,268,0.057777777777777775,0.8125,0.6110304789550073,0.39858156028368796,0.1875,0.029953917050691243
0.19,13,405,3,284,0.059907834101382486,0.8125,0.5878084179970973,0.42127659574468085,0.1875,0.03110047846889952
0.2,12,391,4,298,0.057279236276849645,0.75,0.5674891146589259,0.4397163120567376,0.25,0.02977667493796526
0.21,11,377,5,312,0.054455445544554455,0.6875,0.5471698113207547,0.4581560283687943,0.3125,0.028350515463917526
0.22,11,362,5,327,0.056555269922879174,0.6875,0.525399129172714,0.4794326241134752,0.3125,0.029490616621983913
0.23,11,351,5,338,0.0582010582010582,0.6875,0.5094339622641509,0.4950354609929078,0.3125,0.03038674033149171
0.24,11,345,5,344,0.059139784946236555,0.6875,0.5007256894049347,0.5035460992907801,0.3125,0.03089887640449438
0.25,10,337,6,352,0.05509641873278237,0.625,0.48911465892597966,0.5134751773049645,0.375,0.02881844380403458
0.26,10,330,6,359,0.056179775280898875,0.625,0.47895500725689405,0.5234042553191489,0.375,0.029411764705882353
0.27,10,325,6,364,0.056980056980056974,0.625,0.4716981132075472,0.5304964539007092,0.375,0.029850746268656716
0.28,10,316,6,373,0.05847953216374269,0.625,0.45863570391872277,0.5432624113475177,0.375,0.03067484662576687
0.29,9,308,7,381,0.05405405405405406,0.5625,0.44702467343976776,0.5531914893617021,0.4375,0.028391167192429023
0.3,8,301,8,388,0.04923076923076923,0.5,0.43686502177068215,0.5617021276595745,0.5,0.025889967637540454
0.31,8,290,8,399,0.050955414012738856,0.5,0.420899854862119,0.577304964539007,0.5,0.026845637583892617
0.32,8,286,8,403,0.051612903225806445,0.5,0.41509433962264153,0.5829787234042553,0.5,0.027210884353741496
0.33,8,279,8,410,0.052805280528052806,0.5,0.40493468795355586,0.5929078014184397,0.5,0.027874564459930314
0.34,7,271,9,418,0.047619047619047616,0.4375,0.39332365747460085,0.6028368794326241,0.5625,0.025179856115107913
0.35,7,262,9,427,0.04912280701754387,0.4375,0.3802612481857765,0.6156028368794326,0.5625,0.026022304832713755
0.36,6,252,10,437,0.043795620437956206,0.375,0.36574746008708275,0.6283687943262412,0.625,0.023255813953488372
0.37,5,244,11,445,0.03773584905660377,0.3125,0.35413642960812775,0.6382978723404256,0.6875,0.020080321285140562
0.38,5,239,11,450,0.03846153846153846,0.3125,0.3468795355587808,0.6453900709219859,0.6875,0.020491803278688523
0.39,5,230,11,459,0.03984063745019921,0.3125,0.33381712626995647,0.6581560283687943,0.6875,0.02127659574468085
0.4,5,223,11,466,0.040983606557377046,0.3125,0.32365747460087085,0.6680851063829787,0.6875,0.021929824561403508
0.41,4,219,12,470,0.03347280334728033,0.25,0.3178519593613933,0.6723404255319149,0.75,0.017937219730941704
0.42,4,212,12,477,0.034482758620689655,0.25,0.3076923076923077,0.6822695035460993,0.75,0.018518518518518517
0.43,4,204,12,485,0.03571428571428572,0.25,0.2960812772133527,0.6936170212765957,0.75,0.019230769230769232
0.44,4,198,12,491,0.03669724770642201,0.25,0.28737300435413643,0.7021276595744681,0.75,0.019801980198019802
0.45,4,192,12,497,0.037735849056603765,0.25,0.27866473149492016,0.7106382978723405,0.75,0.02040816326530612
0.46,4,187,12,502,0.03864734299516908,0.25,0.2714078374455733,0.7177304964539007,0.75,0.020942408376963352
0.47,4,181,12,508,0.03980099502487562,0.25,0.262699564586357,0.7262411347517731,0.75,0.021621621621621623
