Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
0.01,16,664,0,20,None,None,0.9707602339181286,0.05142857142857143,None,0.023529411764705882
0.02,15,639,1,45,0.04477611940298508,0.9375,0.9342105263157895,0.08571428571428572,0.0625,0.022935779816513763
0.03,15,606,1,78,0.04709576138147567,0.9375,0.8859649122807017,0.13285714285714287,0.0625,0.024154589371980676
0.04,15,587,1,97,0.04854368932038835,0.9375,0.8581871345029239,0.16,0.0625,0.024916943521594685
0.05,15,563,1,121,0.050505050505050504,0.9375,0.8230994152046783,0.19428571428571428,0.0625,0.025951557093425604
0.06,15,536,1,148,0.052910052910052914,0.9375,0.783625730994152,0.23285714285714285,0.0625,0.02722323049001815
0.07,15,512,1,172,0.055248618784530384,0.9375,0.7485380116959064,0.2671428571428571,0.0625,0.028462998102466792
0.08,15,490,1,194,0.05758157389635316,0.9375,0.716374269005848,0.2985714285714286,0.0625,0.0297029702970297
0.09,14,470,2,214,0.055999999999999994,0.875,0.6871345029239766,0.32571428571428573,0.125,0.028925619834710745
0.1,14,441,2,243,0.059447983014861996,0.875,0.6447368421052632,0.36714285714285716,0.125,0.03076923076923077
0.11,14,413,2,271,0.06320541760722348,0.875,0.6038011695906432,0.40714285714285714,0.125,0.03278688524590164
0.12,13,395,3,289,0.061320754716981125,0.8125,0.577485380116959,0.43142857142857144,0.1875,0.031862745098039214
0.13,13,377,3,307,0.06403940886699508,0.8125,0.5511695906432749,0.45714285714285713,0.1875,0.03333333333333333
0.14,13,356,3,328,0.06753246753246753,0.8125,0.52046783625731,0.48714285714285716,0.1875,0.03523035230352303
0.15,12,340,4,344,0.06521739130434782,0.75,0.49707602339181284,0.5085714285714286,0.25,0.03409090909090909
0.16,11,312,5,372,0.06489675516224189,0.6875,0.45614035087719296,0.5471428571428572,0.3125,0.034055727554179564
0.17,11,299,5,385,0.06748466257668712,0.6875,0.4371345029239766,0.5657142857142857,0.3125,0.035483870967741936
