Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
0.01,18,668,0,14,None,None,0.9794721407624634,0.045714285714285714,None,0.026239067055393587
0.02,18,657,0,25,None,None,0.9633431085043989,0.06142857142857143,None,0.02666666666666667
0.03,18,643,0,39,None,None,0.9428152492668622,0.08142857142857143,None,0.02723146747352496
0.04,18,628,0,54,None,None,0.9208211143695014,0.10285714285714286,None,0.02786377708978328
0.05,18,612,0,70,None,None,0.8973607038123167,0.12571428571428572,None,0.02857142857142857
0.06,18,595,0,87,None,None,0.8724340175953079,0.15,None,0.02936378466557912
0.07,18,576,0,106,None,None,0.844574780058651,0.17714285714285713,None,0.030303030303030304
0.08,18,554,0,128,None,None,0.8123167155425219,0.20857142857142857,None,0.03146853146853147
0.09,18,538,0,144,None,None,0.7888563049853372,0.23142857142857143,None,0.03237410071942446
0.1,18,519,0,163,None,None,0.7609970674486803,0.25857142857142856,None,0.0335195530726257
0.11,18,506,0,176,None,None,0.7419354838709677,0.27714285714285714,None,0.03435114503816794
0.12,18,493,0,189,None,None,0.7228739002932552,0.2957142857142857,None,0.03522504892367906
0.13,18,482,0,200,None,None,0.7067448680351907,0.31142857142857144,None,0.036
0.14,18,472,0,210,None,None,0.6920821114369502,0.32571428571428573,None,0.036734693877551024
0.15,18,464,0,218,None,None,0.6803519061583577,0.33714285714285713,None,0.03734439834024896
0.16,18,440,0,242,None,None,0.6451612903225806,0.37142857142857144,None,0.039301310043668124
0.17,18,425,0,257,None,None,0.6231671554252199,0.39285714285714285,None,0.040632054176072234
0.18,18,413,0,269,None,None,0.6055718475073314,0.41,None,0.04176334106728538
0.19,18,398,0,284,None,None,0.5835777126099707,0.43142857142857144,None,0.04326923076923077
0.2,18,389,0,293,None,None,0.5703812316715543,0.4442857142857143,None,0.044226044226044224
0.21,17,384,1,298,0.081145584725537,0.9444444444444444,0.5630498533724341,0.45,0.05555555555555555,0.04239401496259352
0.22,17,372,1,310,0.08353808353808354,0.9444444444444444,0.5454545454545454,0.46714285714285714,0.05555555555555555,0.043701799485861184
0.23,16,364,2,318,0.08040201005025124,0.8888888888888888,0.533724340175953,0.47714285714285715,0.1111111111111111,0.042105263157894736
0.24,16,351,2,331,0.08311688311688312,0.8888888888888888,0.5146627565982405,0.4957142857142857,0.1111111111111111,0.043596730245231606
0.25,16,341,2,341,0.08533333333333333,0.8888888888888888,0.5,0.51,0.1111111111111111,0.04481792717086835
0.26,16,333,2,349,0.08719346049046321,0.8888888888888888,0.48826979472140764,0.5214285714285715,0.1111111111111111,0.045845272206303724
0.27,16,328,2,354,0.08839779005524862,0.8888888888888888,0.4809384164222874,0.5285714285714286,0.1111111111111111,0.046511627906976744
0.28,16,325,2,357,0.08913649025069639,0.8888888888888888,0.47653958944281527,0.5328571428571428,0.1111111111111111,0.0469208211143695
0.29,16,316,2,366,0.09142857142857143,0.8888888888888888,0.4633431085043988,0.5457142857142857,0.1111111111111111,0.04819277108433735
0.3,16,306,2,376,0.09411764705882353,0.8888888888888888,0.44868035190615835,0.56,0.1111111111111111,0.049689440993788817
0.31,15,304,3,378,0.08902077151335312,0.8333333333333334,0.44574780058651026,0.5614285714285714,0.16666666666666666,0.047021943573667714
0.32,15,293,3,389,0.09202453987730062,0.8333333333333334,0.42961876832844575,0.5771428571428572,0.16666666666666666,0.048701298701298704
0.33,15,287,3,395,0.09374999999999999,0.8333333333333334,0.4208211143695015,0.5857142857142857,0.16666666666666666,0.04966887417218543
0.34,15,276,3,406,0.0970873786407767,0.8333333333333334,0.4046920821114369,0.6014285714285714,0.16666666666666666,0.05154639175257732
0.35,15,267,3,415,0.09999999999999999,0.8333333333333334,0.3914956011730205,0.6142857142857143,0.16666666666666666,0.05319148936170213
0.36,15,261,3,421,0.1020408163265306,0.8333333333333334,0.38269794721407624,0.6228571428571429,0.16666666666666666,0.05434782608695652
0.37,15,256,3,426,0.10380622837370242,0.8333333333333334,0.375366568914956,0.63,0.16666666666666666,0.055350553505535055
0.38,15,251,3,431,0.1056338028169014,0.8333333333333334,0.3680351906158358,0.6371428571428571,0.16666666666666666,0.05639097744360902
0.39,15,246,3,436,0.1075268817204301,0.8333333333333334,0.36070381231671556,0.6442857142857142,0.16666666666666666,0.05747126436781609
0.4,15,242,3,440,0.10909090909090909,0.8333333333333334,0.3548387096774194,0.65,0.16666666666666666,0.058365758754863814
0.41,15,237,3,445,0.1111111111111111,0.8333333333333334,0.34750733137829914,0.6571428571428571,0.16666666666666666,0.05952380952380952
0.42,15,233,3,449,0.11278195488721805,0.8333333333333334,0.3416422287390029,0.6628571428571428,0.16666666666666666,0.06048387096774194
0.43,15,227,3,455,0.11538461538461538,0.8333333333333334,0.33284457478005863,0.6714285714285714,0.16666666666666666,0.06198347107438017
0.44,15,220,3,462,0.11857707509881422,0.8333333333333334,0.3225806451612903,0.6814285714285714,0.16666666666666666,0.06382978723404255
0.45,13,211,5,471,0.10743801652892562,0.7222222222222222,0.3093841642228739,0.6914285714285714,0.2777777777777778,0.05803571428571429
0.46,13,206,5,476,0.10970464135021096,0.7222222222222222,0.3020527859237537,0.6985714285714286,0.2777777777777778,0.0593607305936073
0.47,12,201,6,481,0.1038961038961039,0.6666666666666666,0.29472140762463345,0.7042857142857143,0.3333333333333333,0.056338028169014086
0.48,12,193,6,489,0.10762331838565022,0.6666666666666666,0.2829912023460411,0.7157142857142857,0.3333333333333333,0.05853658536585366
0.49,11,192,7,490,0.0995475113122172,0.6111111111111112,0.28152492668621704,0.7157142857142857,0.3888888888888889,0.054187192118226604
0.5,11,191,7,491,0.1,0.6111111111111112,0.28005865102639294,0.7171428571428572,0.3888888888888889,0.054455445544554455
0.51,10,189,8,493,0.09216589861751152,0.5555555555555556,0.27712609970674484,0.7185714285714285,0.4444444444444444,0.05025125628140704
0.52,10,184,8,498,0.09433962264150943,0.5555555555555556,0.2697947214076246,0.7257142857142858,0.4444444444444444,0.05154639175257732
0.53,10,181,8,501,0.09569377990430622,0.5555555555555556,0.2653958944281525,0.73,0.4444444444444444,0.05235602094240838
0.54,10,180,8,502,0.09615384615384616,0.5555555555555556,0.26392961876832843,0.7314285714285714,0.4444444444444444,0.05263157894736842
0.55,10,180,8,502,0.09615384615384616,0.5555555555555556,0.26392961876832843,0.7314285714285714,0.4444444444444444,0.05263157894736842
0.56,9,179,9,503,0.08737864077669903,0.5,0.2624633431085044,0.7314285714285714,0.5,0.047872340425531915
0.57,9,176,9,506,0.08866995073891627,0.5,0.25806451612903225,0.7357142857142858,0.5,0.04864864864864865
0.58,9,175,9,507,0.08910891089108912,0.5,0.2565982404692082,0.7371428571428571,0.5,0.04891304347826087
0.59,9,173,9,509,0.08999999999999998,0.5,0.2536656891495601,0.74,0.5,0.04945054945054945
0.6,9,168,9,514,0.09230769230769231,0.5,0.24633431085043989,0.7471428571428571,0.5,0.05084745762711865
0.61,9,166,9,516,0.09326424870466322,0.5,0.2434017595307918,0.75,0.5,0.05142857142857143
0.62,9,165,9,517,0.09375,0.5,0.24193548387096775,0.7514285714285714,0.5,0.05172413793103448
0.63,9,161,9,521,0.09574468085106383,0.5,0.23607038123167157,0.7571428571428571,0.5,0.052941176470588235
0.64,9,161,9,521,0.09574468085106383,0.5,0.23607038123167157,0.7571428571428571,0.5,0.052941176470588235
0.65,9,161,9,521,0.09574468085106383,0.5,0.23607038123167157,0.7571428571428571,0.5,0.052941176470588235
0.66,9,156,9,526,0.09836065573770492,0.5,0.2287390029325513,0.7642857142857142,0.5,0.05454545454545454
0.67,9,153,9,529,0.09999999999999999,0.5,0.22434017595307917,0.7685714285714286,0.5,0.05555555555555555
0.68,9,152,9,530,0.1005586592178771,0.5,0.22287390029325513,0.77,0.5,0.055900621118012424
0.69,9,150,9,532,0.1016949152542373,0.5,0.21994134897360704,0.7728571428571429,0.5,0.05660377358490566
0.7,9,150,9,532,0.1016949152542373,0.5,0.21994134897360704,0.7728571428571429,0.5,0.05660377358490566
0.71,9,149,9,533,0.10227272727272728,0.5,0.218475073313783,0.7742857142857142,0.5,0.056962025316455694
0.72,9,149,9,533,0.10227272727272728,0.5,0.218475073313783,0.7742857142857142,0.5,0.056962025316455694
0.73,9,148,9,534,0.10285714285714286,0.5,0.21700879765395895,0.7757142857142857,0.5,0.05732484076433121
0.74,9,148,9,534,0.10285714285714286,0.5,0.21700879765395895,0.7757142857142857,0.5,0.05732484076433121
0.75,9,147,9,535,0.10344827586206896,0.5,0.2155425219941349,0.7771428571428571,0.5,0.057692307692307696
0.76,9,146,9,536,0.10404624277456648,0.5,0.21407624633431085,0.7785714285714286,0.5,0.05806451612903226
0.77,9,144,9,538,0.10526315789473684,0.5,0.21114369501466276,0.7814285714285715,0.5,0.058823529411764705
0.78,9,144,9,538,0.10526315789473684,0.5,0.21114369501466276,0.7814285714285715,0.5,0.058823529411764705
0.79,9,143,9,539,0.10588235294117646,0.5,0.20967741935483872,0.7828571428571428,0.5,0.05921052631578947
0.8,9,142,9,540,0.10650887573964497,0.5,0.20821114369501467,0.7842857142857143,0.5,0.059602649006622516
0.81,9,142,9,540,0.10650887573964497,0.5,0.20821114369501467,0.7842857142857143,0.5,0.059602649006622516
