Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
4e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
5e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
6e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
7e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
8e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
9e-08,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.2e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.3e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.4e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.5e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.6e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.7e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.8e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
1.9e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.2e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.3e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.4e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.5e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.6e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.7e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.8e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
2.9e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3.1e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3.2e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
3.3e-07,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
