Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
1e-08,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
2e-08,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
3e-08,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
4e-08,18,682,0,0,None,None,None,0.025714285714285714,None,0.025714285714285714
5e-08,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
6e-08,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
7e-08,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
8e-08,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
9e-08,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
1e-07,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
1.1e-07,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
1.2e-07,18,681,0,1,None,None,0.998533724340176,0.027142857142857142,None,0.02575107296137339
1.3e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.4e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.5e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.6e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.7e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.8e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
1.9e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.1e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.2e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.3e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.4e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.5e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.6e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.7e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.8e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
2.9e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.1e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.2e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.3e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.4e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.5e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.6e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.7e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.8e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
3.9e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
4e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
4.1e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
4.2e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
4.3e-07,18,680,0,2,None,None,0.9970674486803519,0.02857142857142857,None,0.025787965616045846
4.4e-07,18,679,0,3,None,None,0.9956011730205279,0.03,None,0.02582496413199426
