Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
0.01,14,659,2,25,0.04063860667634252,0.875,0.9634502923976608,0.055714285714285716,0.125,0.020802377414561663
0.02,14,628,2,56,0.0425531914893617,0.875,0.9181286549707602,0.1,0.125,0.021806853582554516
0.03,14,597,2,87,0.044657097288676235,0.875,0.8728070175438597,0.1442857142857143,0.125,0.022913256955810146
0.04,13,570,3,114,0.04340567612687813,0.8125,0.8333333333333334,0.18142857142857144,0.1875,0.022298456260720412
0.05,13,540,3,144,0.04569420035149385,0.8125,0.7894736842105263,0.22428571428571428,0.1875,0.023508137432188065
0.06,13,519,3,165,0.04744525547445255,0.8125,0.7587719298245614,0.2542857142857143,0.1875,0.02443609022556391
0.07,13,492,3,192,0.049904030710172735,0.8125,0.7192982456140351,0.29285714285714287,0.1875,0.02574257425742574
0.08,12,459,4,225,0.04928131416837783,0.75,0.6710526315789473,0.3385714285714286,0.25,0.025477707006369428
0.09,12,435,4,249,0.05183585313174946,0.75,0.6359649122807017,0.37285714285714283,0.25,0.026845637583892617
0.1,12,414,4,270,0.05429864253393665,0.75,0.6052631578947368,0.40285714285714286,0.25,0.028169014084507043
0.11,11,394,5,290,0.052256532066508314,0.6875,0.5760233918128655,0.43,0.3125,0.027160493827160494
0.12,9,372,7,312,0.04534005037783376,0.5625,0.543859649122807,0.4585714285714286,0.4375,0.023622047244094488
0.13,9,357,7,327,0.04712041884816753,0.5625,0.5219298245614035,0.48,0.4375,0.02459016393442623
0.14,9,336,7,348,0.04986149584487534,0.5625,0.49122807017543857,0.51,0.4375,0.02608695652173913
0.15,9,328,7,356,0.05099150141643059,0.5625,0.47953216374269003,0.5214285714285715,0.4375,0.026706231454005934
0.16,9,316,7,368,0.05278592375366569,0.5625,0.4619883040935672,0.5385714285714286,0.4375,0.027692307692307693
0.17,9,303,7,381,0.05487804878048781,0.5625,0.44298245614035087,0.5571428571428572,0.4375,0.028846153846153848
0.18,9,288,7,396,0.05750798722044728,0.5625,0.42105263157894735,0.5785714285714286,0.4375,0.030303030303030304
0.19,9,277,7,407,0.05960264900662252,0.5625,0.40497076023391815,0.5942857142857143,0.4375,0.03146853146853147
0.2,9,269,7,415,0.06122448979591837,0.5625,0.3932748538011696,0.6057142857142858,0.4375,0.03237410071942446
0.21,9,254,7,430,0.06451612903225808,0.5625,0.3713450292397661,0.6271428571428571,0.4375,0.034220532319391636
0.22,9,237,7,447,0.06870229007633587,0.5625,0.34649122807017546,0.6514285714285715,0.4375,0.036585365853658534
0.23,9,229,7,455,0.07086614173228346,0.5625,0.3347953216374269,0.6628571428571428,0.4375,0.037815126050420166
0.24,9,218,7,466,0.07407407407407407,0.5625,0.31871345029239767,0.6785714285714286,0.4375,0.039647577092511016
0.25,9,208,7,476,0.07725321888412016,0.5625,0.30409356725146197,0.6928571428571428,0.4375,0.041474654377880185
0.26,9,199,7,485,0.08035714285714286,0.5625,0.2909356725146199,0.7057142857142857,0.4375,0.04326923076923077
0.27,9,190,7,494,0.08372093023255814,0.5625,0.2777777777777778,0.7185714285714285,0.4375,0.04522613065326633
0.28,9,181,7,503,0.08737864077669902,0.5625,0.2646198830409357,0.7314285714285714,0.4375,0.04736842105263158
0.29,9,176,7,508,0.08955223880597016,0.5625,0.2573099415204678,0.7385714285714285,0.4375,0.04864864864864865
0.3,9,168,7,516,0.09326424870466321,0.5625,0.24561403508771928,0.75,0.4375,0.05084745762711865
0.31,9,159,7,525,0.09782608695652173,0.5625,0.2324561403508772,0.7628571428571429,0.4375,0.05357142857142857
0.32,9,154,7,530,0.1005586592178771,0.5625,0.22514619883040934,0.77,0.4375,0.05521472392638037
0.33,9,149,7,535,0.10344827586206896,0.5625,0.21783625730994152,0.7771428571428571,0.4375,0.056962025316455694
0.34,9,144,7,540,0.10650887573964497,0.5625,0.21052631578947367,0.7842857142857143,0.4375,0.058823529411764705
0.35,9,140,7,544,0.10909090909090909,0.5625,0.2046783625730994,0.79,0.4375,0.06040268456375839
0.36,9,134,7,550,0.11320754716981132,0.5625,0.195906432748538,0.7985714285714286,0.4375,0.06293706293706294
0.37,9,130,7,554,0.11612903225806452,0.5625,0.19005847953216373,0.8042857142857143,0.4375,0.06474820143884892
0.38,9,128,7,556,0.11764705882352941,0.5625,0.1871345029239766,0.8071428571428572,0.4375,0.06569343065693431
0.39,9,124,7,560,0.12080536912751677,0.5625,0.18128654970760233,0.8128571428571428,0.4375,0.06766917293233082
0.4,9,124,7,560,0.12080536912751677,0.5625,0.18128654970760233,0.8128571428571428,0.4375,0.06766917293233082
0.41,9,121,7,563,0.12328767123287672,0.5625,0.17690058479532164,0.8171428571428572,0.4375,0.06923076923076923
0.42,9,118,7,566,0.1258741258741259,0.5625,0.17251461988304093,0.8214285714285714,0.4375,0.07086614173228346
0.43,9,117,7,567,0.1267605633802817,0.5625,0.17105263157894737,0.8228571428571428,0.4375,0.07142857142857142
0.44,8,117,8,567,0.11347517730496454,0.5,0.17105263157894737,0.8214285714285714,0.5,0.064
0.45,8,114,8,570,0.11594202898550726,0.5,0.16666666666666666,0.8257142857142857,0.5,0.06557377049180328
0.46,8,111,8,573,0.11851851851851852,0.5,0.16228070175438597,0.83,0.5,0.06722689075630252
0.47,8,111,8,573,0.11851851851851852,0.5,0.16228070175438597,0.83,0.5,0.06722689075630252
0.48,8,108,8,576,0.1212121212121212,0.5,0.15789473684210525,0.8342857142857143,0.5,0.06896551724137931
0.49,8,108,8,576,0.1212121212121212,0.5,0.15789473684210525,0.8342857142857143,0.5,0.06896551724137931
0.5,8,106,8,578,0.12307692307692307,0.5,0.15497076023391812,0.8371428571428572,0.5,0.07017543859649122
0.51,8,103,8,581,0.12598425196850394,0.5,0.15058479532163743,0.8414285714285714,0.5,0.07207207207207207
0.52,8,102,8,582,0.12698412698412698,0.5,0.14912280701754385,0.8428571428571429,0.5,0.07272727272727272
0.53,8,99,8,585,0.13008130081300812,0.5,0.14473684210526316,0.8471428571428572,0.5,0.07476635514018691
0.54,8,98,8,586,0.13114754098360656,0.5,0.14327485380116958,0.8485714285714285,0.5,0.07547169811320754
0.55,8,95,8,589,0.13445378151260504,0.5,0.1388888888888889,0.8528571428571429,0.5,0.07766990291262135
0.56,8,94,8,590,0.13559322033898305,0.5,0.13742690058479531,0.8542857142857143,0.5,0.0784313725490196
0.57,8,91,8,593,0.13913043478260873,0.5,0.13304093567251463,0.8585714285714285,0.5,0.08080808080808081
0.58,8,89,8,595,0.1415929203539823,0.5,0.1301169590643275,0.8614285714285714,0.5,0.08247422680412371
0.59,7,88,9,596,0.12612612612612611,0.4375,0.1286549707602339,0.8614285714285714,0.5625,0.07368421052631578
0.6,7,88,9,596,0.12612612612612611,0.4375,0.1286549707602339,0.8614285714285714,0.5625,0.07368421052631578
0.61,7,87,9,597,0.12727272727272723,0.4375,0.12719298245614036,0.8628571428571429,0.5625,0.07446808510638298
0.62,7,85,9,599,0.12962962962962965,0.4375,0.12426900584795321,0.8657142857142858,0.5625,0.07608695652173914
0.63,7,85,9,599,0.12962962962962965,0.4375,0.12426900584795321,0.8657142857142858,0.5625,0.07608695652173914
0.64,7,85,9,599,0.12962962962962965,0.4375,0.12426900584795321,0.8657142857142858,0.5625,0.07608695652173914
0.65,7,83,9,601,0.13207547169811323,0.4375,0.12134502923976608,0.8685714285714285,0.5625,0.07777777777777778
0.66,7,81,9,603,0.13461538461538458,0.4375,0.11842105263157894,0.8714285714285714,0.5625,0.07954545454545454
0.67,7,79,9,605,0.1372549019607843,0.4375,0.1154970760233918,0.8742857142857143,0.5625,0.08139534883720931
0.68,7,76,9,608,0.14141414141414144,0.4375,0.1111111111111111,0.8785714285714286,0.5625,0.08433734939759036
0.69,7,76,9,608,0.14141414141414144,0.4375,0.1111111111111111,0.8785714285714286,0.5625,0.08433734939759036
0.7,7,76,9,608,0.14141414141414144,0.4375,0.1111111111111111,0.8785714285714286,0.5625,0.08433734939759036
0.71,7,75,9,609,0.14285714285714288,0.4375,0.10964912280701754,0.88,0.5625,0.08536585365853659
0.72,7,74,9,610,0.1443298969072165,0.4375,0.10818713450292397,0.8814285714285715,0.5625,0.08641975308641975
0.73,6,73,10,611,0.12631578947368421,0.375,0.1067251461988304,0.8814285714285715,0.625,0.0759493670886076
