Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,684,0,0,None,None,None,0.022857142857142857,None,0.022857142857142857
0.01,16,660,0,24,None,None,0.9649122807017544,0.05714285714285714,None,0.023668639053254437
0.02,15,614,1,70,0.046511627906976744,0.9375,0.8976608187134503,0.12142857142857143,0.0625,0.02384737678855326
0.03,14,569,2,115,0.04674457429048414,0.875,0.8318713450292398,0.18428571428571427,0.125,0.024013722126929673
0.04,14,525,2,159,0.05045045045045045,0.875,0.7675438596491229,0.24714285714285714,0.125,0.025974025974025976
0.05,14,479,2,205,0.0550098231827112,0.875,0.7002923976608187,0.31285714285714283,0.125,0.028397565922920892
0.06,13,444,3,240,0.054968287526427066,0.8125,0.6491228070175439,0.36142857142857143,0.1875,0.028446389496717725
0.07,12,392,4,292,0.05714285714285714,0.75,0.5730994152046783,0.4342857142857143,0.25,0.0297029702970297
0.08,12,356,4,328,0.06249999999999999,0.75,0.52046783625731,0.4857142857142857,0.25,0.03260869565217391
0.09,12,328,4,356,0.06741573033707865,0.75,0.47953216374269003,0.5257142857142857,0.25,0.03529411764705882
0.1,11,310,5,374,0.06528189910979228,0.6875,0.45321637426900585,0.55,0.3125,0.03426791277258567
0.11,7,288,9,396,0.045016077170418,0.4375,0.42105263157894735,0.5757142857142857,0.5625,0.023728813559322035
0.12,7,269,9,415,0.04794520547945206,0.4375,0.3932748538011696,0.6028571428571429,0.5625,0.025362318840579712
0.13,5,248,11,436,0.03717472118959108,0.3125,0.36257309941520466,0.63,0.6875,0.019762845849802372
0.14,5,234,11,450,0.0392156862745098,0.3125,0.34210526315789475,0.65,0.6875,0.02092050209205021
0.15,5,212,11,472,0.04291845493562232,0.3125,0.30994152046783624,0.6814285714285714,0.6875,0.02304147465437788
0.16,5,194,11,490,0.04651162790697675,0.3125,0.28362573099415206,0.7071428571428572,0.6875,0.02512562814070352
0.17,4,183,12,501,0.03940886699507389,0.25,0.2675438596491228,0.7214285714285714,0.75,0.0213903743315508
0.18,3,171,13,513,0.031578947368421054,0.1875,0.25,0.7371428571428571,0.8125,0.017241379310344827
0.19,3,159,13,525,0.033707865168539325,0.1875,0.2324561403508772,0.7542857142857143,0.8125,0.018518518518518517
0.2,2,149,14,535,0.02395209580838323,0.125,0.21783625730994152,0.7671428571428571,0.875,0.013245033112582781
0.21,2,142,14,542,0.024999999999999998,0.125,0.20760233918128654,0.7771428571428571,0.875,0.013888888888888888
0.22,2,127,14,557,0.027586206896551724,0.125,0.18567251461988304,0.7985714285714286,0.875,0.015503875968992248
0.23,2,117,14,567,0.02962962962962963,0.125,0.17105263157894737,0.8128571428571428,0.875,0.01680672268907563
0.24,2,113,14,571,0.030534351145038167,0.125,0.1652046783625731,0.8185714285714286,0.875,0.017391304347826087
0.25,1,111,15,573,0.015625,0.0625,0.16228070175438597,0.82,0.9375,0.008928571428571428
