Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,19,681,0,0,None,None,None,0.027142857142857142,None,0.027142857142857142
0.01,18,653,1,28,0.05217391304347826,0.9473684210526315,0.9588839941262849,0.06571428571428571,0.05263157894736842,0.026825633383010434
0.02,18,629,1,52,0.05405405405405406,0.9473684210526315,0.9236417033773862,0.1,0.05263157894736842,0.027820710973724884
0.03,17,609,2,72,0.05271317829457364,0.8947368421052632,0.8942731277533039,0.12714285714285714,0.10526315789473684,0.027156549520766772
0.04,17,590,2,91,0.05431309904153355,0.8947368421052632,0.8663729809104258,0.15428571428571428,0.10526315789473684,0.02800658978583196
0.05,16,570,3,111,0.05289256198347108,0.8421052631578947,0.8370044052863436,0.18142857142857144,0.15789473684210525,0.027303754266211604
0.06,16,556,3,125,0.05414551607445008,0.8421052631578947,0.8164464023494861,0.20142857142857143,0.15789473684210525,0.027972027972027972
0.07,16,543,3,138,0.05536332179930796,0.8421052631578947,0.7973568281938326,0.22,0.15789473684210525,0.028622540250447227
0.08,15,521,4,160,0.05405405405405405,0.7894736842105263,0.7650513950073421,0.25,0.21052631578947367,0.027985074626865673
0.09,12,507,7,174,0.04460966542750929,0.631578947368421,0.7444933920704846,0.26571428571428574,0.3684210526315789,0.023121387283236993
0.1,12,500,7,181,0.04519774011299435,0.631578947368421,0.7342143906020558,0.2757142857142857,0.3684210526315789,0.0234375
0.11,12,483,7,198,0.046692607003891044,0.631578947368421,0.7092511013215859,0.3,0.3684210526315789,0.024242424242424242
0.12,11,473,8,208,0.0437375745526839,0.5789473684210527,0.6945668135095447,0.31285714285714283,0.42105263157894735,0.022727272727272728
0.13,11,464,8,217,0.044534412955465584,0.5789473684210527,0.6813509544787077,0.32571428571428573,0.42105263157894735,0.023157894736842106
0.14,11,457,8,224,0.04517453798767967,0.5789473684210527,0.671071953010279,0.3357142857142857,0.42105263157894735,0.023504273504273504
0.15,11,449,8,232,0.04592901878914405,0.5789473684210527,0.6593245227606461,0.34714285714285714,0.42105263157894735,0.02391304347826087
0.16,11,441,8,240,0.046709129511677286,0.5789473684210527,0.6475770925110133,0.3585714285714286,0.42105263157894735,0.024336283185840708
0.17,11,439,8,242,0.04690831556503198,0.5789473684210527,0.644640234948605,0.36142857142857143,0.42105263157894735,0.024444444444444446
0.18,11,429,8,252,0.04793028322440087,0.5789473684210527,0.6299559471365639,0.3757142857142857,0.42105263157894735,0.025
0.19,10,422,9,259,0.04434589800443459,0.5263157894736842,0.6196769456681351,0.3842857142857143,0.47368421052631576,0.023148148148148147
0.2,10,414,9,267,0.04514672686230248,0.5263157894736842,0.6079295154185022,0.39571428571428574,0.47368421052631576,0.02358490566037736
0.21,10,412,9,269,0.045351473922902494,0.5263157894736842,0.604992657856094,0.3985714285714286,0.47368421052631576,0.023696682464454975
0.22,10,403,9,278,0.04629629629629629,0.5263157894736842,0.591776798825257,0.4114285714285714,0.47368421052631576,0.024213075060532687
0.23,10,392,9,289,0.04750593824228029,0.5263157894736842,0.5756240822320118,0.42714285714285716,0.47368421052631576,0.024875621890547265
0.24,10,385,9,296,0.048309178743961345,0.5263157894736842,0.5653450807635829,0.43714285714285717,0.47368421052631576,0.02531645569620253
0.25,10,380,9,301,0.04889975550122249,0.5263157894736842,0.5580029368575624,0.4442857142857143,0.47368421052631576,0.02564102564102564
0.26,10,373,9,308,0.04975124378109452,0.5263157894736842,0.5477239353891337,0.4542857142857143,0.47368421052631576,0.02610966057441253
0.27,10,363,9,318,0.05102040816326531,0.5263157894736842,0.5330396475770925,0.4685714285714286,0.47368421052631576,0.02680965147453083
0.28,10,359,9,322,0.051546391752577324,0.5263157894736842,0.527165932452276,0.4742857142857143,0.47368421052631576,0.02710027100271003
0.29,10,354,9,327,0.05221932114882506,0.5263157894736842,0.5198237885462555,0.48142857142857143,0.47368421052631576,0.027472527472527472
0.3,10,343,9,338,0.05376344086021506,0.5263157894736842,0.5036710719530103,0.49714285714285716,0.47368421052631576,0.028328611898016998
0.31,10,342,9,339,0.053908355795148244,0.5263157894736842,0.5022026431718062,0.49857142857142855,0.47368421052631576,0.028409090909090908
0.32,10,339,9,342,0.05434782608695652,0.5263157894736842,0.4977973568281938,0.5028571428571429,0.47368421052631576,0.02865329512893983
0.33,10,329,9,352,0.055865921787709494,0.5263157894736842,0.4831130690161527,0.5171428571428571,0.47368421052631576,0.029498525073746312
0.34,10,324,9,357,0.056657223796033995,0.5263157894736842,0.47577092511013214,0.5242857142857142,0.47368421052631576,0.029940119760479042
0.35,10,321,9,360,0.057142857142857155,0.5263157894736842,0.4713656387665198,0.5285714285714286,0.47368421052631576,0.030211480362537766
0.36,10,318,9,363,0.05763688760806916,0.5263157894736842,0.4669603524229075,0.5328571428571428,0.47368421052631576,0.03048780487804878
0.37,10,316,9,365,0.057971014492753624,0.5263157894736842,0.46402349486049926,0.5357142857142857,0.47368421052631576,0.03067484662576687
0.38,10,313,9,368,0.05847953216374268,0.5263157894736842,0.45961820851688695,0.54,0.47368421052631576,0.030959752321981424
0.39,10,309,9,372,0.05917159763313608,0.5263157894736842,0.45374449339207046,0.5457142857142857,0.47368421052631576,0.03134796238244514
0.4,10,304,9,377,0.060060060060060066,0.5263157894736842,0.44640234948604995,0.5528571428571428,0.47368421052631576,0.03184713375796178
0.41,10,299,9,382,0.06097560975609756,0.5263157894736842,0.4390602055800294,0.56,0.47368421052631576,0.032362459546925564
0.42,10,293,9,388,0.06211180124223603,0.5263157894736842,0.4302496328928047,0.5685714285714286,0.47368421052631576,0.033003300330033
0.43,10,287,9,394,0.06329113924050633,0.5263157894736842,0.42143906020558003,0.5771428571428572,0.47368421052631576,0.03367003367003367
0.44,9,281,10,400,0.05825242718446602,0.47368421052631576,0.41262848751835535,0.5842857142857143,0.5263157894736842,0.03103448275862069
0.45,9,278,10,403,0.058823529411764705,0.47368421052631576,0.40822320117474303,0.5885714285714285,0.5263157894736842,0.0313588850174216
0.46,9,276,10,405,0.05921052631578947,0.47368421052631576,0.4052863436123348,0.5914285714285714,0.5263157894736842,0.031578947368421054
0.47,9,270,10,411,0.060402684563758385,0.47368421052631576,0.3964757709251101,0.6,0.5263157894736842,0.03225806451612903
0.48,9,268,10,413,0.06081081081081081,0.47368421052631576,0.3935389133627019,0.6028571428571429,0.5263157894736842,0.032490974729241874
0.49,9,262,10,419,0.06206896551724138,0.47368421052631576,0.38472834067547723,0.6114285714285714,0.5263157894736842,0.033210332103321034
0.5,9,259,10,422,0.0627177700348432,0.47368421052631576,0.3803230543318649,0.6157142857142858,0.5263157894736842,0.033582089552238806
0.51,9,257,10,424,0.06315789473684211,0.47368421052631576,0.37738619676945667,0.6185714285714285,0.5263157894736842,0.03383458646616541
0.52,9,254,10,427,0.06382978723404256,0.47368421052631576,0.37298091042584436,0.6228571428571429,0.5263157894736842,0.034220532319391636
0.53,9,254,10,427,0.06382978723404256,0.47368421052631576,0.37298091042584436,0.6228571428571429,0.5263157894736842,0.034220532319391636
0.54,9,249,10,432,0.06498194945848375,0.47368421052631576,0.3656387665198238,0.63,0.5263157894736842,0.03488372093023256
0.55,9,246,10,435,0.06569343065693431,0.47368421052631576,0.36123348017621143,0.6342857142857142,0.5263157894736842,0.03529411764705882
0.56,9,242,10,439,0.06666666666666668,0.47368421052631576,0.355359765051395,0.64,0.5263157894736842,0.035856573705179286
0.57,9,239,10,442,0.06741573033707865,0.47368421052631576,0.3509544787077827,0.6442857142857142,0.5263157894736842,0.036290322580645164
0.58,9,236,10,445,0.06818181818181818,0.47368421052631576,0.3465491923641703,0.6485714285714286,0.5263157894736842,0.036734693877551024
0.59,9,231,10,450,0.0694980694980695,0.47368421052631576,0.3392070484581498,0.6557142857142857,0.5263157894736842,0.0375
0.6,9,229,10,452,0.07003891050583656,0.47368421052631576,0.33627019089574156,0.6585714285714286,0.5263157894736842,0.037815126050420166
0.61,9,225,10,456,0.07114624505928853,0.47368421052631576,0.3303964757709251,0.6642857142857143,0.5263157894736842,0.038461538461538464
0.62,9,223,10,458,0.07171314741035857,0.47368421052631576,0.3274596182085169,0.6671428571428571,0.5263157894736842,0.03879310344827586
0.63,9,220,10,461,0.07258064516129031,0.47368421052631576,0.32305433186490456,0.6714285714285714,0.5263157894736842,0.039301310043668124
0.64,9,218,10,463,0.07317073170731707,0.47368421052631576,0.3201174743024963,0.6742857142857143,0.5263157894736842,0.039647577092511016
0.65,9,215,10,466,0.07407407407407408,0.47368421052631576,0.315712187958884,0.6785714285714286,0.5263157894736842,0.04017857142857143
0.66,8,212,11,469,0.06694560669456066,0.42105263157894735,0.31130690161527164,0.6814285714285714,0.5789473684210527,0.03636363636363636
0.67,8,208,11,473,0.06808510638297872,0.42105263157894735,0.3054331864904552,0.6871428571428572,0.5789473684210527,0.037037037037037035
0.68,8,206,11,475,0.06866952789699571,0.42105263157894735,0.302496328928047,0.69,0.5789473684210527,0.037383177570093455
0.69,8,204,11,477,0.06926406926406926,0.42105263157894735,0.29955947136563876,0.6928571428571428,0.5789473684210527,0.03773584905660377
0.7,8,203,11,478,0.06956521739130436,0.42105263157894735,0.29809104258443464,0.6942857142857143,0.5789473684210527,0.037914691943127965
0.71,8,200,11,481,0.07048458149779736,0.42105263157894735,0.2936857562408223,0.6985714285714286,0.5789473684210527,0.038461538461538464
0.72,8,199,11,482,0.07079646017699115,0.42105263157894735,0.2922173274596182,0.7,0.5789473684210527,0.03864734299516908
0.73,8,196,11,485,0.07174887892376682,0.42105263157894735,0.2878120411160059,0.7042857142857143,0.5789473684210527,0.0392156862745098
0.74,8,195,11,486,0.07207207207207207,0.42105263157894735,0.28634361233480177,0.7057142857142857,0.5789473684210527,0.03940886699507389
0.75,8,191,11,490,0.07339449541284403,0.42105263157894735,0.28046989720998533,0.7114285714285714,0.5789473684210527,0.04020100502512563
0.76,8,190,11,491,0.07373271889400923,0.42105263157894735,0.2790014684287812,0.7128571428571429,0.5789473684210527,0.04040404040404041
0.77,8,189,11,492,0.07407407407407407,0.42105263157894735,0.2775330396475771,0.7142857142857143,0.5789473684210527,0.04060913705583756
0.78,8,188,11,493,0.07441860465116278,0.42105263157894735,0.27606461086637296,0.7157142857142857,0.5789473684210527,0.04081632653061224
