Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
0.01,17,650,1,27,0.04963503649635037,0.9444444444444444,0.9601181683899557,0.06330935251798561,0.05555555555555555,0.025487256371814093
0.02,17,620,1,57,0.05190839694656489,0.9444444444444444,0.9158050221565731,0.10647482014388489,0.05555555555555555,0.026687598116169546
0.03,17,595,1,82,0.053968253968253964,0.9444444444444444,0.8788774002954209,0.14244604316546763,0.05555555555555555,0.027777777777777776
0.04,17,566,1,111,0.05657237936772047,0.9444444444444444,0.8360413589364845,0.1841726618705036,0.05555555555555555,0.029159519725557463
0.05,17,533,1,144,0.05985915492957747,0.9444444444444444,0.7872968980797637,0.2316546762589928,0.05555555555555555,0.03090909090909091
0.06,17,504,1,173,0.06307977736549164,0.9444444444444444,0.7444608567208272,0.2733812949640288,0.05555555555555555,0.03262955854126679
0.07,16,476,2,201,0.0627450980392157,0.8888888888888888,0.7031019202363368,0.3122302158273381,0.1111111111111111,0.032520325203252036
0.08,16,453,2,224,0.06570841889117043,0.8888888888888888,0.6691285081240768,0.34532374100719426,0.1111111111111111,0.03411513859275053
0.09,16,434,2,243,0.06837606837606838,0.8888888888888888,0.6410635155096012,0.3726618705035971,0.1111111111111111,0.035555555555555556
0.1,15,409,3,268,0.06787330316742081,0.8333333333333334,0.604135893648449,0.4071942446043165,0.16666666666666666,0.03537735849056604
0.11,15,379,3,298,0.07281553398058253,0.8333333333333334,0.5598227474150664,0.4503597122302158,0.16666666666666666,0.03807106598984772
0.12,14,360,4,317,0.07142857142857141,0.7777777777777778,0.5317577548005908,0.4762589928057554,0.2222222222222222,0.0374331550802139
0.13,14,341,4,336,0.07506702412868634,0.7777777777777778,0.5036927621861153,0.5035971223021583,0.2222222222222222,0.03943661971830986
0.14,14,319,4,358,0.07977207977207978,0.7777777777777778,0.4711964549483013,0.5352517985611511,0.2222222222222222,0.042042042042042045
0.15,13,304,5,373,0.07761194029850747,0.7222222222222222,0.44903988183161003,0.5553956834532374,0.2777777777777778,0.04100946372239748
0.16,12,293,6,384,0.07430340557275543,0.6666666666666666,0.4327917282127031,0.5697841726618705,0.3333333333333333,0.03934426229508197
0.17,12,280,6,397,0.07741935483870967,0.6666666666666666,0.413589364844904,0.5884892086330935,0.3333333333333333,0.0410958904109589
0.18,11,263,7,414,0.07534246575342465,0.6111111111111112,0.38847858197932056,0.6115107913669064,0.3888888888888889,0.040145985401459854
0.19,11,253,7,424,0.07801418439716312,0.6111111111111112,0.37370753323485967,0.6258992805755396,0.3888888888888889,0.041666666666666664
0.2,11,244,7,433,0.08058608058608059,0.6111111111111112,0.3604135893648449,0.6388489208633094,0.3888888888888889,0.043137254901960784
0.21,10,230,8,447,0.07751937984496124,0.5555555555555556,0.3397341211225997,0.6575539568345323,0.4444444444444444,0.041666666666666664
0.22,9,219,9,458,0.07317073170731707,0.5,0.32348596750369274,0.6719424460431654,0.5,0.039473684210526314
0.23,9,208,9,469,0.07659574468085106,0.5,0.3072378138847858,0.6877697841726619,0.5,0.041474654377880185
0.24,9,201,9,476,0.07894736842105264,0.5,0.2968980797636632,0.697841726618705,0.5,0.04285714285714286
0.25,9,194,9,483,0.08144796380090497,0.5,0.2865583456425406,0.7079136690647482,0.5,0.04433497536945813
0.26,9,188,9,489,0.08372093023255814,0.5,0.2776957163958641,0.7165467625899281,0.5,0.04568527918781726
0.27,9,181,9,496,0.08653846153846154,0.5,0.2673559822747415,0.7266187050359713,0.5,0.04736842105263158
0.28,8,176,10,501,0.07920792079207921,0.4444444444444444,0.25997045790251105,0.7323741007194244,0.5555555555555556,0.043478260869565216
0.29,8,168,10,509,0.08247422680412371,0.4444444444444444,0.2481536189069424,0.7438848920863309,0.5555555555555556,0.045454545454545456
0.3,8,164,10,513,0.08421052631578947,0.4444444444444444,0.24224519940915806,0.7496402877697842,0.5555555555555556,0.046511627906976744
0.31,7,157,11,520,0.07692307692307693,0.3888888888888889,0.23190546528803546,0.758273381294964,0.6111111111111112,0.042682926829268296
0.32,6,152,12,525,0.06818181818181819,0.3333333333333333,0.22451994091580502,0.7640287769784173,0.6666666666666666,0.0379746835443038
0.33,5,148,13,529,0.058479532163742694,0.2777777777777778,0.21861152141802068,0.7683453237410072,0.7222222222222222,0.032679738562091505
0.34,5,142,13,535,0.06060606060606061,0.2777777777777778,0.20974889217134415,0.7769784172661871,0.7222222222222222,0.034013605442176874
0.35,5,136,13,541,0.06289308176100629,0.2777777777777778,0.20088626292466766,0.7856115107913669,0.7222222222222222,0.03546099290780142
0.36,5,133,13,544,0.06410256410256411,0.2777777777777778,0.1964549483013294,0.7899280575539568,0.7222222222222222,0.036231884057971016
0.37,4,128,14,549,0.05333333333333334,0.2222222222222222,0.18906942392909898,0.7956834532374101,0.7777777777777778,0.030303030303030304
0.38,4,125,14,552,0.05442176870748299,0.2222222222222222,0.18463810930576072,0.8,0.7777777777777778,0.031007751937984496
0.39,4,117,14,560,0.05755395683453238,0.2222222222222222,0.172821270310192,0.8115107913669065,0.7777777777777778,0.03305785123966942
0.4,4,114,14,563,0.0588235294117647,0.2222222222222222,0.16838995568685378,0.8158273381294964,0.7777777777777778,0.03389830508474576
0.41,4,110,14,567,0.06060606060606061,0.2222222222222222,0.16248153618906944,0.8215827338129497,0.7777777777777778,0.03508771929824561
0.42,3,106,15,571,0.04724409448818898,0.16666666666666666,0.15657311669128507,0.8258992805755395,0.8333333333333334,0.027522935779816515
0.43,3,102,15,575,0.048780487804878044,0.16666666666666666,0.15066469719350073,0.8316546762589928,0.8333333333333334,0.02857142857142857
0.44,3,101,15,576,0.049180327868852465,0.16666666666666666,0.14918759231905465,0.8330935251798561,0.8333333333333334,0.028846153846153848
0.45,3,99,15,578,0.05,0.16666666666666666,0.14623338257016247,0.8359712230215828,0.8333333333333334,0.029411764705882353
0.46,2,95,16,582,0.03478260869565217,0.1111111111111111,0.14032496307237813,0.8402877697841726,0.8888888888888888,0.020618556701030927
0.47,2,91,16,586,0.036036036036036036,0.1111111111111111,0.1344165435745938,0.8460431654676259,0.8888888888888888,0.021505376344086023
0.48,2,90,16,587,0.03636363636363637,0.1111111111111111,0.1329394387001477,0.8474820143884892,0.8888888888888888,0.021739130434782608
0.49,2,90,16,587,0.03636363636363637,0.1111111111111111,0.1329394387001477,0.8474820143884892,0.8888888888888888,0.021739130434782608
0.5,2,86,16,591,0.03773584905660377,0.1111111111111111,0.12703101920236337,0.8532374100719424,0.8888888888888888,0.022727272727272728
0.51,2,85,16,592,0.03809523809523809,0.1111111111111111,0.1255539143279173,0.8546762589928057,0.8888888888888888,0.022988505747126436
0.52,2,85,16,592,0.03809523809523809,0.1111111111111111,0.1255539143279173,0.8546762589928057,0.8888888888888888,0.022988505747126436
0.53,1,81,17,596,0.02,0.05555555555555555,0.11964549483013294,0.8589928057553957,0.9444444444444444,0.012195121951219513
0.54,1,80,17,597,0.0202020202020202,0.05555555555555555,0.11816838995568685,0.860431654676259,0.9444444444444444,0.012345679012345678
