Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,679,0,0,None,None,None,0.02302158273381295,None,0.02302158273381295
0.01,15,650,1,29,0.04405286343612335,0.9375,0.9572901325478645,0.06330935251798561,0.0625,0.022556390977443608
0.02,13,625,3,54,0.039755351681957186,0.8125,0.9204712812960235,0.09640287769784173,0.1875,0.02037617554858934
0.03,12,594,4,85,0.03858520900321543,0.75,0.8748159057437408,0.13956834532374102,0.25,0.019801980198019802
0.04,12,571,4,108,0.04006677796327213,0.75,0.8409425625920471,0.17266187050359713,0.25,0.02058319039451115
0.05,12,542,4,137,0.042105263157894736,0.75,0.7982326951399117,0.2143884892086331,0.25,0.021660649819494584
0.06,11,519,5,160,0.04029304029304029,0.6875,0.7643593519882179,0.2460431654676259,0.3125,0.020754716981132074
0.07,10,493,6,186,0.03853564547206166,0.625,0.7260677466863034,0.2820143884892086,0.375,0.019880715705765408
0.08,10,468,6,211,0.04048582995951417,0.625,0.6892488954344624,0.31798561151079136,0.375,0.02092050209205021
0.09,10,456,6,223,0.041493775933609964,0.625,0.6715758468335787,0.33525179856115106,0.375,0.02145922746781116
0.1,10,440,6,239,0.04291845493562232,0.625,0.6480117820324006,0.35827338129496406,0.375,0.022222222222222223
0.11,10,426,6,253,0.044247787610619475,0.625,0.6273932253313697,0.37841726618705035,0.375,0.022935779816513763
0.12,10,413,6,266,0.04555808656036446,0.625,0.6082474226804123,0.3971223021582734,0.375,0.02364066193853428
0.13,10,401,6,278,0.0468384074941452,0.625,0.5905743740795287,0.4143884892086331,0.375,0.024330900243309004
0.14,10,392,6,287,0.04784688995215311,0.625,0.5773195876288659,0.4273381294964029,0.375,0.024875621890547265
0.15,10,378,6,301,0.0495049504950495,0.625,0.5567010309278351,0.4474820143884892,0.375,0.02577319587628866
0.16,9,367,7,312,0.04591836734693877,0.5625,0.540500736377025,0.4618705035971223,0.4375,0.023936170212765957
0.17,8,349,8,330,0.04289544235924933,0.5,0.5139911634756995,0.48633093525179855,0.5,0.022408963585434174
0.18,8,335,8,344,0.04456824512534819,0.5,0.49337260677466865,0.5064748201438849,0.5,0.023323615160349854
0.19,8,322,8,357,0.046242774566473986,0.5,0.4742268041237113,0.5251798561151079,0.5,0.024242424242424242
0.2,8,306,8,373,0.048484848484848485,0.5,0.45066273932253315,0.5482014388489208,0.5,0.025477707006369428
0.21,8,295,8,384,0.05015673981191223,0.5,0.43446244477172313,0.5640287769784172,0.5,0.026402640264026403
0.22,8,284,8,395,0.051948051948051945,0.5,0.4182621502209131,0.5798561151079137,0.5,0.0273972602739726
0.23,8,276,8,403,0.05333333333333334,0.5,0.406480117820324,0.5913669064748202,0.5,0.028169014084507043
0.24,8,268,8,411,0.0547945205479452,0.5,0.3946980854197349,0.6028776978417266,0.5,0.028985507246376812
0.25,8,257,8,422,0.056939501779359435,0.5,0.3784977908689249,0.6187050359712231,0.5,0.03018867924528302
0.26,8,251,8,428,0.058181818181818175,0.5,0.3696612665684831,0.6273381294964029,0.5,0.03088803088803089
0.27,7,244,9,435,0.052434456928838954,0.4375,0.3593519882179676,0.6359712230215827,0.5625,0.027888446215139442
0.28,7,236,9,443,0.05405405405405406,0.4375,0.3475699558173785,0.6474820143884892,0.5625,0.02880658436213992
0.29,7,234,9,445,0.054474708171206226,0.4375,0.3446244477172312,0.6503597122302158,0.5625,0.029045643153526972
0.3,7,231,9,448,0.05511811023622047,0.4375,0.3402061855670103,0.6546762589928058,0.5625,0.029411764705882353
0.31,7,225,9,454,0.05645161290322581,0.4375,0.33136966126656847,0.6633093525179856,0.5625,0.03017241379310345
0.32,7,221,9,458,0.05737704918032787,0.4375,0.32547864506627394,0.6690647482014388,0.5625,0.03070175438596491
0.33,6,218,10,461,0.049999999999999996,0.375,0.32106038291605304,0.6719424460431654,0.625,0.026785714285714284
0.34,6,212,10,467,0.05128205128205129,0.375,0.3122238586156112,0.6805755395683454,0.625,0.027522935779816515
0.35,6,209,10,470,0.051948051948051945,0.375,0.3078055964653903,0.6848920863309352,0.625,0.027906976744186046
0.36,6,204,10,475,0.05309734513274336,0.375,0.3004418262150221,0.6920863309352518,0.625,0.02857142857142857
0.37,6,201,10,478,0.05381165919282511,0.375,0.2960235640648012,0.6964028776978417,0.625,0.028985507246376812
0.38,6,196,10,483,0.055045871559633024,0.375,0.28865979381443296,0.7035971223021583,0.625,0.0297029702970297
0.39,6,193,10,486,0.05581395348837209,0.375,0.28424153166421207,0.7079136690647482,0.625,0.03015075376884422
0.4,6,191,10,488,0.056338028169014086,0.375,0.2812960235640648,0.7107913669064748,0.625,0.030456852791878174
0.41,6,190,10,489,0.056603773584905655,0.375,0.27982326951399117,0.7122302158273381,0.625,0.030612244897959183
0.42,6,186,10,493,0.057692307692307696,0.375,0.27393225331369664,0.7179856115107913,0.625,0.03125
0.43,6,183,10,496,0.058536585365853655,0.375,0.2695139911634757,0.7223021582733813,0.625,0.031746031746031744
0.44,6,181,10,498,0.05911330049261084,0.375,0.2665684830633284,0.7251798561151079,0.625,0.03208556149732621
0.45,6,178,10,501,0.06,0.375,0.2621502209131075,0.7294964028776978,0.625,0.03260869565217391
0.46,6,174,10,505,0.06122448979591837,0.375,0.25625920471281294,0.7352517985611511,0.625,0.03333333333333333
0.47,5,171,11,508,0.05208333333333333,0.3125,0.25184094256259204,0.7381294964028777,0.6875,0.028409090909090908
0.48,5,169,11,510,0.05263157894736841,0.3125,0.24889543446244478,0.7410071942446043,0.6875,0.028735632183908046
0.49,4,167,12,512,0.0427807486631016,0.25,0.24594992636229748,0.7424460431654676,0.75,0.023391812865497075
0.5,4,162,12,517,0.04395604395604395,0.25,0.23858615611192932,0.7496402877697842,0.75,0.024096385542168676
0.51,4,162,12,517,0.04395604395604395,0.25,0.23858615611192932,0.7496402877697842,0.75,0.024096385542168676
