Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1e-08,18,674,0,3,None,None,0.9955686853766618,0.030215827338129497,None,0.02601156069364162
2e-08,18,673,0,4,None,None,0.9940915805022157,0.031654676258992806,None,0.02604920405209841
3e-08,17,673,1,4,0.0480225988700565,0.9444444444444444,0.9940915805022157,0.030215827338129497,0.05555555555555555,0.02463768115942029
4e-08,17,672,1,5,0.04809052333804809,0.9444444444444444,0.9926144756277696,0.031654676258992806,0.05555555555555555,0.02467343976777939
5e-08,17,672,1,5,0.04809052333804809,0.9444444444444444,0.9926144756277696,0.031654676258992806,0.05555555555555555,0.02467343976777939
6e-08,17,669,1,8,0.04829545454545455,0.9444444444444444,0.9881831610044313,0.03597122302158273,0.05555555555555555,0.02478134110787172
7e-08,17,666,1,11,0.0485021398002853,0.9444444444444444,0.983751846381093,0.04028776978417266,0.05555555555555555,0.024890190336749635
8e-08,17,664,1,13,0.04864091559370529,0.9444444444444444,0.9807976366322009,0.04316546762589928,0.05555555555555555,0.024963289280469897
9e-08,17,664,1,13,0.04864091559370529,0.9444444444444444,0.9807976366322009,0.04316546762589928,0.05555555555555555,0.024963289280469897
1e-07,17,662,1,15,0.04878048780487805,0.9444444444444444,0.9778434268833087,0.0460431654676259,0.05555555555555555,0.025036818851251842
1.1e-07,17,661,1,16,0.04885057471264368,0.9444444444444444,0.9763663220088626,0.04748201438848921,0.05555555555555555,0.025073746312684365
1.2e-07,17,660,1,17,0.04892086330935252,0.9444444444444444,0.9748892171344166,0.04892086330935252,0.05555555555555555,0.025110782865583457
1.3e-07,17,658,1,19,0.049062049062049064,0.9444444444444444,0.9719350073855244,0.051798561151079135,0.05555555555555555,0.025185185185185185
1.4e-07,17,654,1,23,0.04934687953555878,0.9444444444444444,0.96602658788774,0.05755395683453238,0.05555555555555555,0.02533532041728763
1.5e-07,17,654,1,23,0.04934687953555878,0.9444444444444444,0.96602658788774,0.05755395683453238,0.05555555555555555,0.02533532041728763
1.6e-07,17,654,1,23,0.04934687953555878,0.9444444444444444,0.96602658788774,0.05755395683453238,0.05555555555555555,0.02533532041728763
1.7e-07,17,654,1,23,0.04934687953555878,0.9444444444444444,0.96602658788774,0.05755395683453238,0.05555555555555555,0.02533532041728763
1.8e-07,17,653,1,24,0.04941860465116279,0.9444444444444444,0.9645494830132939,0.058992805755395686,0.05555555555555555,0.025373134328358207
1.9e-07,17,650,1,27,0.04963503649635037,0.9444444444444444,0.9601181683899557,0.06330935251798561,0.05555555555555555,0.025487256371814093
2e-07,17,647,1,30,0.04985337243401759,0.9444444444444444,0.9556868537666174,0.06762589928057554,0.05555555555555555,0.025602409638554216
2.1e-07,17,646,1,31,0.049926578560939794,0.9444444444444444,0.9542097488921714,0.06906474820143885,0.05555555555555555,0.02564102564102564
2.2e-07,17,646,1,31,0.049926578560939794,0.9444444444444444,0.9542097488921714,0.06906474820143885,0.05555555555555555,0.02564102564102564
2.3e-07,17,646,1,31,0.049926578560939794,0.9444444444444444,0.9542097488921714,0.06906474820143885,0.05555555555555555,0.02564102564102564
2.4e-07,17,645,1,32,0.05,0.9444444444444444,0.9527326440177253,0.07050359712230216,0.05555555555555555,0.0256797583081571
2.5e-07,17,642,1,35,0.050221565731166914,0.9444444444444444,0.948301329394387,0.07482014388489208,0.05555555555555555,0.025796661608497723
2.6e-07,17,640,1,37,0.050370370370370364,0.9444444444444444,0.9453471196454948,0.0776978417266187,0.05555555555555555,0.0258751902587519
2.7e-07,17,638,1,39,0.05052005943536405,0.9444444444444444,0.9423929098966026,0.08057553956834532,0.05555555555555555,0.025954198473282442
2.8e-07,17,636,1,41,0.050670640834575266,0.9444444444444444,0.9394387001477105,0.08345323741007195,0.05555555555555555,0.026033690658499236
2.9e-07,17,635,1,42,0.05074626865671642,0.9444444444444444,0.9379615952732644,0.08489208633093526,0.05555555555555555,0.02607361963190184
3e-07,17,633,1,44,0.05089820359281436,0.9444444444444444,0.9350073855243722,0.08776978417266187,0.05555555555555555,0.026153846153846153
3.1e-07,17,631,1,46,0.05105105105105105,0.9444444444444444,0.9320531757754801,0.09064748201438849,0.05555555555555555,0.026234567901234566
3.2e-07,17,630,1,47,0.05112781954887219,0.9444444444444444,0.930576070901034,0.0920863309352518,0.05555555555555555,0.02627511591962906
