SystemId,threshold,maxF1,PPV,total
stangnes-gw,264285858.555557,0.3861386138613861,0.2452830188679245,174
rodbergvn-gw2,2142119367.555557,0.4,0.2886597938144329,174
narvik-gw4,3116476225.111114,0.4,0.2627737226277372,174
tromso-fh-gw,2029878408.333328,0.3821656050955414,0.2631578947368421,174
tromso-gw5,10165057750.0,0.3898305084745763,0.3066666666666666,174
teknobyen-gw1,373589.555555,0.3679245283018867,0.2307692307692307,174
narvik-gw3,1028183251.444442,0.3609756097560975,0.228395061728395,174
hovedbygget-gw,2986867446.888885,0.3937823834196891,0.2533333333333333,174
hoytek-gw2,5451324894.0,0.4114285714285714,0.2727272727272727,174
teknobyen-gw2,392342162.555557,0.3671497584541063,0.2317073170731707,174
ma2-gw,3859220260.333343,0.3756906077348066,0.2463768115942029,174
bergen-gw3,606253422.888885,0.3768115942028985,0.2378048780487804,174
narvik-kv-gw,3976494493.222229,0.3692307692307692,0.2758620689655172,174
trd-gw,82668696.666687,0.3661971830985915,0.2294117647058823,174
ifi2-gw5,107359639.555557,0.3679245283018867,0.2307692307692307,174
oslo-gw1,5953496021.555664,0.3673469387755102,0.2352941176470588,174
