SystemId,threshold,maxF1,PPV,total
stangnes-gw,1320607.888888,0.3976608187134502,0.2595419847328244,171
rodbergvn-gw2,4333914.888888,0.3846153846153846,0.2777777777777778,171
narvik-gw4,8380099.888888,0.4,0.2666666666666666,171
tromso-fh-gw,70159.333333,0.3714285714285714,0.2294117647058823,171
tromso-gw5,7157663.888888,0.4161073825503356,0.2844036697247706,171
teknobyen-gw1,4105.333333,0.4,0.2551724137931034,171
narvik-gw3,9769507.777777,0.3947368421052631,0.2678571428571428,171
hovedbygget-gw,10161023.555555,0.392156862745098,0.2654867256637168,171
hoytek-gw2,2396221.555555,0.4,0.2516129032258064,171
teknobyen-gw2,229527.222222,0.3732057416267942,0.2307692307692307,171
ma2-gw,9504820.555555,0.388235294117647,0.2538461538461538,171
bergen-gw3,4163878.222222,0.4137931034482758,0.2686567164179104,171
narvik-kv-gw,35007.222222,0.3714285714285714,0.2294117647058823,171
trd-gw,865684.666666,0.3732057416267942,0.2307692307692307,171
ifi2-gw5,475143.333333,0.3714285714285714,0.2294117647058823,171
oslo-gw1,5778757.666666,0.3775510204081632,0.2371794871794871,171
