SystemId,threshold,maxF1,PPV,total
stangnes-gw,1320641.444444,0.3976608187134502,0.2595419847328244,171
rodbergvn-gw2,4334139.555555,0.3846153846153846,0.2777777777777778,171
narvik-gw4,3923615.555555,0.3915343915343915,0.2483221476510067,171
tromso-fh-gw,70223.888888,0.3714285714285714,0.2294117647058823,171
tromso-gw5,7133855.555555,0.4161073825503356,0.2844036697247706,171
teknobyen-gw1,2919.333333,0.3917525773195876,0.2467532467532467,171
narvik-gw3,8827756.111111,0.392156862745098,0.2654867256637168,171
hovedbygget-gw,9708281.0,0.392156862745098,0.2654867256637168,171
hoytek-gw2,6636819.222222,0.4146341463414634,0.2741935483870967,171
teknobyen-gw2,230036.555555,0.3732057416267942,0.2307692307692307,171
ma2-gw,9326990.666666,0.388235294117647,0.2538461538461538,171
bergen-gw3,8958309.666666,0.4155844155844156,0.2807017543859649,171
narvik-kv-gw,18043.888888,0.3714285714285714,0.2294117647058823,171
trd-gw,1207148.222222,0.3768115942028985,0.2335329341317365,171
ifi2-gw5,394114.555555,0.371859296482412,0.2327044025157232,171
oslo-gw1,917762.777777,0.375,0.2321428571428571,171
