SystemId,threshold,maxTPR
stangnes-gw,0.029908,0.9069767441860463
rodbergvn-gw2,0.003211,0.9069767441860463
narvik-gw4,0.005429,0.9069767441860463
tromso-fh-gw,0.042416,0.9069767441860463
tromso-gw5,0.007724,0.9069767441860463
teknobyen-gw1,0.011939,0.9069767441860463
narvik-gw3,0.006912,0.9069767441860463
hovedbygget-gw,0.020981,0.9069767441860463
hoytek-gw2,0.002212,0.9069767441860463
teknobyen-gw2,0.002236,0.9069767441860463
ma2-gw,0.007619,0.9069767441860463
bergen-gw3,0.025147,0.9069767441860463
narvik-kv-gw,0.008122,0.9069767441860463
trd-gw,0.000486,0.9069767441860463
ifi2-gw5,0.004955,0.9069767441860463
oslo-gw1,0.01901,0.9069767441860463
