SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.004675,0.975,0.2307692307692307,171
rodbergvn-gw2,0.001882,0.975,0.2294117647058823,171
narvik-gw4,0.011074,0.975,0.2407407407407407,171
tromso-fh-gw,0.001753,0.975,0.2294117647058823,171
tromso-gw5,0.048695,0.975,0.2407407407407407,171
teknobyen-gw1,0.00207,0.975,0.2294117647058823,171
narvik-gw3,0.005623,0.975,0.2335329341317365,171
hovedbygget-gw,0.000919,0.975,0.2294117647058823,171
hoytek-gw2,0.027913,0.975,0.2653061224489796,171
teknobyen-gw2,0.000189,0.975,0.2294117647058823,171
ma2-gw,0.010258,0.975,0.2363636363636363,171
bergen-gw3,0.001102,0.975,0.2307692307692307,171
narvik-kv-gw,0.002483,0.975,0.2307692307692307,171
trd-gw,0.002894,0.975,0.2307692307692307,171
ifi2-gw5,0.003005,0.975,0.2307692307692307,171
oslo-gw1,0.005256,0.975,0.2307692307692307,171
