SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.023309,0.975,0.2349397590361445,171
rodbergvn-gw2,0.000582,0.975,0.2294117647058823,171
narvik-gw4,0.003205,0.975,0.2307692307692307,171
tromso-fh-gw,0.009949,0.975,0.2349397590361445,171
tromso-gw5,0.009735,0.975,0.2349397590361445,171
teknobyen-gw1,0.00784,0.975,0.2349397590361445,171
narvik-gw3,0.009225,0.975,0.2335329341317365,171
hovedbygget-gw,0.003463,0.975,0.2307692307692307,171
hoytek-gw2,8e-06,0.975,0.2294117647058823,171
teknobyen-gw2,0.003666,0.975,0.2335329341317365,171
ma2-gw,0.018637,0.975,0.2468354430379747,171
bergen-gw3,0.005155,0.975,0.2321428571428571,171
narvik-kv-gw,0.002617,0.975,0.2321428571428571,171
trd-gw,0.001574,0.975,0.2307692307692307,171
ifi2-gw5,0.021575,0.975,0.24375,171
oslo-gw1,0.029124,0.975,0.261744966442953,171
