SystemId,threshold,maxTPR
stangnes-gw,0.000131,0.9069767441860463
rodbergvn-gw2,0.000123,0.9069767441860463
narvik-gw4,1.5e-05,0.9069767441860463
tromso-fh-gw,0.0,0.9069767441860463
tromso-gw5,0.000121,0.9069767441860463
teknobyen-gw1,0.000207,0.9069767441860463
narvik-gw3,0.000303,0.9069767441860463
hovedbygget-gw,0.000367,0.9069767441860463
hoytek-gw2,0.000959,0.9069767441860463
teknobyen-gw2,0.000475,0.9069767441860463
ma2-gw,0.000451,0.9069767441860463
bergen-gw3,9.4e-05,0.9069767441860463
narvik-kv-gw,1.3e-05,0.9069767441860463
trd-gw,0.000345,0.9069767441860463
ifi2-gw5,7.5e-05,0.9069767441860463
oslo-gw1,0.000698,0.9069767441860463
