SystemId,threshold,maxTPR,PPV,total
stangnes-gw,2.3e-05,0.975,0.2307692307692307,171
rodbergvn-gw2,0.000148,0.975,0.2422360248447205,171
narvik-gw4,0.000431,0.975,0.2407407407407407,171
tromso-fh-gw,4.9e-05,0.975,0.2363636363636363,171
tromso-gw5,0.0,0.975,0.2294117647058823,171
teknobyen-gw1,0.000151,0.975,0.2307692307692307,171
narvik-gw3,5.2e-05,0.975,0.2307692307692307,171
hovedbygget-gw,6.1e-05,0.975,0.2307692307692307,171
hoytek-gw2,1.8e-05,0.975,0.2294117647058823,171
teknobyen-gw2,2.4e-05,0.975,0.2307692307692307,171
ma2-gw,3e-06,0.975,0.2294117647058823,171
bergen-gw3,3.5e-05,0.975,0.2307692307692307,171
narvik-kv-gw,1.1e-05,0.975,0.2294117647058823,171
trd-gw,3.9e-05,0.975,0.2307692307692307,171
ifi2-gw5,4e-05,0.975,0.2294117647058823,171
oslo-gw1,5.8e-05,0.975,0.2307692307692307,171
