SystemId,threshold,maxTPR
stangnes-gw,88175699.444442,0.975
rodbergvn-gw2,280528867.888885,0.975
narvik-gw4,602687617.888885,0.975
tromso-fh-gw,33399588.333343,0.975
tromso-gw5,283787771.222229,0.975
teknobyen-gw1,378267.444444,0.975
narvik-gw3,183005929.333343,0.975
hovedbygget-gw,296230498.888916,0.975
hoytek-gw2,72992879.666687,0.975
teknobyen-gw2,54786807.777771,0.975
ma2-gw,336478580.0,0.975
bergen-gw3,167187296.777832,0.975
narvik-kv-gw,141877543.555542,0.975
trd-gw,1068254611.111084,0.975
ifi2-gw5,514813509.333343,0.975
oslo-gw1,563268614.666503,0.975
