SystemId,threshold,maxTPR,PPV,total
stangnes-gw,12510360.555541,0.975,0.2307692307692307,171
rodbergvn-gw2,290346681.444442,0.975,0.2363636363636363,171
narvik-gw4,172876003.555542,0.975,0.2307692307692307,171
tromso-fh-gw,24736593.666687,0.975,0.2307692307692307,171
tromso-gw5,102437999.222229,0.975,0.2307692307692307,171
teknobyen-gw1,237100.666666,0.975,0.2363636363636363,171
narvik-gw3,226588937.444458,0.95,0.2248520710059171,171
hovedbygget-gw,250771880.666625,0.975,0.2307692307692307,171
hoytek-gw2,776970277.555542,0.975,0.2321428571428571,171
teknobyen-gw2,90349832.555542,0.975,0.2307692307692307,171
ma2-gw,1099067140.111084,0.975,0.2378048780487804,171
bergen-gw3,181320490.0,0.975,0.2307692307692307,171
narvik-kv-gw,335616274.666687,0.975,0.2392638036809816,171
trd-gw,1402085517.555664,0.975,0.2321428571428571,171
ifi2-gw5,6572664557.666687,0.975,0.2349397590361445,171
oslo-gw1,129583435.777832,0.975,0.2294117647058823,171
