SystemId,threshold,maxTPR
stangnes-gw,72823576.0,0.975
rodbergvn-gw2,280533920.888885,0.975
narvik-gw4,3914118937.888885,0.95
tromso-fh-gw,35869399.444458,0.975
tromso-gw5,365280975.555557,0.975
teknobyen-gw1,626721.555555,0.975
narvik-gw3,183212703.888885,0.975
hovedbygget-gw,1937150551.333313,0.95
hoytek-gw2,160266406.666625,0.975
teknobyen-gw2,105256148.666656,0.975
ma2-gw,524457489.333313,0.975
bergen-gw3,2026508246.888885,0.975
narvik-kv-gw,156608281.555542,0.975
trd-gw,1068533933.555664,0.975
ifi2-gw5,125225330.444442,0.975
oslo-gw1,1018313343.555664,0.975
