SystemId,threshold,maxTPR,PPV,total
stangnes-gw,12413178.555541,0.975,0.2307692307692307,171
rodbergvn-gw2,310528678.111114,0.975,0.2378048780487804,171
narvik-gw4,192276044.888916,0.975,0.2307692307692307,171
tromso-fh-gw,38094629.666687,0.975,0.2307692307692307,171
tromso-gw5,459123239.666671,0.975,0.2307692307692307,171
teknobyen-gw1,17446.444444,0.975,0.2307692307692307,171
narvik-gw3,228666694.444458,0.95,0.2248520710059171,171
hovedbygget-gw,42930675.333312,0.975,0.2294117647058823,171
hoytek-gw2,417884176.111084,0.975,0.2321428571428571,171
teknobyen-gw2,90173759.0,0.975,0.2307692307692307,171
ma2-gw,849016826.111084,0.975,0.2363636363636363,171
bergen-gw3,1721355947.555542,0.95,0.2345679012345679,171
narvik-kv-gw,335501762.222229,0.975,0.2392638036809816,171
trd-gw,268805879.0,0.975,0.2307692307692307,171
ifi2-gw5,17865690.888885,0.975,0.2294117647058823,171
oslo-gw1,3918281414.111328,0.975,0.2335329341317365,171
