SystemId,threshold,maxTPR
stangnes-gw,676140.777777,0.975
rodbergvn-gw2,2802006.777777,0.975
narvik-gw4,559168.444444,0.975
tromso-fh-gw,406268.555555,0.975
tromso-gw5,799654.222222,0.975
teknobyen-gw1,3233.666666,0.975
narvik-gw3,967713.777777,0.975
hovedbygget-gw,8088.777777,0.975
hoytek-gw2,6781804.777777,0.975
teknobyen-gw2,204085.222222,0.975
ma2-gw,67665.666666,0.975
bergen-gw3,1964.888888,0.975
narvik-kv-gw,238801.111111,0.975
trd-gw,379194.333333,0.975
ifi2-gw5,797677.666666,0.975
oslo-gw1,518749.777777,0.975
