SystemId,threshold,maxTPR,PPV,total
stangnes-gw,338129.777777,0.975,0.2407407407407407,171
rodbergvn-gw2,1401005.222222,0.975,0.25,171
narvik-gw4,1000422.777777,0.975,0.2363636363636363,171
tromso-fh-gw,198783.555555,0.975,0.2294117647058823,171
tromso-gw5,399882.888888,0.975,0.2335329341317365,171
teknobyen-gw1,2211.333333,0.975,0.2407407407407407,171
narvik-gw3,483795.888888,0.975,0.2307692307692307,171
hovedbygget-gw,73561.333333,0.975,0.2307692307692307,171
hoytek-gw2,740129.444444,0.975,0.2349397590361445,171
teknobyen-gw2,104553.444444,0.975,0.2294117647058823,171
ma2-gw,220863.444444,0.975,0.2307692307692307,171
bergen-gw3,845176.111111,0.975,0.2307692307692307,171
narvik-kv-gw,112854.555555,0.975,0.2349397590361445,171
trd-gw,413571.888888,0.975,0.2294117647058823,171
ifi2-gw5,3832523.777777,0.975,0.2335329341317365,171
oslo-gw1,574177.666666,0.975,0.2294117647058823,171
