SystemId,threshold,maxTPR,PPV,total
stangnes-gw,58096.222222,0.975,0.2294117647058823,171
rodbergvn-gw2,83571.666666,0.975,0.2307692307692307,171
narvik-gw4,912997.222222,0.975,0.2378048780487804,171
tromso-fh-gw,70223.888888,0.975,0.2294117647058823,171
tromso-gw5,255307.777777,0.975,0.2407407407407407,171
teknobyen-gw1,690.666666,0.975,0.2392638036809816,171
narvik-gw3,630355.111111,0.975,0.2349397590361445,171
hovedbygget-gw,51119.777777,0.975,0.2294117647058823,171
hoytek-gw2,467031.333333,0.975,0.2321428571428571,171
teknobyen-gw2,230036.555555,0.975,0.2307692307692307,171
ma2-gw,1107961.111111,0.975,0.2392638036809816,171
bergen-gw3,617570.333333,0.975,0.2335329341317365,171
narvik-kv-gw,18043.888888,0.975,0.2294117647058823,171
trd-gw,1207148.222222,0.975,0.2335329341317365,171
ifi2-gw5,56343.888888,0.975,0.2294117647058823,171
oslo-gw1,917762.777777,0.975,0.2321428571428571,171
