SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.00353,0.7238605898123325,0.5947136563876652,240
rodbergvn-gw2,0.001468,0.723404255319149,0.591304347826087,240
narvik-gw4,0.000104,0.723404255319149,0.591304347826087,240
tromso-fh-gw,0.000906,0.723404255319149,0.591304347826087,240
tromso-gw5,0.003094,0.723404255319149,0.591304347826087,240
teknobyen-gw1,0.013305,0.7292225201072386,0.5991189427312775,240
narvik-gw3,0.000856,0.723404255319149,0.591304347826087,240
hovedbygget-gw,0.00104,0.723404255319149,0.591304347826087,240
hoytek-gw2,0.000785,0.723404255319149,0.591304347826087,240
teknobyen-gw2,0.004145,0.723404255319149,0.591304347826087,240
ma2-gw,0.000365,0.723404255319149,0.591304347826087,240
bergen-gw3,0.001132,0.7253333333333334,0.5938864628820961,240
narvik-kv-gw,0.021265,0.7311827956989247,0.6017699115044248,240
trd-gw,0.002623,0.723404255319149,0.591304347826087,240
ifi2-gw5,0.002343,0.7272727272727273,0.5964912280701754,240
oslo-gw1,0.000486,0.723404255319149,0.591304347826087,240
