SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.002598,0.7272727272727273,0.5964912280701754,240
rodbergvn-gw2,0.008459,0.7258064516129032,0.5973451327433629,240
narvik-gw4,0.00071,0.723404255319149,0.591304347826087,240
tromso-fh-gw,0.00252,0.723404255319149,0.591304347826087,240
tromso-gw5,0.000191,0.723404255319149,0.591304347826087,240
teknobyen-gw1,0.035816,0.7277628032345014,0.6,240
narvik-gw3,0.005823,0.7253333333333334,0.5938864628820961,240
hovedbygget-gw,0.002137,0.723404255319149,0.591304347826087,240
hoytek-gw2,0.013476,0.7302452316076294,0.6063348416289592,240
teknobyen-gw2,0.010235,0.7277628032345014,0.6,240
ma2-gw,0.008685,0.7272727272727273,0.5964912280701754,240
bergen-gw3,0.01121,0.7258064516129032,0.5973451327433629,240
narvik-kv-gw,0.014116,0.7262872628726287,0.600896860986547,240
trd-gw,0.002683,0.7253333333333334,0.5938864628820961,240
ifi2-gw5,0.002489,0.7253333333333334,0.5938864628820961,240
oslo-gw1,0.001244,0.723404255319149,0.591304347826087,240
