SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.0,0.723404255319149,0.591304347826087,240
rodbergvn-gw2,9.7e-05,0.7297297297297297,0.6026785714285714,240
narvik-gw4,1.6e-05,0.7258064516129032,0.5973451327433629,240
tromso-fh-gw,6e-06,0.723404255319149,0.591304347826087,240
tromso-gw5,1e-06,0.723404255319149,0.591304347826087,240
teknobyen-gw1,0.002419,0.7327327327327328,0.6524064171122995,240
narvik-gw3,1.4e-05,0.7292225201072386,0.5991189427312775,240
hovedbygget-gw,3e-05,0.7277628032345014,0.6,240
hoytek-gw2,2.1e-05,0.7253333333333334,0.5938864628820961,240
teknobyen-gw2,2e-06,0.723404255319149,0.591304347826087,240
ma2-gw,0.000147,0.7297297297297297,0.6026785714285714,240
bergen-gw3,6e-06,0.7253333333333334,0.5938864628820961,240
narvik-kv-gw,2e-06,0.723404255319149,0.591304347826087,240
trd-gw,6.5e-05,0.7258064516129032,0.5973451327433629,240
ifi2-gw5,1.5e-05,0.723404255319149,0.591304347826087,240
oslo-gw1,3.7e-05,0.7253333333333334,0.5938864628820961,240
