SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.0,0.723404255319149,0.591304347826087,240
rodbergvn-gw2,5.1e-05,0.7243243243243244,0.5982142857142857,240
narvik-gw4,2.9e-05,0.723404255319149,0.591304347826087,240
tromso-fh-gw,2e-05,0.7253333333333334,0.5938864628820961,240
tromso-gw5,9e-06,0.7253333333333334,0.5938864628820961,240
teknobyen-gw1,0.003351,0.7375,0.6781609195402298,240
narvik-gw3,8e-06,0.723404255319149,0.591304347826087,240
hovedbygget-gw,2e-06,0.7253333333333334,0.5938864628820961,240
hoytek-gw2,7.6e-05,0.7272727272727273,0.5964912280701754,240
teknobyen-gw2,2.3e-05,0.723404255319149,0.591304347826087,240
ma2-gw,4e-06,0.723404255319149,0.591304347826087,240
bergen-gw3,3.6e-05,0.7272727272727273,0.5964912280701754,240
narvik-kv-gw,0.000402,0.7318435754189944,0.6179245283018868,240
trd-gw,1e-05,0.7253333333333334,0.5938864628820961,240
ifi2-gw5,0.000158,0.724233983286908,0.6103286384976526,240
oslo-gw1,7e-06,0.723404255319149,0.591304347826087,240
