SystemId,threshold,maxF1,PPV,total
stangnes-gw,406079163.555557,0.7533875338753387,0.6289592760180995,237
rodbergvn-gw2,14253958.666671,0.746031746031746,0.6130434782608696,237
narvik-gw4,1222393353.222229,0.75,0.6272727272727273,237
tromso-fh-gw,127193478.333343,0.746031746031746,0.6130434782608696,237
tromso-gw5,63462641.444442,0.746031746031746,0.6130434782608696,237
teknobyen-gw1,9315200.222222,0.7561643835616438,0.6359447004608295,237
narvik-gw3,344871464.444442,0.7506702412868632,0.6222222222222222,237
hovedbygget-gw,353706220.666626,0.7427055702917772,0.611353711790393,237
hoytek-gw2,135861119.666656,0.7466666666666667,0.6167400881057269,237
teknobyen-gw2,85328520.333328,0.746031746031746,0.6130434782608696,237
ma2-gw,2885500571.222229,0.7465181058495822,0.6350710900473934,237
bergen-gw3,131925599.444458,0.75,0.618421052631579,237
narvik-kv-gw,32155539.555541,0.746031746031746,0.6130434782608696,237
trd-gw,384750487.888916,0.7480106100795756,0.6157205240174672,237
ifi2-gw5,1770521886.333328,0.7665706051873199,0.6683417085427136,237
oslo-gw1,210367694.333251,0.746031746031746,0.6130434782608696,237
