SystemId,threshold,maxTPR
stangnes-gw,2e-06,0.9315068493150684
rodbergvn-gw2,7e-06,0.9315068493150684
narvik-gw4,1.4e-05,0.9315068493150684
tromso-fh-gw,3.2e-05,0.9315068493150684
tromso-gw5,6e-06,0.9315068493150684
teknobyen-gw1,0.000151,0.9315068493150684
narvik-gw3,1.1e-05,0.9315068493150684
hovedbygget-gw,3e-06,0.9315068493150684
hoytek-gw2,4.4e-05,0.9315068493150684
teknobyen-gw2,2.3e-05,0.9315068493150684
ma2-gw,7e-06,0.9315068493150684
bergen-gw3,1.7e-05,0.9315068493150684
narvik-kv-gw,0.0,0.9315068493150684
trd-gw,4e-06,0.9315068493150684
ifi2-gw5,2.1e-05,0.9315068493150684
oslo-gw1,6.6e-05,0.9315068493150684
