SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.0,0.9315068493150684,0.591304347826087,240
rodbergvn-gw2,2.8e-05,0.9315068493150684,0.5964912280701754,240
narvik-gw4,4e-06,0.9315068493150684,0.5938864628820961,240
tromso-fh-gw,6e-06,0.9315068493150684,0.591304347826087,240
tromso-gw5,1e-06,0.9315068493150684,0.591304347826087,240
teknobyen-gw1,9.5e-05,0.9315068493150684,0.6017699115044248,240
narvik-gw3,1.4e-05,0.9315068493150684,0.5991189427312775,240
hovedbygget-gw,4e-06,0.9315068493150684,0.5938864628820961,240
hoytek-gw2,2.1e-05,0.9315068493150684,0.5938864628820961,240
teknobyen-gw2,2e-06,0.9315068493150684,0.591304347826087,240
ma2-gw,9.3e-05,0.9315068493150684,0.5964912280701754,240
bergen-gw3,6e-06,0.9315068493150684,0.5938864628820961,240
narvik-kv-gw,2e-06,0.9315068493150684,0.591304347826087,240
trd-gw,8e-06,0.9315068493150684,0.591304347826087,240
ifi2-gw5,1.5e-05,0.9315068493150684,0.591304347826087,240
oslo-gw1,3.7e-05,0.9315068493150684,0.5938864628820961,240
