SystemId,threshold,maxTPR
stangnes-gw,0.0,0.9315068493150684
rodbergvn-gw2,0.0,0.9315068493150684
narvik-gw4,2.9e-05,0.9315068493150684
tromso-fh-gw,2e-05,0.9315068493150684
tromso-gw5,9e-06,0.9315068493150684
teknobyen-gw1,0.000192,0.9315068493150684
narvik-gw3,8e-06,0.9315068493150684
hovedbygget-gw,2e-06,0.9315068493150684
hoytek-gw2,7.6e-05,0.9315068493150684
teknobyen-gw2,2.3e-05,0.9315068493150684
ma2-gw,4e-06,0.9315068493150684
bergen-gw3,3.6e-05,0.9315068493150684
narvik-kv-gw,1.9e-05,0.9315068493150684
trd-gw,1e-05,0.9315068493150684
ifi2-gw5,2.2e-05,0.9315068493150684
oslo-gw1,7e-06,0.9315068493150684
